"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"INF-510","Principles of Programming for Informatics","","3.0 units","Lecture","32401D","048","5:00-7:20pm","Tuesday","40","0","0","Jeremy Abramson","KAP164"
"INF-521","Application of Cryptography to Information Security Problems","","3.0 units","Lecture","32421D","048","3:30-6:10pm","Thursday","25","0","0","","OHE136"
"","","","","Lecture","32431D","034","3:30-6:10pm","Thursday","25","0","0","","DEN@Viterbi"
"INF-523","Assurance in Cyberspace Applied to Information Security","","3.0 units","Lecture","32423D","048","6:40-9:20pm","Wednesday","25","0","0","Clifford Neuman","OFFICE"
"","","","","Lecture","32433D","034","6:40-9:20pm","Wednesday","25","1","0","Clifford Neuman","DEN@Viterbi"
"INF-528","Computer and Network Forensics","","3.0 units","Lecture","32408D","048","12:30-1:50pm","Tue, Thu","30","0","0","Joseph Greenfield","RTH217"
"","","","","Lecture","32438D","034","12:30-1:50pm","Tue, Thu","10","0","0","","DEN@Viterbi"
"INF-529","Security and Privacy in Informatics","","3.0 units","Lecture","32412D","048","12:00-2:50pm","Friday","40","0","0","Clifford Neuman","OHE100C"
"","","","","Lecture","32413D","034","12:00-2:50pm","Friday","10","1","0","Clifford Neuman","DEN@Viterbi"
"INF-549","Introduction to Computational Thinking and Data Science","","4.0 units","Lecture","32406D","048","11:00-12:20pm","Tue, Thu","25","0","0","Yolanda Gil","SOS B41"
"INF-551","Foundations of Data Management","","3.0 units","Lecture","32405D","048","3:30-4:50pm","Mon, Wed","40","0","0","Seon Kim","SLH100"
"","","","","Lecture","32411D","048","8:30-9:50am","Mon, Wed","50","0","0","Wensheng Wu","GFS116"
"INF-552","Machine Learning for Data Informatics","","3.0 units","Lecture","32402D","048","2:00-4:50pm","Wednesday","37","0","0","Stefan Scherer","WPH207"
"","","","","Lecture","32410D","048","3:30-6:20pm","Thursday","40","0","0","Satish Thittamaranahalli Ka","KAP146"
"INF-553","Foundations and Applications of Data Mining","","3.0 units","Lecture","32403D","048","11:00-12:20pm","Tue, Thu","42","0","0","Wensheng Wu","GFS207"
"","","","","Lecture","32414D","048","10:00-11:50am","Mon, Wed","40","0","0","Yao-Yi Chiang, Atefeh Farzindar","KAP158"
"","","","","Lecture","32426D","048","2:00-3:20pm","Tue, Thu","40","0","0","Wensheng Wu","VHE217"
"INF-554","Information Visualization","","3.0 units","Lecture","32404D","048","1:00-3:50pm","Friday","32","0","0","",""
"INF-555","User Interface Design, Implementation, and Testing","","3.0 units","Lecture","32427D","048","5:00-6:20pm","Mon, Wed","30","0","0","","GFS222"
"INF-556","User Experience Design and Strategy","","3.0 units","Lecture","32428R","048","5:00-7:50pm","Monday","20","3","0","Jaime Levy","VKC161"
"","","","","Lecture","32436R","048","2:00-4:50pm","Monday","20","1","0","Jaime Levy","VKC161"
"INF-560","Data Informatics Professional Practicum","","3.0 units","Lecture","32429D","048","3:00-5:50pm","Friday","40","0","0","","KAP163"
"INF-563","Medical Diagnostics, Therapeutics and Informatics Applications","P","3.0 units","Lecture","29305D","034","9:00-11:50am","Friday","10","0","0","Brent Liu","DEN@Viterbi"
"","","","","Lecture","29310D","048","9:00-11:50am","Friday","20","0","0","Brent Liu","OHE100C"
"INF-590","Directed Research","M","1.0-12.0 units","Lecture","32449D","048","TBA","TBA","10","0","0","","OFFICE"
