"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"INTD-501","Recent Advances in Vision Science","","1.0 units, max 4","Lecture","40651D","017","TBA","TBA","25","0","0","","TBA"
"INTD-504","Molecular Biology of Cancer","","4.0 units","Lecture","40654D","046","3:00-4:50pm","Mon, Wed","40","0","0","",""
"INTD-522","Infection and Host Responses","","4.0 units","Lecture","40652D","046","9:00-10:50am","Tue, Thu","100","0","0","Jie Li, Ebrahim Zandi, Siyi Chen, Omid Akbari, Kevin Nash, William Depaolo, David Horwitz, Ambrose Jong, Axel Schonthal, Jing-Hsiung Ou, Lucio Comai, Chengyu Liang, Paula Cannon","MCH256"
"INTD-537","The Structure of Scientific Revolutions in Molecular Biology","C","1.0 unit","Lecture","40663D","001","TBA","TBA","30","0","0","","TBA"
"INTD-549","Protein Chemistry -- Structure and Function","C","4.0 units","Lecture","40656D","046","1:00-2:50pm","Tue, Thu","40","1","0","Tobias Ulmer, Roger Duncan, Michael Stallcup, Enrique Cadenas, Francis Markland, Julio Camarero Palao, Steve Swenson, Peter Danenberg, Ian Haworth, Janet Oldak, Ralf Langen, Lucio Comai, Judd Rice, Ansgar Siemer, Jeannie Chen, Robert Farley, Curtis Okamoto, Mark Frey, Jian Xu, Pinghui Feng, Baruch Frenkel, Ebrahim Zandi, Axel Schonthal","MCH256"
"INTD-551","Pathobiology of Disease","P","4.0 units","Lecture","40659D","046","10:00-11:50am","Wed, Fri","25","0","0","Louis Dubeau","OFFICE"
"INTD-573","Systems Physiology and Disease II","MC","4.0 units","Lecture","40664D","046","9:00-10:50am","Wed, Fri","18","0","0","Harvey Kaslow","TBA"
"INTD-574","Systems Biology and Disease Seminar","M","1.0 units, max 16","Lecture","40672D","046","11:00-11:50am","Monday","35","1","0","Wijbe Kast","NRT7508"
"INTD-575","Interdisciplinary Research Presentations","C","1.0 units, max 12","Lecture","40666D","046","1:00-1:50pm","Thursday","50","0","0","","OFFICE"
"INTD-577","Writing in the Biomedical and Biological Sciences","MC","1.0 unit","Lecture","40674D","046","10:00-10:50am","Wednesday","40","12","0","","MCH256"
"INTD-600","Student Research Presentation","C","1.0 units, max 12","Lecture","40667D","046","12:00-12:50pm","Friday","100","0","0","Young-Kwon Hong","MCH256"
"INTD-620","Medical Students Elective Program","","0.0 units","Lecture","40650D","017","TBA","TBA","50","0","0","","OFFICE"
"","","","","Lecture","40665D","017","TBA","TBA","50","0","0","","OFFICE"
"","","","","Lecture","40668D","017","TBA","TBA","52","0","0","","OFFICE"
"","","","","Lecture","40669D","017","TBA","TBA","100","0","0","","OFFICE"
"","","","","Lecture","40670D","017","TBA","TBA","25","0","0","","OFFICE"
"INTD-621b","Introduction to Clinical Medicine (ICM) for HTE","PM","3.0 units","Lecture","40671D","017","TBA","TBA","12","0","0","","OFFICE"
"INTD-622","Pre-clinical System Block for Health, Technology &amp; Engineeri","M","4.0-9.0 units","Lecture","40653D","001","TBA","TBA","15","0","0","","OFFICE"
"","","","","Lecture","40673D","001","TBA","TBA","10","0","0","","OFFICE"
"INTD-790","Research","C","1.0-12.0 units","Lecture","40675D","046","TBA","TBA","40","11","0","","TBA"
