"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"IR-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","10:00-10:50am","MWF","100","0","0","Ekaterina Svyatets, David Ginsburg</a>","SGM101"
"","","","","Discussion","33006R","001","3:00-3:50pm","Monday","25","0","0","Monalisa Chatterjee","VKC109"
"","","","","Discussion","33007R","001","12:00-12:50pm","Tuesday","25","0","0","Monalisa Chatterjee","WPH106"
"","","","","Discussion","33008R","001","3:00-3:50pm","Wednesday","25","0","0","Monalisa Chatterjee","THH110"
"","","","","Discussion","33009R","001","12:00-12:50pm","Thursday","25","0","0","Monalisa Chatterjee","WPH106"
"IR-210gw","International Relations: Introductory Analysis","","4.0 units","Lecture","37720R","001","10:00-10:50am","MWF","240","0","0","Steven Lamy","THH201"
"","","","","Discussion","37721R","001","1:00-1:50pm","Monday","30","0","0","","THH108"
"","","","","Discussion","37722R","001","9:00-9:50am","Friday","30","0","0","","THH213"
"","","","","Discussion","37723R","001","1:00-1:50pm","Wednesday","30","0","0","","THH108"
"","","","","Discussion","37724R","001","1:00-1:50pm","Thursday","30","0","0","","VKC258"
"","","","","Discussion","37725R","001","1:00-1:50pm","Friday","30","0","0","","THH108"
"","","","","Discussion","37726R","001","12:00-12:50pm","Friday","30","0","0","","THH108"
"","","","","Discussion","37727D","001","9:00-9:50am","Friday","1","0","0","","THH110"
"","","","","Discussion","37728R","001","12:00-12:50pm","Monday","30","0","0","","THH112"
"IR-211g","International Relations: Approaches to Research","","4.0 units","Lecture","37733R","001","11:00-11:50am","MWF","50","0","0","Evis Mezini","LVL16"
"","","","","Discussion","37734R","001","10:00-10:50am","Tuesday","25","0","0","","VKC157"
"","","","","Discussion","37735R","001","10:00-10:50am","Thursday","25","0","0","","VKC157"
"IR-212","Historical Approaches to International Relations","P","4.0 units","Lecture","37740R","001","2:00-2:50pm","MWF","50","0","0","","VKC156"
"","","","","Discussion","37741R","001","10:00-10:50am","Tuesday","25","0","0","","VKC151"
"","","","","Discussion","37742R","001","10:00-10:50am","Thursday","25","0","0","","VKC151"
"IR-213","The Global Economy","","4.0 units","Lecture","37747R","001","9:30-10:50am","Tue, Thu","51","1","0","Benjamin Graham","VKC150"
"","","","","Discussion","37748R","001","8:30-9:20am","Tuesday","25","1","0","","VKC203"
"","","","","Discussion","37749R","001","8:30-9:20am","Thursday","26","0","0","","VKC203"
"IR-305","Managing New Global Challenges","","4.0 units","Lecture","37774R","001","11:00-12:20pm","Tue, Thu","48","1","0","Jessica Peet","VKC156"
"IR-307","Contemporary International Politics","","4.0 units, max 8"
"","Historical Memory, Image, and International Politics","","4.0","Lecture","37785R","001","1:00-1:50pm","MWF","48","0","0","Douglas Becker","VKC150"
"IR-310","Peace and Conflict Studies","","4.0 units","Lecture","37790R","001","5:00-6:20pm","Mon, Wed","48","0","0","Douglas Becker","LVL16"
"IR-316","Gender and Global Issues","","4.0 units","Lecture","37803R","001","3:30-4:50pm","Tue, Thu","48","1","0","Jessica Peet","VKC100"
"IR-318","Violent Conflict","","4.0 units","Lecture","37808R","001","9:30-10:50am","Tue, Thu","48","0","0","Andrew Coe","VKC102"
"IR-323","Politics of Global Environment","","4.0 units","Lecture","37813R","001","2:00-2:50pm","MWF","28","1","0","Shannon Gibson","THH208"
"","","","","Lecture","37814R","001","2:00-2:50pm","MWF","20","0","0","Shannon Gibson","THH208"
"IR-325","North-South Relations in the Global Economy","","4.0 units","Lecture","37819R","001","9:30-10:50am","Tue, Thu","48","1","0","Iva Bozovic","VKC156"
"IR-326","U.S. Foreign Economic Policy","","4.0 units","Lecture","37822R","001","5:00-6:20pm","Mon, Wed","48","0","0","Jonathan Markowitz","VKC102"
"IR-329","The Global Finance and Monetary Regime","","4.0 units","Lecture","37825R","001","11:00-12:20pm","Tue, Thu","48","0","0","Nina Rathbun","VKC150"
"IR-330","Politics of the World Economy","","4.0 units","Lecture","37827R","001","2:00-3:20pm","Tue, Thu","48","0","0","Carol Wise","VKC152"
"IR-346","Communism and Post-Communism: Eastern Europe and the Balkans","","4.0 units","Lecture","37854R","001","1:00-1:50pm","MWF","48","0","0","Evis Mezini","VKC152"
"IR-349","International Law and Politics","","4.0 units","Lecture","37857R","001","12:30-1:50pm","Tue, Thu","48","0","0","Sparsha Saha","VKC156"
"IR-350p","Sovereignty in the Middle East","","4.0 units","Lecture","41541R","001","11:00-12:20pm","Tue, Thu","25","0","0","Dina Jadallah","WPH205"
"IR-361","South and Southeast Asia in International Affairs","","4.0 units","Lecture","37867R","001","9:30-10:50am","Tue, Thu","48","0","0","Mesrob Vartavarian","VKC152"
"IR-362","The International Relations of the Contemporary Middle East","","4.0 units","Lecture","37869R","001","3:30-6:20pm","Thursday","48","0","0","Fayez Hammad","SOS B44"
"IR-363","Middle East Political Economy","","4.0 units","Lecture","37872R","001","2:00-3:20pm","Mon, Wed","48","0","0","Laurie Brand","VKC152"
"IR-367","Africa in International Affairs","","4.0 units","Lecture","37881R","001","12:30-1:50pm","Tue, Thu","48","1","0","Mesrob Vartavarian","VKC152"
"IR-371","Global Civil Society: Non-State Actors in World Politics","","4.0 units","Lecture","37886R","001","12:30-1:50pm","Tue, Thu","48","0","0","Geoffrey Wiseman","LVL16"
"IR-381","Introduction to International Security","","4.0 units","Lecture","37895R","001","3:30-4:50pm","Tue, Thu","48","0","0","Sparsha Saha","VKC150"
"IR-382w","Order and Disorder in Global Affairs","","4.0 units","Lecture","37898R","001","11:00-11:50am","MWF","48","0","0","Shannon Gibson","VKC150"
"IR-383","Third World Negotiations","","4.0 units","Lecture","37899R","001","5:00-6:20pm","Mon, Wed","48","0","0","","THH114"
