"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ISE-220","Probability Concepts in Engineering","P","3.0 units","Lecture","31601D","001","8:00-9:50am","Tue, Thu","35","0","0","Cesar Acosta-Mejia","KAP148"
"ISE-225","Engineering Statistics I","P","3.0 units","Lecture","31602D","001","10:00-11:50am","Mon, Wed","30","0","0","Cesar Acosta-Mejia","KAP163"
"","","","","Lecture","31609D","001","12:30-1:50pm","Tue, Thu","30","0","0","Sheldon Ross","KAP147"
"ISE-232L","Manufacturing Processes","","3.0 units","Lecture-Lab","31603D","001","3:30-6:30pm","Thursday","26","0","0","Berok Khoshnevis","GER309"
"ISE-310L","Facilities and Logistics","P","4.0 units","Lecture","31604D","001","12:00-1:50pm","Mon, Wed","50","0","0","Geza Bottlik","VPD105"
"","","","","Lab","31624R","001","11:00-11:50am","Tuesday","20","0","0","","GER309"
"","","","","Lab","31634R","001","11:00-11:50am","Thursday","20","0","0","","GER309"
"","","","","Lab","31635R","001","1:00-1:50pm","Friday","20","0","0","","GER309"
"ISE-315L","Engineering Project Management","P","3.0 units","Lecture-Lab","31683D","001","5:00-6:20pm","Mon, Wed","35","0","0","Erich Kreidler","THH119"
"ISE-327","Six Sigma and Lean Operations","P","3.0 units","Lecture","31681D","001","10:00-11:50am","Mon, Wed","35","0","0","Kurt Palmer","KAP145"
"ISE-330","Introduction to Operations Research: Deterministic Models","P","3.0 units","Lecture","31605D","001","9:30-10:50am","Tue, Thu","35","0","0","Jong-Shi Pang","KAP145"
"ISE-331","Introduction to Operations Research: Stochastic Models","P","3.0 units","Lecture","31606D","001","9:30-10:50am","Tue, Thu","35","0","0","Sheldon Ross","KAP147"
"ISE-370L","Human Factors in Work Design","","4.0 units","Lecture","31607D","001","12:00-1:50pm","Mon, Wed","35","0","0","Najmedin Meshkati","KAP148"
"","","","","Lab","31637R","001","5:00-7:20pm","Wednesday","18","0","0","","GER309"
"","","","","Lab","31640R","001","5:00-7:20pm","Monday","18","0","0","","GER309"
"ISE-382","Database Systems: Concepts, Design and Implementation","","4.0 units","Lecture","31608D","001","12:00-1:50pm","Tue, Thu","49","0","0","Nitin Kale","ZHS163"
"","","","","Discussion","31639R","001","11:00-11:50am","Friday","26","0","0","","KAP107"
"","","","","Discussion","31648R","001","9:30-10:20am","Friday","25","0","0","","KAP107"
