"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ITAL-120","Italian I","","4.0 units","Lecture","34405D","001","9:00-9:50am","MTuWTh","19","0","0","James Fortney","VKC111"
"","","","","Lecture","34407D","001","10:00-10:50am","MTuWTh","19","0","0","James Fortney","VKC111"
"","","","","Lecture","34409D","001","4:00-5:50pm","Tue, Thu","19","0","0","Alessio Filippi","VKC111"
"","","","","Lecture","34411D","001","6:00-7:50pm","Tue, Thu","20","0","0","Alessio Filippi","VKC111"
"ITAL-150","Italian II","P","4.0 units","Lecture","34413R","001","8:00-8:50am","MTuWTh","19","0","0","Antonio Idini","VKC111"
"","","","","Lecture","34415R","001","1:00-1:50pm","MTuWTh","19","0","0","Francesca Leardini","VKC109"
"","","","","Lecture","34420R","001","4:00-5:50pm","Tue, Thu","19","0","0","Francesca Leardini","VKC109"
"ITAL-220","Italian III","P","4.0 units","Lecture","34424R","001","10:00-10:50am","TuWThF","19","0","0","Francesca Italiano","VKC109"
"","","","","Lecture","34426R","001","11:00-11:50am","TuWThF","19","0","0","Francesca Italiano","VKC109"
"","","","","Lecture","34428R","001","1:00-1:50pm","TuWThF","19","0","0","Francesca Italiano","VKC111"
"ITAL-224","Italian Composition and Conversation","","4.0 units","Lecture","34430R","001","1:00-1:50pm","MTuWTh","16","0","0","Alessio Filippi","THH111"
"ITAL-235","Intermediate Conversational Italian","P","2.0 units","Lecture","34434R","001","12:00-12:50pm","Tue, Thu","16","0","0","Alessio Filippi","WPH101"
"ITAL-320","Critical Writing in Italian","P","4.0 units","Lecture","34450R","001","2:00-3:20pm","Mon, Wed","16","0","0","Francesca Leardini","THH209"
"ITAL-350g","Italian Renaissance Literature in Translation","","4.0 units","Lecture","34455R","001","2:00-3:20pm","Tue, Thu","10","0","0","Margaret Rosenthal","THH113"
"ITAL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34475D","001","TBA","TBA","1","0","0","","OFFICE"
"ITAL-499","Special Topics","P","2.0-4.0 units, max 8"
"","Screening Youth","","4.0","Lecture","34480D","001","3:30-4:50pm","Mon, Wed","12","0","0","","THH221"
"ITAL-590","Directed Research","","1.0-12.0 units","Lecture","34499D","001","TBA","TBA","2","0","0","","OFFICE"
