"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"JOUR-201","History of News in Modern America","","4.0 units","Lecture","21008D","001","3:30-4:50pm","Mon, Wed","100","0","0","Mike Ananny","ANN L105A"
"JOUR-205","Journalism Practicum","","1.0-2.0 units, max 2","Lecture","21030D","001","TBA","TBA","15","0","0","William Celis","OFFICE"
"JOUR-209","Effective Writing for Strategic Public Relations","","4.0 units","Lecture","21060D","001","6:00-9:20pm","Tuesday","16","0","0","","ANN308"
"","","","","Lecture","21061D","001","2:00-5:20pm","Monday","16","0","0","","ANN408"
"JOUR-210x","Basics of News Production for Non-Majors","M","2.0 units, max 6","Lecture","21072D","001","TBA","TBA","15","0","0","Rebecca Haggerty","OFFICE"
"JOUR-250","Strategic Public Relations: An Introduction","","4.0 units","Lecture","21040D","001","6:30-9:50pm","Monday","18","0","0","","ANN L115"
"","","","","Lecture","21041D","001","2:00-5:20pm","Thursday","18","0","0","","ANN L115"
"","","","","Lecture","21042D","001","6:30-9:50pm","Wednesday","18","0","0","","ANN211"
"JOUR-253","Theoretical Foundations of Strategic Public Relations","P","4.0 units","Lecture","21050D","001","2:00-3:40pm","Mon, Wed","32","0","0","Daren Brabham","ANN L115"
"","","","","Lecture","21051D","001","2:00-5:20pm","Monday","32","0","0","","ANN L116"
"JOUR-302","Reporting: Print","P","3.0 units","Lecture","21082D","001","7:00-9:40pm","Tuesday","15","0","0","","ANN307"
"","","","","Lecture","21079D","001","9:00-11:40am","Tuesday","15","0","0","","ANN307"
"","","","","Lecture","21080D","001","12:00-2:40pm","Tuesday","15","0","0","","ANN307"
"","","","","Lecture","21081D","001","4:00-6:40pm","Tuesday","15","0","0","","ANN307"
"","","","","Lecture","21083D","001","12:00-2:40pm","Wednesday","15","0","0","","ANN413"
"","","","","Lecture","21084D","001","2:00-4:40pm","Wednesday","15","0","0","Sandy Tolan","ANN308"
"JOUR-303","Reporting: Broadcast","P","3.0 units","Lecture","21092D","001","9:00-11:40am","Thursday","15","0","0","","ANN307"
"","","","","Lecture","21093D","001","5:00-7:40pm","Wednesday","15","0","0","","ANN307"
"","","","","Lecture","21094D","001","5:00-7:40pm","Thursday","15","0","0","","ASC230"
"","","","","Lecture","21095D","001","7:00-9:40pm","Thursday","15","0","0","","ANN308"
"","","","","Lecture","21096D","001","10:00-12:40pm","Friday","15","0","0","Rebecca Haggerty","ANN307"
"","","","","Lecture","21097D","001","9:00-11:40am","Wednesday","15","0","0","","ANN307"
"","","","","Lab","21100R","001","8:00-11:50am","Monday","3","0","0","","ANN102"
"","","","","Lab","21101R","001","9:00-12:50pm","Monday","3","0","0","","ANN102"
"","","","","Lab","21102R","001","10:00-1:50pm","Monday","3","0","0","","ANN102"
"","","","","Lab","21103R","001","11:00-2:50pm","Monday","3","0","0","","ANN102"
"","","","","Lab","21104R","001","12:00-3:50pm","Monday","3","0","0","","ANN102"
"","","","","Lab","21105R","001","1:00-4:50pm","Monday","3","0","0","","ANN102"
"","","","","Lab","21106R","001","2:00-5:50pm","Monday","3","0","0","","ANN102"
"","","","","Lab","21107R","001","3:00-6:50pm","Monday","3","0","0","","ANN102"
"","","","","Lab","21108R","001","8:00-11:50am","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21109R","001","9:00-12:50pm","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21110R","001","10:00-1:50pm","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21111R","001","11:00-2:50pm","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21112R","001","12:00-3:50pm","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21113R","001","1:00-4:50pm","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21114R","001","2:00-5:50pm","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21115R","001","3:00-6:50pm","Tuesday","3","0","0","","ANN102"
"","","","","Lab","21116R","001","8:00-11:50am","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21117R","001","9:00-12:50pm","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21118R","001","10:00-1:50pm","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21119R","001","11:00-2:50pm","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21120R","001","12:00-3:50pm","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21121R","001","1:00-4:50pm","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21122R","001","2:00-5:50pm","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21123R","001","3:00-6:50pm","Wednesday","3","0","0","","ANN102"
"","","","","Lab","21124R","001","8:00-11:50am","Thursday","3","0","0","","ANN102"
"","","","","Lab","21125R","001","9:00-12:50pm","Thursday","3","0","0","","ANN102"
"","","","","Lab","21126R","001","10:00-1:50pm","Thursday","3","0","0","","ANN102"
"","","","","Lab","21127R","001","11:00-2:50pm","Thursday","3","0","0","","ANN102"
"","","","","Lab","21128R","001","12:00-3:50pm","Thursday","3","0","0","","ANN102"
"","","","","Lab","21129R","001","1:00-4:50pm","Thursday","3","0","0","","ANN102"
"","","","","Lab","21130R","001","2:00-5:50pm","Thursday","3","0","0","","ANN102"
"","","","","Lab","21131R","001","3:00-6:50pm","Thursday","3","0","0","","ANN102"
"","","","","Lab","21132R","001","10:00-1:50pm","Friday","2","0","0","","ANN102"
"","","","","Lab","21133R","001","11:00-2:50pm","Friday","2","0","0","","ANN102"
"JOUR-310","Investigative Reporting","P","4.0 units","Lecture","21172D","001","6:30-9:50pm","Monday","16","0","0","","ANN210"
"","","","","Lecture","21173D","001","6:00-9:20pm","Tuesday","16","0","0","Alan Mittelstaedt","ANN405"
"","","","","Lecture","21170D","001","10:00-11:50am","Wed, Fri","15","0","0","","ANN209"
"","","","","Lecture","21171D","001","12:00-1:50pm","Wed, Fri","15","0","0","","ANN209"
"JOUR-330","Photojournalism","","4.0 units","Lecture","21176R","001","10:00-11:50am","Tue, Thu","15","0","0","Myra Turner","ANN209"
"JOUR-340","Introduction to Advertising","","4.0 units","Lecture","21182R","001","6:30-9:50pm","Tuesday","35","0","0","","ANN406"
"","","","","Lecture","21183R","001","6:00-9:20pm","Monday","35","0","0","","ANN406"
"JOUR-343","Advertising Design and Production","P","4.0 units","Lecture","21189R","001","2:00-5:20pm","Tuesday","16","0","0","","ANN308"
"","","","","Lecture","21190R","001","2:00-5:20pm","Monday","16","0","0","","ANN305"
"JOUR-351a","Strategic Public Relations Media and Content","P","4.0 units","Lecture","21199D","001","2:00-5:20pm","Thursday","16","0","0","","ANN307"
"","","","","Lecture","21202D","001","6:30-9:50pm","Monday","16","0","0","","ANN413"
"","","","","Lecture","21200D","001","6:00-9:20pm","Monday","16","0","0","","ANN307"
"","","","","Lecture","21201D","001","6:00-9:20pm","Thursday","16","0","0","","ANN413"
"JOUR-351b","Strategic Public Relations Media and Content","P","4.0 units","Lecture","21205D","001","2:00-5:20pm","Thursday","16","0","0","","ANN413"
"JOUR-371","Censorship and the Law: From the Press to Cyberspace","","4.0 units","Lecture","20572R","001","12:30-1:50pm","Tue, Thu","25","0","0","Mark Lloyd","ANN209"
"JOUR-373","Journalism Ethics Goes to the Movies","","4.0 units","Lecture","21209R","001","2:00-5:20pm","Tuesday","24","0","0","Joe Saltzman","ASC240"
"JOUR-380","Sports, Business and Media in Today's Society","","4.0 units","Lecture","21218R","001","6:00-9:20pm","Wednesday","200","1","0","Jeffrey Fellenzer","ASC G26"
"JOUR-381","Entertainment, Business and Media in Today's Society","","4.0 units","Lecture","21229R","001","6:30-9:50pm","Monday","64","0","0","Mary Murphy","ANN L101"
"JOUR-401","Online Site Management and Production for Journalists","","4.0 units","Lecture","21231R","001","6:00-9:20pm","Tuesday","24","0","0","","ANN211"
"JOUR-402","Advanced Television Reporting","P","4.0 units","Lecture","21232D","001","9:00-12:20pm","Tuesday","15","1","0","Judy Muller","ANN308"
"JOUR-403","Television News Production","P","4.0 units","Lecture","21235D","001","9:00-12:20pm","Thursday","12","0","0","Stacy Scholder","ANN210"
"JOUR-405","Non-Fiction Television","P","4.0 units","Lecture","21237D","001","9:00-12:20pm","Tuesday","15","0","0","Daniel Birman","ANN210"
"JOUR-409","Radio News Production","P","4.0 units","Lecture","21250D","001","9:00-12:20pm","Wednesday","15","0","0","Willa Seidenberg","ANN305"
"JOUR-420","Advanced Photojournalism","P","4.0 units","Lecture","21253R","001","12:00-1:50pm","Tue, Thu","15","0","0","",""
"JOUR-428","Social, Legal and Ethical Foundations of Public Relations","P","4.0 units","Lecture","21254D","001","6:30-9:50pm","Monday","32","2","0","","ANN L116"
"","","","","Lecture","21255D","001","2:00-5:20pm","Tuesday","32","0","0","","ANN L116"
"JOUR-429","Business and Economic Foundations of Public Relations","P","4.0 units","Lecture","21258D","001","2:00-5:20pm","Tuesday","16","0","0","Burghardt Tenderich","ANN L115"
"JOUR-430","Writing the Film Review","P","4.0 units","Lecture","21287D","001","6:45-10:05pm","Tuesday","11","4","0","Kenneth Turan","ANN408"
"JOUR-431","Feature Writing","P","4.0 units","Lecture","21290D","001","2:00-5:20pm","Monday","15","1","0","Richard Reeves","ASC230"
"JOUR-432","Sports Commentary","","4.0 units","Lecture","21293D","001","6:30-9:50pm","Monday","20","0","0","Myra Turner","ANN305"
"JOUR-435","Writing Magazine Non-Fiction","P","4.0 units","Lecture","21295D","001","6:00-9:20pm","Monday","16","0","0","","ANN408"
"JOUR-440","Environmental Journalism","P","4.0 units","Lecture","21299D","001","2:00-5:20pm","Thursday","15","0","0","","ANN405"
"JOUR-450","Advanced Strategic Public Relations","P","4.0 units","Lecture","21338D","001","6:00-9:20pm","Wednesday","16","0","0","","ANN308"
"","","","","Lecture","21339D","001","6:30-9:50pm","Thursday","16","0","0","","ANN305"
"","","","","Lecture","21336D","001","6:00-9:20pm","Tuesday","16","1","0","","ANN413"
"","","","","Lecture","21337D","001","2:00-5:20pm","Wednesday","16","1","0","Jennifer Floto","ANN305"
"JOUR-452","Public Relations in Entertainment","","4.0 units","Lecture","21345R","001","6:30-9:50pm","Wednesday","64","0","0","","ANN L101"
"JOUR-454","Sports Public Relations","","2.0 units","Lecture","21349R","001","7:00-9:40pm","Monday","24","0","0","","ANN308"
"","","","","Lecture","21350R","001","6:30-9:10pm","Wednesday","25","0","0","","ANN406"
"JOUR-462","Law of Mass Communication","","4.0 units","Lecture","21374D","001","2:00-5:20pm","Tuesday","25","1","0","Jonathan Kotler","ASC331"
"","","","","Lecture","21375D","001","2:00-5:20pm","Wednesday","25","0","0","Jonathan Kotler","ASC331"
"JOUR-463","Strategic Public Relations Research, Analysis and Insights","P","4.0 units","Lecture","21379D","001","6:00-9:20pm","Wednesday","16","0","0","","ANN405"
"JOUR-468m","The American Press and Issues of Sexual Diversity","","4.0 units","Lecture","21378R","001","12:00-3:20pm","Wednesday","24","0","0","Laura Castaneda","ASC228"
"JOUR-475","Publications Design and Technology","","4.0 units","Lecture","21404D","001","6:30-9:50pm","Wednesday","12","3","0","Leslie Dunseith, Nick Cuccia","ANN305"
"JOUR-477","Web Analytics for News and Nonprofit Organizations","","2.0 units","Lecture","21456R","001","12:00-1:50pm","Monday","15","0","0","Dana Chinn","ASC240"
"JOUR-483","Negotiating and Reporting Global Change","","4.0 units","Lecture","21384D","001","2:00-5:20pm","Wednesday","12","0","0","Roberto Suro","ASC230"
"JOUR-486","Multimedia PR Content: Introduction to Digital Design Tools","","2.0 units","Lecture","21544D","001","10:00-12:40pm","Monday","9","0","0","","ANN305"
"JOUR-487","Multimedia PR Content: Introduction to Audio/Video Tools","","2.0 units","Lecture","21545D","001","6:00-8:40pm","Tuesday","8","0","0","","ASC328"
"JOUR-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","21440D","001","TBA","TBA","12","0","0","Kjerstin Thorson","OFFICE"
"","","","","Lecture","21441D","001","TBA","TBA","12","0","0","Sandy Tolan","OFFICE"
"","","","","Lecture","21442D","001","TBA","TBA","12","0","0","Jay Wang","OFFICE"
"","","","","Lecture","21443D","001","TBA","TBA","12","0","0","Diane Winston","OFFICE"
"","","","","Lecture","21445D","001","TBA","TBA","12","0","0","","OFFICE"
"","","","","Lecture","21446D","001","TBA","TBA","12","0","0","","OFFICE"
"","","","","Lecture","21406D","001","TBA","TBA","12","0","0","Amara Aguilar","OFFICE"
"","","","","Lecture","21407D","001","TBA","TBA","12","0","0","Sasha Anawalt","OFFICE"
"","","","","Lecture","21408D","001","TBA","TBA","12","0","0","Daniel Birman","OFFICE"
"","","","","Lecture","21409D","001","TBA","TBA","12","0","0","Daren Brabham","OFFICE"
"","","","","Lecture","21410D","001","TBA","TBA","12","0","0","Peggy Bustamante","OFFICE"
"","","","","Lecture","21411D","001","TBA","TBA","12","0","0","Laura Castaneda","OFFICE"
"","","","","Lecture","21412D","001","TBA","TBA","12","0","0","William Celis","OFFICE"
"","","","","Lecture","21413D","001","TBA","TBA","12","0","0","Serena Cha","OFFICE"
"","","","","Lecture","21414D","001","TBA","TBA","12","0","0","Dana Chinn","OFFICE"
"","","","","Lecture","21415D","001","TBA","TBA","12","0","0","K Cole","OFFICE"
"","","","","Lecture","21416D","001","TBA","TBA","12","0","0","Fred Cook","OFFICE"
"","","","","Lecture","21417D","001","TBA","TBA","12","0","0","Geoffrey Cowan","OFFICE"
"","","","","Lecture","21418D","001","TBA","TBA","12","0","0","Jennifer Floto","OFFICE"
"","","","","Lecture","21419D","001","TBA","TBA","12","0","0","Vince Gonzales","OFFICE"
"","","","","Lecture","21420D","001","TBA","TBA","12","0","0","Robert Hernandez","OFFICE"
"","","","","Lecture","21421D","001","TBA","TBA","12","0","0","Henry Jenkins","OFFICE"
"","","","","Lecture","21422D","001","TBA","TBA","12","0","0","Gabriel Kahn","OFFICE"
"","","","","Lecture","21423D","001","TBA","TBA","12","0","0","Jonathan Kotler","OFFICE"
"","","","","Lecture","21424D","001","TBA","TBA","12","0","0","","OFFICE"
"","","","","Lecture","21425D","001","TBA","TBA","12","0","0","Matthew Leveque","OFFICE"
"","","","","Lecture","21426D","001","TBA","TBA","12","0","0","Alan Mittelstaedt","OFFICE"
"","","","","Lecture","21427D","001","TBA","TBA","12","0","0","Judy Muller","OFFICE"
"","","","","Lecture","21428D","001","TBA","Thursday","12","0","0","Tim Page","OFFICE"
"","","","","Lecture","21429D","001","TBA","TBA","12","0","0","Michael Parks","OFFICE"
"","","","","Lecture","21430D","001","TBA","TBA","12","0","0","Lawrence Pryor","OFFICE"
"","","","","Lecture","21431D","001","TBA","TBA","12","0","0","Richard Reeves","OFFICE"
"","","","","Lecture","21432D","001","TBA","TBA","12","0","0","Joe Saltzman","OFFICE"
"","","","","Lecture","21433D","001","TBA","TBA","12","0","0","Stacy Scholder","OFFICE"
"","","","","Lecture","21434D","001","TBA","TBA","12","0","0","Philip Seib","OFFICE"
"","","","","Lecture","21435D","001","TBA","TBA","12","0","0","Willa Seidenberg","OFFICE"
