"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"JS-100gp","Jewish History","","4.0 units","Lecture","38200R","001","2:00-3:20pm","Mon, Wed","100","0","0","Candice Levy, Leah Hochman","THH301"
"","","","","Discussion","38201R","001","3:00-3:50pm","Thursday","25","0","0","","THH110"
"","","","","Discussion","38202R","001","4:00-4:50pm","Tuesday","25","0","0","","VKC160"
"","","","","Discussion","38203R","001","4:00-4:50pm","Wednesday","25","0","0","","VKC157"
"","","","","Discussion","38204R","001","4:00-4:50pm","Monday","25","0","0","","VKC157"
"JS-180p","Judaism","","4.0 units","Lecture","38222R","001","2:00-3:20pm","Mon, Wed","50","0","0","Joshua Garroway, Leah Hochman","VKC101"
"","","","","Discussion","38225R","001","4:00-4:50pm","Tuesday","25","0","0","","THH121"
"","","","","Discussion","38226R","001","4:00-4:50pm","Thursday","25","0","0","","THH121"
"JS-211gw","The Holocaust","","4.0 units","Lecture","38206R","001","2:00-3:20pm","Tue, Thu","5","1","0","Sharon Gillerman, Leah Hochman","WPH B27"
"","","","","Discussion","38207R","001","3:30-4:20pm","Tuesday","25","1","0","","THH106"
"","","","","Discussion","38208R","001","3:30-4:20pm","Thursday","25","0","0","","THH106"
"","","","","Discussion","38209R","001","12:00-12:50pm","Wednesday","25","0","0","","THH108"
"","","","","Discussion","38215R","001","10:00-10:50am","Monday","25","0","0","","THH112"
"JS-314gp","Holy War And History: Jews, Christians, Muslims","","4.0 units","Lecture","38205R","001","9:30-10:50am","Tue, Thu","25","0","0","Reuven Firestone, Leah Hochman","VKC209"
"JS-378","Jewish Magic in the Ancient World","","4.0 units","Lecture","38224R","001","11:00-12:20pm","Tue, Thu","25","0","0","Kristine Garroway, Leah Hochman","THH121"
"JS-428","Blacks and Jews: Conflicts and Alliances","","4.0 units","Lecture","38218R","001","12:30-1:50pm","Tue, Thu","20","0","0","Bruce Phillips, Leah Hochman","THH117"
"JS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","38220R","001","TBA","TBA","10","0","0","Leah Hochman","OFFICE"
"JS-590","Directed Research","","1.0-12.0 units","Lecture","38221R","001","TBA","TBA","5","0","0","Leah Hochman","OFFICE"
