"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LAW-200x","Law and Society","","4.0 units","Lecture","02600R","001","2:00-3:50pm","Monday","90","3","0","Susan Estrich","WPH B27"
"","","","","Discussion","02601R","001","1:00-1:50pm","Monday","48","0","0","Susan Estrich","SOS B41"
"","","","","Discussion","02602R","001","4:00-4:50pm","Monday","31","0","0","Susan Estrich","SOS B41"
"LAW-300","Concepts in American Law","","4.0 units","Lecture","02607D","001","2:00-3:50pm","Tue, Thu","60","0","0","Ron Garet","LAW130"
"LAW-301","The Constitution in Transnational Perspective","","4.0 units","Lecture","02670R","001","3:30-4:50pm","Mon, Wed","75","0","0","Samuel Erman","LAW7"
"LAW-403","Mental Health Law","","4.0 units","Lecture","02620R","001","3:30-6:20pm","Thursday","40","1","0","James Preis","THH118"
"LAW-444","Civil and Political Rights and Liberties","","4.0 units","Lecture","52115R","001","12:30-1:50pm","Tue, Thu","40","1","0","Arthur Auerbach","VKC101"
"LAW-550","Business Law Advisor","M","1.0 units, max 4","Lecture","03190D","941",":-:am","TBA","20","0","0","Donald Scotten",", OFFICE"
"LAW-600","Taxation","M","3.0-4.0 units","Lecture","03221R","941","10:00-11:50am","Mon, Wed","100","0","0","Tom Griffith","LAW7"
"LAW-601","Advanced Legal Writing Practicum","M","2.0-4.0 units","Lecture","03222R","941","2:00-3:15pm","Mon, Wed","12","0","0","Catherine Coleman","LAW106"
"","","","","Lecture","03229R","941","2:00-3:15pm","Tue, Thu","12","0","0","Susan Wright","LAW2"
"LAW-602","Criminal Procedure","M","2.0-4.0 units","Lecture","03223R","941","5:00-7:50pm","Monday","70","0","0","Stan Blumenfeld","LAW7"
"LAW-603","Business Organizations","M","3.0-5.0 units","Lecture","03224R","941","9:00-10:50am","Tue, Thu","80","0","0","Donald Scotten","LAW7"
"LAW-607","Gifts, Wills, and Trusts","M","3.0-4.0 units","Lecture","03237R","941","8:00-9:50am","Mon, Wed","90","0","0","Reynolds Cafferata","LAW7"
"LAW-608","Evidence","M","3.0-4.0 units","Lecture","03240R","941","2:00-3:50pm","Mon, Wed","80","0","0","Richard Drooyan","LAW1"
"LAW-612","California Civil Procedure","M","2.0-4.0 units","Lecture","03248R","941","6:30-9:00pm","Monday","40","0","0","Daniel Buckley","LAW103"
"LAW-614","Accounting for Lawyers","M","2.0-3.0 units","Lecture","03250R","941","3:30-4:45pm","Mon, Wed","50","0","0","Howard Levy","LAW103"
"LAW-623","Family Law","M","3.0-4.0 units","Lecture","03263R","941","4:00-6:30pm","Monday","25","0","0","Anne Kiley","LAW101"
"LAW-625","Remedies","M","3.0-4.0 units","Lecture","03265R","941","5:30-6:45pm","Tue, Thu","70","0","0","","LAW7"
"LAW-626","Advanced International Business Dispute Resolution","PM","2.0 units","Lecture","03267R","941","4:00-5:50pm","Mon, Thu","25","0","0","Nathan O' Malley","LAW12"
"LAW-628","Real Estate Finance Problems","M","1.0 unit","Lecture","03268R","941","9:20-9:50am","Thursday","14","0","0","Philip Nichols","LAW130"
"","","","","Lecture","03269R","941",":-:am","TBA","25","0","0","Oscar Sandoval",", OFFICE"
"LAW-629","Real Estate Law and Business II (Finance and Development)","M","2.0-5.0 units","Lecture","03270R","941","10:00-11:50am","Tue, Thu","30","0","0","George Lefcoe","LAW130"
"LAW-631","Mediation Clinic II","PM","2.0-4.0 units","Lecture","03272D","941","5:00-6:50pm","Thursday","20","0","0","Lisa Klerman","LAW114"
"LAW-632","Business for Lawyers","M","2.0-4.0 units","Lecture","03273R","941","5:00-6:50pm","Wednesday","50","0","0","Vijay Sekhon","LAW7"
"LAW-635","Employment Discrimination Law","M","2.0-4.0 units","Lecture","03278R","941","2:00-3:15pm","Mon, Wed","35","0","0","Stephen Rich","LAW7"
"LAW-642","Secured Transactions","M","2.0-4.0 units","Lecture","03295R","941","5:00-6:15pm","Mon, Wed","35","0","0","Warren Loui","LAW103"
"LAW-644","Corporate Taxation","PM","2.0-4.0 units","Lecture","03297R","941","4:00-5:50pm","Tue, Thu","35","0","0","Edward Kleinbard D","LAW101"
"LAW-648","Topics in Entertainment Law","M","1.0-4.0 units, max 8"
"","Intellectual Property Licensing","","2.0","Lecture","03301R","941","8:00-9:50am","Monday","30","0","0","Brian Peck","LAW101"
"LAW-649","Insurance","M","2.0-3.0 units","Lecture","03312R","941","5:00-7:40pm","Monday","25","0","0","Peter Rosen","LAW3"
"LAW-650","Entertainment Law","M","2.0-4.0 units","Lecture","03313R","941","10:00-11:50am","Thursday","80","0","0","Larry Stein","LAW3"
"LAW-651","Entertainment Law Practicum","M","1.0-2.0 units, max 8","Lecture","03314D","941",":-:am","TBA","1","0","0","Scott Altman",", OFFICE"
"LAW-655","Environmental Law","M","2.0-4.0 units","Lecture","03318R","941","8:00-9:50am","Wednesday","20","0","0","James Arnone, Michael Romey","LAW114"
