"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BISC-102Lxg","Humans and Their Environment","","4.0 units","Lecture","13000R","001","9:30-10:50am","Tue, Thu","120","1","0","Dale Kiefer, Cornelius Sullivan</a>","ZHS159"
"","","","","Lab","13102R","001","4:00-5:50pm","Tuesday","20","0","0","","ZHS257"
"","","","","Lab","13103R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS257"
"","","","","Lab","13105R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS257"
"","","","","Lab","13106R","001","10:00-11:50am","Friday","20","0","0","","ZHS257"
"","","","","Lab","13107R","001","12:00-1:50pm","Tuesday","20","1","0","","ZHS257"
"","","","","Lab","13108R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS257"
"BISC-120Lg","General Biology: Organismal Biology and Evolution","M","4.0 units","Lecture","13003R","001","2:00-3:20pm","Tue, Thu","100","0","0","Raffaella Ghittoni","THH101"
"","","","","Lab","13004R","001","5:00-7:50pm","Thursday","20","0","0","","ZHS365"
"","","","","Lab","13005R","001","8:00-10:50am","Friday","20","0","0","","ZHS365"
"","","","","Lab","13006R","001","11:00-1:50pm","Friday","20","0","0","","ZHS365"
"BISC-150Lxg","The Nature of Human Health and Disease","","4.0 units","Lecture","13007R","001","9:30-10:50am","Tue, Thu","54","0","0","Oliver Rizk, Christa Bancroft","ZHS252"
"","","","","Lab","13213R","001","10:00-11:50am","Wednesday","18","0","0","","ZHS458"
"","","","","Lab","13216R","001","12:00-1:50pm","Tuesday","18","0","0","","ZHS458"
"","","","","Lab","13217R","001","12:00-1:50pm","Wednesday","18","0","0","","ZHS458"
"BISC-180Lxg","Evolution","","4.0 units","Lecture","13400R","001","9:00-9:50am","MWF","60","0","0","Oliver Rizk","ZHS252"
"","","","","Lab","13401R","001","1:00-2:50pm","Friday","20","0","0","Oliver Rizk","ZHS369"
"","","","","Lab","13402R","001","12:00-1:50pm","Thursday","20","0","0","Oliver Rizk","ZHS369"
"","","","","Lab","13403R","001","2:00-3:50pm","Thursday","20","0","0","Oliver Rizk","ZHS369"
"BISC-220Lg","General Biology: Cell Biology and Physiology","","4.0 units","Lecture","13011R","001","9:00-9:50am","MWF","250","0","0","Albert Herrera, Alan Watts</a>","THH101"
"","","","","Lecture","13012R","001","10:00-10:50am","MWF","250","0","0","Albert Herrera, Alan Watts</a>","THH101"
"","","","","Lecture","13022R","001","9:30-10:50am","Tue, Thu","250","0","0","Bruce Yazejian, Samuel Hires","THH101"
"","","","","Quiz","13120R","001","2:00-2:50pm","Friday","850","0","0","","OFFICE"
"","","","","Lab","13140R","001","8:00-10:50am","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13141R","001","8:00-10:50am","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13142R","001","8:00-10:50am","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13143R","001","8:00-10:50am","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13144R","001","8:00-10:50am","Thursday","20","0","0","","ZHS363"
"","","","","Lab","13145R","001","8:00-10:50am","Thursday","20","0","0","","ZHS365"
"","","","","Lab","13146R","001","11:00-1:50pm","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13147R","001","11:00-1:50pm","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13148R","001","11:00-1:50pm","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13149R","001","11:00-1:50pm","Wednesday","20","0","0","","ZHS361"
"","","","","Lab","13150R","001","11:00-1:50pm","Wednesday","20","0","0","","ZHS363"
"","","","","Lab","13151R","001","11:00-1:50pm","Wednesday","20","0","0","","ZHS365"
"","","","","Lab","13152R","001","11:00-1:50pm","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13153R","001","11:00-1:50pm","Thursday","20","0","0","","ZHS363"
"","","","","Lab","13154R","001","11:00-1:50pm","Thursday","20","0","0","","ZHS365"
"","","","","Lab","13155R","001","11:00-1:50pm","Friday","20","0","0","","ZHS361"
"","","","","Lab","13156R","001","11:00-1:50pm","Friday","20","0","0","","ZHS363"
"","","","","Lab","13158R","001","2:00-4:50pm","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13159R","001","2:00-4:50pm","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13160R","001","2:00-4:50pm","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13161R","001","2:00-4:50pm","Wednesday","20","0","0","","ZHS361"
"","","","","Lab","13162R","001","2:00-4:50pm","Wednesday","20","0","0","","ZHS363"
"","","","","Lab","13163R","001","2:00-4:50pm","Wednesday","20","0","0","","ZHS365"
"","","","","Lab","13164R","001","2:00-4:50pm","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13165R","001","2:00-4:50pm","Thursday","20","0","0","","ZHS363"
"","","","","Lab","13167R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS361"
"","","","","Lab","13168R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS363"
"","","","","Lab","13169R","001","5:00-7:50pm","Tuesday","20","0","0","","ZHS365"
"","","","","Lab","13170R","001","5:00-7:50pm","Wednesday","20","0","0","","ZHS361"
"","","","","Lab","13171R","001","5:00-7:50pm","Wednesday","20","0","0","","ZHS363"
"","","","","Lab","13172R","001","5:00-7:50pm","Wednesday","20","0","0","","ZHS365"
"","","","","Lab","13173R","001","5:00-7:50pm","Thursday","20","0","0","","ZHS361"
"","","","","Lab","13174R","001","5:00-7:50pm","Thursday","20","0","0","","ZHS363"
"","","","","Lab","13176R","001","8:00-10:50am","Wednesday","20","0","0","","ZHS363"
"BISC-221Lg","Advanced General Biology: Cell Biology and Physiology","P","4.0 units","Lecture","13013D","001","10:00-10:50am","MWF","60","0","0","David McKemy, Larry Swanson</a>","ZHS352"
"","","","","Lab","13190R","001","8:00-10:50am","Tuesday","10","0","0","","ZHS369"
"","","","","Lab","13191R","001","8:00-10:50am","Thursday","10","0","0","","ZHS369"
"","","","","Lab","13192R","001","11:00-1:50pm","Tuesday","10","0","0","","ZHS369"
"","","","","Lab","13193R","001","11:00-1:50pm","Wednesday","10","0","0","","ZHS369"
"","","","","Lab","13194R","001","2:00-4:50pm","Tuesday","10","0","0","","ZHS369"
"","","","","Lab","13195R","001","2:00-4:50pm","Wednesday","10","0","0","","ZHS369"
"BISC-230xg","The Biology of the Brain: Current Topics in Neuroscience","","4.0 units","Lecture","13014R","001","12:00-1:50pm","Mon, Wed","180","2","0","Bruce Yazejian","THH201"
"","","","","Lab","13250R","001","10:00-11:50am","Tuesday","20","0","0","","ZHS468"
"","","","","Lab","13251R","001","12:00-1:50pm","Tuesday","20","0","0","","ZHS468"
"","","","","Lab","13252R","001","2:00-3:50pm","Tuesday","20","2","0","","ZHS468"
"","","","","Lab","13253R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS468"
"","","","","Lab","13254R","001","10:00-11:50am","Thursday","20","0","0","","ZHS468"
"","","","","Lab","13255R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS468"
"","","","","Lab","13256R","001","10:00-11:50am","Friday","20","0","0","","ZHS468"
"","","","","Lab","13257R","001","12:00-1:50pm","Friday","20","0","0","","ZHS468"
"","","","","Lab","13258R","001","2:00-3:50pm","Friday","20","0","0","","ZHS468"
"CORE-103g","The Process of Change in Science: Thematic Option Honors Pro","","4.0 units","Lecture-Discussion","63516D","001","3:30-4:50pm","Mon, Wed","19","0","0","Jim Haw","THH117"
"","","","","Lecture","63513D","001","12:30-1:50pm","Tue, Thu","40","1","0","Kenneth Nealson","THH118"
"","","","","Discussion","63514D","001","8:00-8:50am","Friday","20","1","0","Bonita Lam","THH211"
"","","","","Discussion","63515D","001","9:00-9:50am","Friday","20","0","0","Bonita Lam","THH211"
"","","","","Lab","63522R","001","5:00-8:00pm","Monday","45","1","0","","VKC156"
"","","","","Lab","63524R","001","TBA","TBA","150","0","0","","OFFICE"
"GESM-140g","Seminar in the Life Sciences","C","4.0 units"
"","The Physics of Life","","4.0","Lecture","35464R","001","2:00-3:20pm","Tue, Thu","2","0","0","James Boedicker","WPH B36"
"","Language and the Age of Internet","","4.0","Lecture","35465R","001","12:30-1:50pm","Tue, Thu","2","0","0","Elsi Kaiser","VKC254"
"","The Mind and Body Connection Through the Lifespan","","4.0","Lecture","35466R","001","5:00-6:30pm","Mon, Wed","2","0","0","Aaron Hagedorn","GER224"
"","Personality Across the Life Span","","4.0","Lecture","35467R","001","5:00-6:30pm","Tue, Thu","2","0","0","Aaron Hagedorn","GER224"
