"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LIM-500","Fundamentals of Library and Information Science","M","3.0 units","Lecture","16951R","390","TBA","TBA","25","0","0","","ONLINE"
"LIM-503","Organization, Access and Retrieval of Information","M","3.0 units","Lecture","16967R","390","TBA","TBA","25","0","0","","ONLINE"
"LIM-504","Research Methods in Library and Information Management","M","3.0 units","Lecture","16973R","390","TBA","TBA","25","0","0","","ONLINE"
"LIM-511","Instructional Strategies for Information Professionals","P","3.0 units","Lecture","16977R","390","TBA","TBA","25","0","0","","ONLINE"
"LIM-562","Library and Information Technologies","P","3.0 units","Lecture","16987R","390","TBA","TBA","25","0","0","","ONLINE"
"LIM-591","Research and Professional Applications","M","2.0 units, max 10","Lecture","16953R","390","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","16992R","390","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","16993R","390","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","16994R","390","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","16995R","390","TBA","TBA","25","0","0","","ONLINE"
"LIM-598","Capstone in Library and Information Management","P","3.0 units","Lecture","17000R","390","TBA","TBA","25","0","0","","ONLINE"
