"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LING-110g","In a Word","","4.0 units","Lecture","38801R","001","2:00-3:20pm","Tue, Thu","120","0","0","Hajime Hoji","ZHS159"
"","","","","Lab","38804R","001","10:00-11:50am","Monday","21","0","0","","KOH208"
"","","","","Lab","38805R","001","8:30-9:50am","Monday","20","0","0","","KOH208"
"","","","","Lab","38808R","001","12:00-1:50pm","Wednesday","20","0","0","","WPH B36"
"","","","","Lab","38809R","001","2:00-3:20pm","Wednesday","20","0","0","","WPH B36"
"","","","","Lab","38810R","001","8:30-9:50am","Wednesday","20","0","0","","KOH208"
"","","","","Lab","38811R","001","12:00-1:50pm","Monday","20","0","0","","KOH208"
"LING-115gw","Language and Society","","4.0 units","Lecture","38812R","001","8:30-9:50am","Mon, Wed","5","0","0","Sandra Disner","GFS101"
"","","","","Discussion","38813R","001","8:00-8:50am","Friday","25","0","0","",""
"","","","","Discussion","38814R","001","9:00-9:50am","Friday","25","0","0","",""
"","","","","Discussion","38815R","001","10:00-10:50am","Friday","25","0","0","","GFS221"
"","","","","Discussion","38816R","001","11:00-11:50am","Friday","25","0","0","","GFS221"
"","","","","Lecture","38837R","001","2:00-3:20pm","Mon, Wed","5","0","0","Mary Byram Washburn","ZHS159"
"","","","","Discussion","38844R","001","9:00-9:50am","Tuesday","25","0","0","","GFS221"
"","","","","Discussion","38846R","001","10:00-10:50am","Tuesday","25","0","0","","GFS221"
"","","","","Discussion","38848R","001","9:00-9:50am","Thursday","25","0","0","","GFS221"
"","","","","Discussion","38850R","001","10:00-10:50am","Thursday","25","0","0","","GFS221"
"","","","","Lecture","38948R","001","11:00-12:20pm","Tue, Thu","5","0","0","Mary Byram Washburn","ZHS159"
"","","","","Discussion","38932R","001","9:00-9:50am","Monday","25","0","0","","KAP166"
"","","","","Discussion","38933R","001","10:00-10:50am","Monday","25","0","0","","KAP166"
"","","","","Discussion","38934R","001","9:00-9:50am","Wednesday","25","0","0","","KAP166"
"","","","","Discussion","38935R","001","10:00-10:50am","Wednesday","25","0","0","","KAP166"
"LING-210g","Introduction to Linguistics","","4.0 units","Lecture","38818R","001","9:30-10:50am","Tue, Thu","50","0","0","Sandra Disner","GFS118"
"","","","","Discussion","38904R","001","8:30-9:20am","Wednesday","25","0","0","","VKC105"
"","","","","Discussion","38905R","001","10:00-10:50am","Wednesday","25","0","0","","KAP164"
"LING-275Lg","Language and Mind","","4.0 units","Lecture","38820R","001","9:30-10:50am","Tue, Thu","120","0","0","Elsi Kaiser, Rachel Walker</a>","GFS106"
"","","","","Lab","38821R","001","8:30-9:50am","Wednesday","20","0","0","","GFS220"
"","","","","Lab","38822R","001","8:30-9:50am","Monday","20","0","0","","GFS220"
"","","","","Lab","38823R","001","10:00-11:50am","Wednesday","20","0","0","","GFS220"
"","","","","Lab","38824R","001","10:00-11:50am","Monday","20","0","0","","GFS220"
"","","","","Lab","38825R","001","12:00-1:50pm","Wednesday","20","0","0","","GFS107"
"","","","","Lab","38826R","001","12:00-1:50pm","Monday","20","0","0","","GFS220"
"LING-285Lg","Human Language and Technology","","4.0 units","Lecture","38862R","001","8:00-9:20am","Tue, Thu","120","0","0","Khalil Iskarous","ZHS159"
"","","","","Lab","38866R","001","8:00-9:50am","Monday","20","0","0","","WPH B36"
"","","","","Lab","38868R","001","2:00-3:20pm","Monday","20","0","0","","WPH B36"
"","","","","Lab","38894R","001","9:30-10:50am","Tuesday","20","0","0","","KOH208"
"","","","","Lab","38896R","001","9:30-10:50am","Tuesday","20","0","0","","WPH B36"
"","","","","Lab","38898R","001","8:30-9:50am","Friday","20","0","0","","KOH208"
"LING-300","Introduction to Translation","","4.0 units","Lecture","41540R","001","12:30-1:50pm","Tue, Thu","10","0","0","Afaf Nash","SOS B50"
"LING-301","Introduction to Phonetics and Phonology","P","4.0 units","Lecture","38843D","001","9:30-10:50am","Tue, Thu","25","0","0","Karen Jesney","GFS104"
"LING-325g","Language and Number","","4.0 units","Lecture","38834R","001","8:30-9:50am","Mon, Wed","50","0","0","Roumyana Pancheva","GFS118"
"","","","","Discussion","38988R","001","9:00-9:50am","Tuesday","25","0","0","","GFS229"
"","","","","Discussion","38989R","001","10:00-10:50am","Tuesday","25","0","0","","GFS229"
"LING-385Lg","Human Language as Computation","","4.0 units","Lecture","38828R","001","3:30-4:50pm","Tue, Thu","120","0","0","Khalil Iskarous","GFS106"
"","","","","Lab","38840R","001","8:30-9:50am","Monday","20","0","0","","GFS221"
"","","","","Lab","38841R","001","8:30-9:50am","Wednesday","20","0","0","","GFS221"
"","","","","Lab","38842R","001","10:00-11:50am","Monday","20","0","0","","GFS221"
"","","","","Lab","38926R","001","12:00-1:50pm","Friday","20","0","0","","GFS107"
"","","","","Lab","38952R","001","10:00-11:50am","Wednesday","20","0","0","","GFS221"
"","","","","Lab","38954R","001","10:00-11:50am","Friday","20","0","0","","GFS107"
"LING-405","Child Language Acquisition","","4.0 units","Lecture","38859R","001","8:30-9:50am","Mon, Wed","25","0","0","Mary Byram Washburn","GFS222"
