"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MASC-110L","Materials Science","","4.0 units","Lecture","32100R","001","11:00-11:50am","MWF","40","1","0","Lessa Grunenfelder","GFS207"
"","","","","Discussion","32103R","001","3:30-4:20pm","Tuesday","30","1","0","","VHE210"
"","","","","Discussion","32106R","001","3:30-4:20pm","Wednesday","30","0","0","","VHE210"
"","","","","Lab","32109R","001","1:00-2:50pm","Thursday","16","0","0","","PCE103"
"","","","","Lab","32110R","001","1:00-2:50pm","Tuesday","16","1","0","","PCE103"
"","","","","Lab","32108R","001","1:00-2:50pm","Wednesday","16","0","0","","PCE103"
"MASC-350L","Nanostructured Materials: Design, Synthesis, and Processing","P","3.0 units","Lecture","32135R","001","8:00-9:20am","Tue, Thu","18","0","0","Andrea Armani","VHE210"
"","","","","Lab","32137R","001","1:00-3:50pm","Thursday","7","0","0","",""
"","","","","Lab","32138R","001","9:30-12:20pm","Thursday","7","0","0","",""
"","","","","Lab","32164R","001","9:00-11:50am","Wednesday","7","0","0","",""
"","","","","Lab","32165R","001","1:00-3:50pm","Wednesday","7","0","0","",""
"MASC-438L","Processing for Microelectronics","P","3.0 units","Lecture","30510R","001","5:00-6:20pm","Tue, Thu","27","0","0","Kian Kaviani","KAP166"
"","","","","Lab","30511R","001","9:00-11:50am","Wednesday","6","0","0","","VHE102"
"","","","","Lab","30512R","001","6:00-8:50pm","Tuesday","5","0","0","","VHE102"
"","","","","Lab","30513R","001","12:30-3:20pm","Thursday","5","0","0","","VHE102"
"","","","","Lab","30514R","001","9:00-11:50am","Thursday","6","0","0","","VHE102"
"","","","","Lab","30515R","001","9:00-11:50am","Monday","6","0","0","",""
"MASC-476","Chemical Engineering Materials","P","3.0 units","Lecture","29430D","001","2:00-3:20pm","Mon, Wed","49","1","0","Jongseung Yoon","SGM601"
"MASC-501","Solid State","P","3.0 units","Lecture","32130R","048","3:30-4:50pm","Tue, Thu","41","3","0","Anupam Madhukar","VHE217"
"MASC-504","Diffusion and Phase Equilibria","P","3.0 units","Lecture","32104D","034","2:00-3:15pm","Mon, Wed","25","0","0","Jayakanth Ravichandran","DEN@Viterbi"
"","","","","Lecture","32136R","048","2:00-3:15pm","Mon, Wed","44","20","0","Jayakanth Ravichandran","OHE100B"
"MASC-551","Mechanical Behavior of Engineering Materials","","3.0 units","Lecture","32162R","048","9:30-10:50am","Tue, Thu","40","30","0","Michael Kassner","OHE136"
"","","","","Lecture","32163D","034","9:30-10:50am","Tue, Thu","20","2","0","Michael Kassner","DEN@Viterbi"
"MASC-560","Fatigue and Fracture","","3.0 units","Lecture","28913R","048","12:30-1:50pm","Tue, Thu","40","24","0","Michael Hahn","OHE100B"
"","","","","Lecture","29083D","034","12:30-1:50pm","Tue, Thu","25","2","0","Michael Hahn","DEN@Viterbi"
"MASC-570","Introduction to Photovoltaic Solar Energy Conversion","","3.0 units","Lecture","32167R","048","6:00-7:20pm","Tue, Thu","35","9","0","Anupam Madhukar","VHE217"
"MASC-576","Molecular Dynamics Simulations of Materials and Processes","P","3.0 units","Lecture","32168R","048","5:00-6:20pm","Mon, Wed","40","3","0","Priya Vashishta","OHE122"
"","","","","Lecture","32170D","034","5:00-6:20pm","Mon, Wed","20","0","0","Priya Vashishta","DEN@Viterbi"
"MASC-590","Directed Research","","1.0-12.0 units","Lecture","32188D","048","TBA","TBA","20","0","0","Richard Roberts","OFFICE"
"MASC-594a","Master's Thesis","C","2.0 units","Lecture","32189D","048","TBA","TBA","5","0","0","Richard Roberts","OFFICE"
"MASC-594b","Master's Thesis","PC","2.0 units","Lecture","32190D","048","TBA","TBA","5","0","0","Richard Roberts","OFFICE"
"MASC-594z","Master's Thesis","PC","0.0 units","Lecture","32191D","048","TBA","TBA","5","0","0","Richard Roberts","OFFICE"
"MASC-598","Materials Science Seminar","","1.0 unit","Lecture","32192R","048","12:30-1:50pm","Thursday","20","1","0","Rajiv Kalia","TBA"
"MASC-599","Special Topics","","2.0-4.0 units, max 9"
"","Diffraction in Imperfect Crystals and Amorphous Bodies","","3.0","Lecture","32193R","048","10:00-11:50am","Mon, Wed","40","5","0","Ed Goo","GFS107"
"","Biological and Biomimetic Materials Design and Fabrication","","3.0","Lecture","32194R","048","1:00-1:50pm","MWF","30","6","0","Lessa Grunenfelder","VHE217"
"MASC-601","Advanced Semiconductor Device Physics","","3.0 units","Lecture","31113R","048","9:30-10:50am","Tue, Thu","1","1","0","Tony Levi",""
"MASC-690","Directed Research","","1.0-4.0 units, max 8","Lecture","32198D","048","TBA","TBA","10","0","0","","OFFICE"
"MASC-790","Research","","1.0-12.0 units","Lecture","32199D","048","TBA","TBA","20","1","0","Richard Roberts","OFFICE"
"MASC-794a","Doctoral Dissertation","C","2.0 units","Lecture","32180D","048","TBA","TBA","20","0","0","Richard Roberts","OFFICE"
"MASC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32181D","048","TBA","TBA","20","0","0","Richard Roberts","OFFICE"
"MASC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32182D","048","TBA","TBA","20","1","0","Richard Roberts","OFFICE"
"MASC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32183D","048","TBA","TBA","20","0","0","Richard Roberts","OFFICE"
"MASC-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32184D","048","10:00-11:50am","Mon, Wed","20","0","0","Richard Roberts","OFFICE"
