"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MATH-108g","Contemporary Precalculus","P","4.0 units","Lecture","39400R","001","9:00-9:50am","MWF","49","0","0","Cindy Blois","SOS B44"
"","","","","Discussion","39401R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS108"
"","","","","Discussion","39402R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS108"
"MATH-114xg","Foundations of Statistics","","4.0 units","Lecture","39981R","001","9:00-9:50am","MWF","49","0","0","Paul Tokorcheck","VKC152"
"","","","","Discussion","39982R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS109"
"","","","","Discussion","39983R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS109"
"","","","","Lecture","39985R","001","10:00-10:50am","MWF","49","0","0","Guillaume Dreyer","SOS B44"
"","","","","Discussion","39986R","001","10:00-10:50am","Tue, Thu","25","0","0","","GFS108"
"","","","","Discussion","39987R","001","11:00-11:50am","Tue, Thu","24","0","0","","GFS108"
"","","","","Lecture","39989R","001","1:00-1:50pm","MWF","49","0","0","Guillaume Dreyer","MHP105"
"","","","","Discussion","39990R","001","12:00-12:50pm","Tue, Thu","25","0","0","","GFS108"
"","","","","Discussion","39991R","001","1:00-1:50pm","Tue, Thu","24","0","0","","GFS108"
"MATH-117g","Introduction to Mathematics for Business and Economics","P","4.0 units","Lecture","39410R","001","12:00-12:50pm","MWF","49","1","0","Sami Assaf","GFS118"
"","","","","Discussion","39411R","001","10:00-10:50am","Tue, Thu","25","1","0","","KAP134"
"","","","","Discussion","39412R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP134"
"MATH-118xg","Fundamental Principles of Calculus","P","4.0 units","Lecture","39490R","001","9:00-9:50am","MWF","49","0","0","Andrea Appel","VKC102"
"","","","","Discussion","39491R","001","10:00-10:50am","Tue, Thu","25","0","0","","GFS213"
"","","","","Discussion","39492R","001","11:00-11:50am","Tue, Thu","24","0","0","","GFS213"
"","","","","Lecture","39414R","001","10:00-10:50am","MWF","49","0","0","Andrea Appel","VKC152"
"","","","","Discussion","39415R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS213"
"","","","","Discussion","39416R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS213"
"","","","","Lecture","39406R","001","10:00-10:50am","MWF","49","0","0","Alona Kryshchenko","MHP105"
"","","","","Discussion","39407R","001","12:00-12:50pm","Tue, Thu","25","0","0","","GFS213"
"","","","","Discussion","39408R","001","1:00-1:50pm","Tue, Thu","24","0","0","","GFS213"
"","","","","Lecture","39418R","001","11:00-11:50am","MWF","49","0","0","Paul Tokorcheck","KAP146"
"","","","","Discussion","39419R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS220"
"","","","","Discussion","39420R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS220"
"","","","","Lecture","39422R","001","12:00-12:50pm","MWF","49","0","0","Robert Guralnick","VKC102"
"","","","","Discussion","39423R","001","2:00-2:50pm","Tue, Thu","25","0","0","","GFS213"
"","","","","Discussion","39424R","001","3:00-3:50pm","Tue, Thu","24","0","0","","GFS213"
"","","","","Lecture","39426R","001","1:00-1:50pm","MWF","49","0","0","Paul Tokorcheck","THH114"
"","","","","Discussion","39427R","001","10:00-10:50am","Tue, Thu","25","0","0","","GFS220"
"","","","","Discussion","39428R","001","11:00-11:50am","Tue, Thu","24","0","0","","GFS220"
"","","","","Lecture","39430R","001","2:00-3:20pm","Mon, Wed","49","0","0","Alona Kryshchenko","ZHS163"
"","","","","Discussion","39431R","001","12:00-12:50pm","Tue, Thu","25","0","0","","GFS220"
"","","","","Discussion","39432R","001","1:00-1:50pm","Tue, Thu","24","0","0","","GFS220"
"MATH-125g","Calculus I","P","4.0 units","Lecture","39434R","001","9:00-9:50am","MWF","49","0","0","Neelesh Tiruviluamala","VKC100"
"","","","","Discussion","39435R","001","8:00-8:50am","Tue, Thu","25","0","0","","VHE206"
"","","","","Discussion","39436R","001","9:00-9:50am","Tue, Thu","24","0","0","","VHE206"
"","","","","Lecture","39437R","001","10:00-10:50am","MWF","49","0","0","Neelesh Tiruviluamala","GFS101"
"","","","","Discussion","39438R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP165"
"","","","","Discussion","39439R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP165"
"","","","","Lecture","39440R","001","11:00-11:50am","MWF","49","0","0","Leonid Piterbarg","MHP105"
"","","","","Discussion","39441R","001","8:00-8:50am","Tue, Thu","25","0","0","","VHE214"
"","","","","Discussion","39442R","001","9:00-9:50am","Tue, Thu","24","0","0","","VHE214"
"","","","","Lecture","39443R","001","11:00-11:50am","MWF","49","0","0","Jeremy Toulisse","VKC152"
"","","","","Discussion","39444R","001","12:00-12:50pm","Tue, Thu","25","0","0","","VHE214"
"","","","","Discussion","39445R","001","1:00-1:50pm","Tue, Thu","24","0","0","","VHE214"
"","","","","Lecture","39446R","001","12:00-12:50pm","MWF","49","0","0","Leonid Piterbarg","ZHS163"
"","","","","Discussion","39447R","001","2:00-2:50pm","Tue, Thu","25","0","0","","KAP167"
"","","","","Discussion","39448R","001","3:00-3:50pm","Tue, Thu","24","0","0","","KAP167"
"","","","","Lecture","39450R","001","1:00-1:50pm","MWF","49","0","0","Guangbin Zhuang","KAP146"
"","","","","Discussion","39451R","001","10:00-10:50am","Tue, Thu","25","0","0","","KAP167"
"","","","","Discussion","39452R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP167"
"","","","","Lecture","39454R","001","2:00-2:50pm","MWF","49","0","0","Guangbin Zhuang","VKC100"
"","","","","Discussion","39455R","001","10:00-10:50am","Tue, Thu","25","0","0","","GFS109"
"","","","","Discussion","39456R","001","11:00-11:50am","Tue, Thu","24","0","0","","GFS109"
"MATH-126","Calculus II","P","4.0 units","Lecture","39460R","001","9:00-9:50am","MWF","49","0","0","Cymra Haskell","THH114"
"","","","","Discussion","39461R","001","10:00-10:50am","Tue, Thu","25","0","0","","KAP113"
"","","","","Discussion","39462R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP113"
"","","","","Lecture","39464D","001","9:00-9:50am","MWF","49","0","0","David Crombecque","THH116"
"","","","","Discussion","39465R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP113"
"","","","","Discussion","39466R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP113"
"","","","","Lecture","39468R","001","10:00-10:50am","MWF","49","0","0","Dominic Searles","VKC100"
"","","","","Discussion","39469R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP113"
"","","","","Discussion","39470R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP113"
"","","","","Lecture","39472D","001","11:00-11:50am","MWF","49","0","0","David Crombecque","WPH B28"
"","","","","Discussion","39473R","001","2:00-2:50pm","Tue, Thu","25","0","0","","KAP113"
"","","","","Discussion","39474R","001","3:00-3:50pm","Tue, Thu","24","0","0","","KAP113"
"","","","","Lecture","39476D","001","12:00-12:50pm","MWF","49","0","0","Nathaniel Emerson","GFS101"
"","","","","Discussion","39477R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP134"
"","","","","Discussion","39478R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP134"
"","","","","Lecture","39480R","001","1:00-1:50pm","MWF","49","0","0","Cymra Haskell","KAP156"
"","","","","Discussion","39481R","001","2:00-2:50pm","Tue, Thu","25","0","0","","KAP134"
"","","","","Discussion","39482R","001","3:00-3:50pm","Tue, Thu","24","0","0","","KAP134"
"MATH-129","Calculus II for Engineers and Scientists","P","4.0 units","Lecture","39484D","001","10:00-10:50am","MWF","49","0","0","","KAP146"
"","","","","Discussion","39485R","001","12:00-12:50pm","Tue, Thu","25","0","0","","KAP134"
"","","","","Discussion","39486R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP134"
"","","","","Lecture","39487D","001","11:00-11:50am","MWF","49","0","0","Nathaniel Emerson","VKC102"
"","","","","Discussion","39488R","001","8:00-8:50am","Tue, Thu","25","0","0","","KAP141"
"","","","","Discussion","39489R","001","9:00-9:50am","Tue, Thu","24","0","0","","KAP141"
"MATH-208x","Elementary Probability and Statistics","P","4.0 units","Lecture","39505R","001","11:00-11:50am","MWF","60","0","0","Alona Kryshchenko","GFS101"
"MATH-225","Linear Algebra and Linear Differential Equations","P","4.0 units","Lecture","39526R","001","10:00-10:50am","MWF","49","1","0","Brad Drew","LVL16"
"","","","","Discussion","39527R","001","2:00-2:50pm","Tue, Thu","25","1","0","","GFS113"
"","","","","Discussion","39528R","001","3:00-3:50pm","Tue, Thu","24","0","0","","GFS113"
"","","","","Lecture","39530R","001","11:00-11:50am","MWF","49","0","0","Charles Lanski","GFS118"
"","","","","Discussion","39531R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS113"
"","","","","Discussion","39532R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS113"
"","","","","Lecture","39534R","001","12:00-12:50pm","MWF","49","0","0","Sheldon Kamienny","VKC152"
"","","","","Discussion","39535R","001","10:00-10:50am","Tue, Thu","25","0","0","","KAP141"
"","","","","Discussion","39536R","001","11:00-11:50am","Tue, Thu","24","0","0","","KAP141"
"","","","","Lecture","39550D","001","1:00-1:50pm","MWF","49","1","0","Ricardo Mancera","ZHS163"
"","","","","Discussion","39551R","001","12:00-12:50pm","Tue, Thu","25","1","0","","KAP141"
"","","","","Discussion","39552R","001","1:00-1:50pm","Tue, Thu","24","0","0","","KAP141"
"","","","","Lecture","39554D","001","2:00-2:50pm","MWF","49","0","0","Ricardo Mancera","SOS B44"
"","","","","Discussion","39555R","001","2:00-2:50pm","Tue, Thu","25","0","0","","KAP141"
