"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MDA-110","Contemporary Issues and Cases in Health Care","","2.0 units","Lecture","42205R","001","10:00-11:50am","Friday","72","1","0","","THH208"
"MDA-333","Colloquium in Armenian Studies: Social and Cultural Issues","","2.0 units, max 4","Lecture","42291R","001","12:00-1:50pm","Monday","20","0","0","","VKC106"
"MDA-450","Individual Program of Study","C","4.0-18.0 units, max 18"
"","Tba","","4.0-16.0","Lecture","42250D","001","TBA","TBA","10","0","0","","OFFICE"
"MDA-460","Collaborative Learning Project","C","4.0-8.0 units, max 8"
"","Tba","","4.0-8.0","Lecture","42260D","001","TBA","TBA","10","0","0","","OFFICE"
"MDA-490x","Directed Research","","2.0-4.0 units, max 8","Lecture","42292D","001","TBA","TBA","20","0","0","","OFFICE"
"MDA-494","Directed Creative Project","C","2.0-4.0 units, max 4","Lecture","42294D","001","TBA","TBA","27","0","0","","OFFICE"
"MDA-599","Special Topics","","2.0-4.0 units, max 8"
"","At the Edge of Humor","","4.0","Lecture","42293R","001","2:00-4:50pm","Wednesday","20","1","0","","VKC161"
