"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MEDS-220","Preparation for the Clinical Experience","","2.0 units","Lecture","41419R","001","12:00-1:50pm","Friday","130","0","0","Sean Nordt","THH202"
"MEDS-260","Challenges in the Forefront of Biomedical Ethics","","2.0 units","Lecture","41401R","001","2:00-3:50pm","Tuesday","32","0","0","Cheryl Lew","VKC205"
"MEDS-320","Human Cadaveric Anatomy","P","4.0 units","Lecture","41425D","001","3:00-4:50pm","Tue, Thu","32","1","0","Michael Habib","WPH103"
"MEDS-340","The Brain in Health and Disease","P","4.0 units","Lecture-Lab","41449R","001","8:00-9:50am","Tue, Thu","30","0","0","","THH115"
"MEDS-380","Stem Cells: Fact and Fiction","P","2.0 units","Lecture","41427R","001","4:00-5:50pm","Tuesday","30","1","0","Gage Crump","VKC207"
"MEDS-420","Clinical Pediatrics","P","2.0 units","Lecture","41418R","001","8:00-9:50am","Monday","15","0","0","Parul Bhatia, Sajjad Yacoob","VKC203"
"MEDS-425","Medical Examiner-Coroner: Investigating Death","PC","2.0 units","Lecture","41400R","001","12:00-1:50pm","Wednesday","30","1","0","Lakshmanan Sathyavagiswaran","VKC158"
"MEDS-445","Cancer: Introduction to Oncology in the Modern Era","PC","2.0 units","Lecture","41430R","001","10:00-12:00pm","Wednesday","15","0","0","Diane Da Silva","VKC158"
"MEDS-450","OB/GYN: The Medicine and Surgery of Reproduction","P","2.0 units","Lecture","41429R","001","2:00-3:50pm","Thursday","30","0","0","Ramen Chmait","VKC205"
"MEDS-460","Emergency Health Care","P","2.0 units","Lecture","41413R","001","10:00-11:50am","Friday","30","0","0","Madhu Hardasmalani","HSC"
"MEDS-465","Wilderness and Survival Medicine","P","4.0 units","Lecture","41415R","001","8:00-9:50am","Tue, Thu","28","0","0","Matthieu De Clerck","VKC258"
"MEDS-490","Directed Research in Biomedical Science","P","1.0-8.0 units, max 12","Lecture","41417D","001","3:00-5:00pm","Friday","35","1","0","Joyce Richey","VKC256"
"","","","","Lecture","41421D","001","3:00-5:00pm","Friday","20","0","0","Danica Liberman, Vincent Wang","VKC106"
"MEDS-502","Global Epidemiology of Diseases and Risk Factors","","4.0 units","Lecture","41431D","046","9:00-12:50pm","Monday","52","0","0","",""
"MEDS-510","Global Health Modules, Malaria","","2.0 units","Lecture","41433D","046","1:00-2:50pm","Monday","45","0","0","Paul Holtom",""
"MEDS-513","Global Health Modules, Maternal and Child Health II","","2.0 units","Lecture","41435D","046","4:00-5:50pm","Thursday","45","0","0","","MCH149"
"MEDS-515","Global Health Modules, HIV/AIDS","","2.0 units","Lecture","41437D","046","11:00-12:50pm","Monday","35","0","0","Joseph Cadden","MCH156"
"MEDS-516","Cultural Competence in Health and Medicine","","2.0 units","Lecture","41439D","046","1:00-2:50pm","Tuesday","29","0","0","Donna Elliott","MCH156"
"MEDS-518","Children in Emergency Situations: Global Policies and Programs","M","2.0 units","Lecture","41353D","046","1:00-2:50pm","Thursday","40","0","0","Maryam Farzanegan","MCH149"
"MEDS-519","Global Oral Health","M","2.0 units","Lecture","41367D","046","10:00-11:50am","Tuesday","45","0","0","Daniel Khorshad","MCH156"
"MEDS-520","Medical Spanish for the Health Professions","","2.0 units","Lecture","41441D","046","3:00-4:50pm","Monday","30","0","0","David Zarazua","MCH156"
"MEDS-521","Emerging and Re-emerging Infectious Diseases","","2.0 units","Lecture","41354D","046","10:00-11:50am","Friday","45","0","0","","MCH156"
"MEDS-523","Global Toxicity and Carcinogenesis","","2.0 units","Lecture","41359D","046","1:00-2:50pm","Friday","45","0","0","","MCH156"
"MEDS-525","Global Mental Health","","2.0 units","Lecture","41443D","046","4:00-5:50pm","Wednesday","80","0","0","David Baron","MCH149"
"MEDS-528","Global Health Modules, Sexually Transmitted Infections","","2.0 units","Lecture","41446D","046","9:00-10:50am","Friday","30","0","0","Sanjay Bhatt",""
"MEDS-530b","Foundation of Medicine: Anatomy, Physiology, and Pathology","P","4.0 units","Lecture","41447D","001","8:00-9:50am","Tuesday","45","0","0","","MCH156, MCH156"
"MEDS-531","The Politics of Global Health","M","2.0 units","Lecture","41375D","134","3:00-5:50pm","Tue, Thu","30","0","0","Owen Bennett-Jones",""
"MEDS-532","Non-communicable Diseases","","2.0 units","Lecture","41388D","001","1:00-2:50pm","Wednesday","50","0","0","Nassim Lashkari",""
"MEDS-554","Clinical Medicine and Healthcare Delivery in Panama","M","2.0 units","Lecture","41350D","136","TBA","TBA","10","0","0","Judi Meindl-Holman","OFFICE"
"MEDS-556","Global Health Field Study, New York","M","2.0 units","Lecture","41352D","136","TBA","TBA","10","0","0","Maryam Farzanegan","OFFICE"
"MEDS-560","Innovating in Healthcare in Malaysia","","2.0 units","Lecture","41448D","473","TBA","TBA","15","0","0","Elahe Nezami, Yahya Shaikh","OFFICE"
"MEDS-590","Directed Research","","1.0-12.0 units, max 12","Lecture","41361D","046","TBA","TBA","20","0","0","","OFFICE"
"MEDS-597a","Health Technology Internship","","1.0 unit","Lecture","41390D","046","TBA","TBA","10","0","0","","OFFICE"
"MEDS-597b","Health Technology Internship","P","1.0 unit","Lecture","41391D","046","TBA","TBA","5","0","0","","OFFICE"
