"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MICB-504","Molecular Biology of Cancer","","4.0 units","Lecture","40654D","046","3:00-4:50pm","Mon, Wed","40","0","0","",""
"MICB-522","Infection and Host Responses","","4.0 units","Lecture","40652D","046","9:00-10:50am","Tue, Thu","100","0","0","Jie Li, Ebrahim Zandi, Siyi Chen, Omid Akbari, Kevin Nash, William Depaolo, David Horwitz, Ambrose Jong, Axel Schonthal, Jing-Hsiung Ou, Lucio Comai, Chengyu Liang, Paula Cannon","MCH256"
"MICB-542","Animal Virology","","2.0 units, max 6","Lecture","40709D","046","TBA","TBA","75","0","0","Jie Li","TBA"
"MICB-549","Student Seminar Series","","1.0 units, max 8","Lecture","40712D","046","11:00-11:50am","Wednesday","75","0","0","Axel Schonthal","OFFICE"
"MICB-551","Procaryotic Molecular Genetics","","4.0 units","Lecture","40743D","046","9:00-11:00am","Mon, Wed","50","0","0","Stanley Tahara",""
"MICB-560","Recent Advances in Microbiology","","1.0 units, max 6","Lecture","40719D","046","12:00-12:50pm","Wednesday","75","0","0","Hayoun Lee","OFFICE"
"MICB-570","Microbiology Research Seminar","MC","1.0 units, max 10","Lecture","40722D","046","TBA","TBA","25","0","0","Axel Schonthal","OFFICE"
"","","","","Lecture","40723D","046","TBA","TBA","25","0","0","Axel Schonthal","OFFICE"
"","","","","Lecture","40724D","046","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","40725D","046","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","40727D","046","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","40728D","046","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","40729D","046","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","40730D","046","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","40731D","046","TBA","TBA","25","0","0","","OFFICE"
"MICB-590","Directed Research","","1.0-12.0 units","Lecture","40741D","046","TBA","TBA","75","0","0","Axel Schonthal","OFFICE"
"MICB-594a","Master's Thesis","C","2.0 units","Lecture","40744D","046","TBA","TBA","75","0","0","Axel Schonthal, Jae Jung","OFFICE"
"MICB-594b","Master's Thesis","PC","2.0 units","Lecture","40747D","046","TBA","TBA","75","0","0","Axel Schonthal, Jae Jung","OFFICE"
"MICB-594z","Master's Thesis","PC","0.0 units","Lecture","40750D","046","TBA","TBA","75","0","0","Axel Schonthal, Jae Jung","OFFICE"
"MICB-790","Research","","1.0-12.0 units","Lecture","40753D","046","TBA","TBA","75","0","0","","OFFICE"
"MICB-794a","Doctoral Dissertation","C","2.0 units","Lecture","40756D","046","TBA","TBA","75","0","0","","OFFICE"
"MICB-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40769D","046","TBA","TBA","75","0","0","","OFFICE"
"MICB-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40762D","046","TBA","TBA","75","0","0","","OFFICE"
"MICB-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40765D","046","TBA","TBA","75","0","0","","OFFICE"
"MICB-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40768D","046","TBA","TBA","75","0","0","","OFFICE"
