"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MKT-405","Advertising and Promotion Management","PC","4.0 units","Lecture","16470R","001","2:00-3:50pm","Mon, Wed","36","0","0","Hank Wasiak","HOH305"
"","","","","Lecture","16472R","001","10:00-11:50am","Mon, Wed","40","0","0","Therese Wilbur","HOH301"
"MKT-406","Practicum in Advertising and Promotion Design","P","4.0 units","Lecture","16476R","001","10:00-11:50am","Mon, Wed","33","0","0","Hank Wasiak","HOH305"
"MKT-410","Professional Selling","PC","4.0 units","Lecture","16478R","001","10:00-11:50am","Mon, Wed","41","0","0","Gary Hankins","HOH303"
"MKT-415","Sales Force Management","C","4.0 units","Lecture","16480R","001","6:00-7:50pm","Mon, Wed","40","0","0","","HOH305"
"MKT-430","Retail Management","","4.0 units","Lecture","16481R","001","2:00-3:50pm","Mon, Wed","36","0","0","Anthony Salomone","ACC236"
"MKT-440","Marketing Analysis and Strategy","PC","4.0 units","Lecture","16484R","001","12:00-1:50pm","Mon, Wed","40","0","0","Lan Luo","HOH305"
"","","","","Lecture","16486R","001","4:00-5:50pm","Mon, Wed","40","0","0","Lan Luo","HOH305"
"MKT-445","New Product Development and Branding","P","4.0 units","Lecture","16490R","001","12:00-1:50pm","Tue, Thu","40","0","0","Therese Wilbur","HOH305"
"","","","","Lecture","16492R","001","4:00-5:50pm","Tue, Thu","40","0","0","","BRI5"
"MKT-446L","Practicum in New Product Development","PC","4.0 units","Lecture-Lab","16494R","001","2:00-3:50pm","Tue, Thu","20","0","0","Therese Wilbur","BRI5"
"MKT-450","Consumer Behavior and Marketing","","4.0 units","Lecture","16496R","001","12:00-1:50pm","Tue, Thu","46","0","0","Gulden Ulkumen","HOH303"
"","","","","Lecture","16498R","001","2:00-3:50pm","Tue, Thu","46","0","0","Gulden Ulkumen","HOH303"
"","","","","Lecture","16499R","001","4:00-5:50pm","Tue, Thu","40","1","0","Gulden Ulkumen","HOH303"
"MKT-465","Global Marketing Management","PC","4.0 units","Lecture","16506R","001","10:00-11:50am","Tue, Thu","40","0","0","Dennis Schorr","HOH301"
"","","","","Lecture","16507R","001","12:00-1:50pm","Tue, Thu","45","0","0","Dennis Schorr","HOH304"
"MKT-525","Consumer Behavior","PC","3.0 units","Lecture","16518D","033","6:30-9:30pm","Wednesday","54","0","0","Dennis Rook","JKP204"
"","","","","Lecture","16520D","033","5:00-6:20pm","Mon, Wed","52","0","0","Dennis Rook","JKP102"
"MKT-526","Advertising and Promotion Strategy","PC","3.0 units","Lecture","16522D","033","6:30-9:30pm","Monday","52","0","0","Gerard Tellis","JKP112"
"MKT-530","New Product Development","PC","3.0 units","Lecture","16528D","033","5:00-6:20pm","Tue, Thu","54","0","0","Dennis Rook","JKP210"
"MKT-533","Branding Strategy","P","1.5-3.0 units","Lecture","16530D","033","11:00-12:20pm","Tue, Thu","1","0","0","Cw Park","JKP102"
"MKT-555","Marketing Channels","P","1.5-3.0 units","Lecture","16545D","411","11:00-12:20pm","Mon, Wed","54","0","0","Gary Frazier","JKP210"
"","","","","Lecture","16546D","415","11:00-12:20pm","Mon, Wed","54","0","0","Gary Frazier","JKP210"
"MKT-556","Internet Marketing","P","3.0 units","Lecture","16547D","033","8:00-9:20am","Mon, Wed","54","0","0","Allen Weiss","JKP112"
"","","","","Lecture","16548D","033","9:30-10:50am","Mon, Wed","54","0","0","Allen Weiss","JKP112"
"MKT-560","Marketing Strategy and Policy","PC","3.0 units","Lecture","16550D","033","6:30-9:30pm","Monday","54","0","0","Diane Badame","JKP104"
"MKT-565","Global Marketing","PC","3.0 units","Lecture","16551D","033","6:30-9:30pm","Wednesday","39","0","0","Dennis Schorr","ACC236"
"MKT-580","Fostering Creativity","MC","1.5-3.0 units","Lecture","16552D","033","2:00-4:50pm","Tuesday","32","0","0","Joseph Priester","JKP102"
"","","","","Lecture","16553D","411","2:00-4:50pm","Thursday","20","0","0","Joseph Priester","JKP102"
"","","","","Lecture","16554D","415","2:00-4:50pm","Thursday","20","0","0","Joseph Priester","JKP102"
"","","","","Lecture","16555D","033","6:30-9:30pm","Tuesday","32","0","0","Joseph Priester","JKP102"
"MKT-590","Directed Research","","1.0-12.0 units","Lecture","16556D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-592","Field Research in Marketing","C","0.5-4.0 units, max 12","Lecture","16558D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-593","Independent Research in Marketing","C","0.5-4.0 units, max 12","Lecture","16560D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"MKT-595","Internship in Marketing","MC","0.5-2.0 units, max 9","Lecture","16557D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
"","","","","Lecture","16562D","033","TBA","TBA","10","0","0","Gary Frazier","OFFICE"
