"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MOR-252","The Art of Case Analysis and Presentation","","2.0 units","Lecture","15155R","001","10:00-11:50am","Friday","28","0","0","Yolanda Kirk","HOH306"
"MOR-385m","Business, Government and Society","","4.0 units","Lecture","16676R","001","10:00-11:50am","Mon, Wed","39","1","0","Paul Adler","HOH422"
"MOR-421","Social and Ethical Issues in Business","P","4.0 units","Lecture","16677R","001","8:00-9:50am","Mon, Wed","40","0","0","Katharine Harrington","ACC201"
"MOR-431","Interpersonal Competence and Development","PC","4.0 units","Lecture","16671R","001","4:00-5:50pm","Mon, Wed","39","0","0","Chris Bresnahan","ACC236"
"MOR-462","Management Consulting","","4.0 units","Lecture","16672R","001","4:00-5:50pm","Tue, Thu","48","1","0","Terance Wolfe","LVL16"
"","","","","Lecture","16674R","001","12:00-1:50pm","Tue, Thu","40","1","0","Terance Wolfe","HOH422"
"MOR-463","Organization Change and Development","","4.0 units","Lecture","16673R","001","4:00-5:50pm","Tue, Thu","40","0","0","Michael Mische","HOH304"
"MOR-466","Business and Environmental Sustainability","","4.0 units","Lecture","16678R","001","2:00-3:50pm","Mon, Wed","32","2","0","Paul Adler","VKC205"
"MOR-469","Negotiation and Persuasion","","4.0 units","Lecture","16679R","001","2:00-3:50pm","Tue, Thu","56","0","0","Michael Coombs","JKP104"
"","","","","Lecture","16680R","001","4:00-5:50pm","Tue, Thu","56","0","0","Michael Coombs","JKP104"
"MOR-473","Designing and Leading Teams","","4.0 units","Lecture","16683R","001","12:00-1:50pm","Tue, Thu","39","0","0","Michael Mische","ACC236"
"MOR-479","The Business of Sports","","4.0 units","Lecture","16684R","001","8:00-9:50am","Mon, Wed","25","2","0","David Carter","HOH422"
"MOR-492","Global Strategy","","4.0 units","Lecture","16687R","001","2:00-3:50pm","Mon, Wed","56","2","0","Christine El Haddad","JKP104"
"","","","","Lecture","16689R","001","4:00-5:50pm","Mon, Wed","56","0","0","Christine El Haddad","JKP104"
"MOR-548","Competitive Advantage through People","MC","3.0 units","Lecture","16694D","033","6:30-9:30pm","Monday","39","0","0","John Boudreau","ACC236"
"MOR-555","Designing High Performance Organizations","MC","3.0 units","Lecture","16699D","033","6:30-9:30pm","Wednesday","36","0","0","Judith Blumenthal","ACC205"
"MOR-557","Strategy and Organization Consulting","MC","3.0 units","Lecture","16695D","033","9:30-10:50am","Tue, Thu","56","0","0","Michael Mische","JKP104"
"MOR-566","Environmental Sustainability and Competitive Advantage","MC","1.5-3.0 units","Lecture","16708D","033","6:30-9:30pm","Wednesday","54","0","0","Paul Adler","JKP104"
"MOR-569","Negotiation and Deal-Making","MC","3.0 units","Lecture","16716D","033","6:30-9:30pm","Tuesday","54","0","0","Christopher Voss","JKP210"
"","","","","Lecture","16718D","033","1:00-4:00pm","Friday","52","0","0","Peter Carnevale","JKP112"
"MOR-571","Leadership and Executive Development","MC","3.0 units","Lecture","16723D","033","6:30-9:30pm","Monday","52","0","0","Todd Richmond","JKP102"
"MOR-579","The Business of Sports Entertainment","MC","3.0 units","Lecture","16725D","033","12:30-1:50pm","Mon, Wed","50","0","0","David Carter","JKP104"
"MOR-588","Corporate Strategy and Competitive Dynamics","MC","1.5-3.0 units","Lecture","16720D","411","6:30-9:30pm","Monday","40","0","0","Arvind Bhambri","HOH421"
"MOR-590","Directed Research","","1.0-12.0 units","Lecture","16734D","033","TBA","TBA","10","0","0","Thomas Cummings","OFFICE"
"MOR-592","Field Research in Management and Organization","C","0.5-4.0 units, max 12","Lecture","16741D","033","TBA","TBA","20","0","0","Thomas Cummings","OFFICE"
"MOR-593","Independent Research in Management and Organization","C","0.5-4.0 units, max 12","Lecture","16736D","033","TBA","TBA","20","0","0","Thomas Cummings","OFFICE"
"MOR-595","Internship in Management and Organization","MC","0.5-2.0 units, max 9","Lecture","16737D","033","TBA","TBA","20","0","0","Thomas Cummings","OFFICE"
"MOR-596","Research Practicum in Management and Organization","C","0.5-2.0 units, max 8","Lecture","16738D","033","TBA","TBA","20","0","0","Thomas Cummings","OFFICE"
"MOR-597","Consulting Project in Management and Organization","C","0.5-5.0 units, max 12","Lecture","16739D","033","TBA","TBA","20","0","0","Thomas Cummings","OFFICE"
"MOR-598","Special Topics","MC","1.0-3.0 units, max 9"
"","Leading with Mindfulness and Compassion","","1.5","Lecture","16722D","411","6:30-9:30pm","Wednesday","35","0","0","","ACC303"
"","Leading with Mindfulness and Compassion","","1.5","Lecture","16724D","415","6:30-9:30pm","Monday","35","0","0","","HOH421"
"MOR-603","Seminar in Strategic Management","MC","3.0 units","Lecture","16794R","036","12:00-3:00pm","Thursday","10","0","0","Kyle Mayer, Nan Jia</a>","HOH706"
"MOR-604","Research Methods in Strategy and Organization","MC","3.0 units","Lecture","16796R","036","1:00-4:00pm","Tuesday","10","0","0","Florenta Teodoridis Leustean","ACC312"
"MOR-621","Research Forum","MC","1.0 units, max 4","Lecture","16635D","036","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","16798R","036","9:00-11:00am","Friday","10","0","0","Thomas Cummings","ACC312"
"MOR-790","Research","MC","1.0-12.0 units","Lecture","16799D","036","TBA","TBA","10","0","0","Thomas Cummings","OFFICE"
