"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPEM-450","Collegium Workshop","","1.0 units, max 8","Lecture","44916D","001","2:00-3:50pm","Wednesday","10","0","0","Adam Gilbert","UGW120"
"MPEM-501","Individual Instruction","","1.0-2.0 units, max 8"
"","Historical Instrument or Voice","","1.0-2.0","Lecture","44948D","001","TBA","TBA","10","1","0","Adam Gilbert","MUS308"
"MPEM-553","Individual Instruction","","1.0-2.0 units, max 8"
"","Historical Instrument or Voice","","1.0-2.0","Lecture","44955D","001","TBA","TBA","10","0","0","Adam Gilbert","MUS308"
"MPEM-554","Graduate Certificate Performance","","4.0 units, max 16","Lecture","44958D","001","TBA","TBA","5","0","0","Adam Gilbert","MUS308"
"MPEM-590","Directed Research","","1.0-12.0 units","Lecture","44960D","001","TBA","TBA","5","0","0","Adam Gilbert","MUS308"
"MPEM-650","Collegium Directing","","2.0 units, max 4","Lecture","44975D","001","12:00-1:50pm","Wednesday","5","0","0","Adam Gilbert","UGW120"
"","","","","Lecture","44976D","001","2:00-3:50pm","Wednesday","5","0","0","Adam Gilbert","UGW120"
"MPEM-653","Performance","","1.0-2.0 units, max 12"
"","Historical Instrument or Voice","","1.0-2.0","Lecture","44980D","001","TBA","TBA","10","0","0","Adam Gilbert","MUS308"
"MPEM-754","Artist Diploma Performance","","4.0 units, max 16","Lecture","44990D","001","TBA","TBA","5","0","0","Adam Gilbert","MUS308"
"MPEM-790","Research","","1.0-12.0 units","Lecture","44995D","001","TBA","TBA","10","0","0","Adam Gilbert","MUS308"
