"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPKS-150a","Beginning Piano","M","2.0 units","Lecture","45403R","001","8:00-8:50am","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45406R","001","9:00-9:50am","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45409R","001","10:00-10:50am","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45411R","001","10:00-10:50am","Wed, Fri","20","1","0","Stephen Pierce","TMC112"
"","","","","Lecture","45412R","001","11:00-11:50am","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45415R","001","12:00-12:50pm","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45418R","001","1:00-1:50pm","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45421R","001","2:00-2:50pm","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45424R","001","5:00-5:50pm","Mon, Wed","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45425R","001","6:00-6:50pm","Mon, Wed","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45427R","001","6:00-6:50pm","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45430R","001","3:00-3:50pm","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"MPKS-150b","Beginning Piano","PM","2.0 units","Lecture","45435R","001","3:00-3:50pm","Mon, Wed","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45438R","001","4:00-4:50pm","Tue, Thu","20","1","0","Stephen Pierce","TMC112"
"","","","","Lecture","45441R","001","5:00-5:50pm","Tue, Thu","20","0","0","Stephen Pierce","TMC112"
"MPKS-153","Individual Instruction","","1.0-2.0 units, max 8"
"","Organ","","1.0-2.0","Lecture","45465D","001","TBA","TBA","30","0","0","Ladd Thomas","RHM112"
"","Piano","","1.0-2.0","Lecture","45470D","001","TBA","TBA","30","0","0","Alan Smith","RHM112"
"MPKS-160b","Functional Skills for Keyboard Majors I","P","2.0 units","Lecture","45477D","001","12:00-12:50pm","Mon, Wed","20","0","0","Sung-Hwa Park","TMC112"
"MPKS-170b","Introduction to Piano Repertoire and Performance","P","1.0 unit","Lecture","45482D","001","4:00-4:50pm","Wednesday","18","0","0","Stewart Gordon","MUS213"
"MPKS-228","Four-Hand Keyboard Repertoire","","1.0 units, max 4","Lecture","45485D","001","12:00-12:50pm","Friday","15","0","0","Bernadene Blaha","RHM310"
"MPKS-250b","Keyboard Instruction I","P","2.0 units","Lecture","45506D","001","9:00-9:50am","MWF","20","0","0","Stephen Pierce","TMC112"
"","","","","Lecture","45510D","001","11:00-11:50am","MWF","20","1","0","Stephen Pierce","TMC112"
"","","","","Lecture","45512D","001","2:00-2:50pm","MWF","20","0","0","Stephen Pierce","TMC112"
"MPKS-253","Individual Instruction","","1.0-2.0 units, max 8"
"","Organ","","1.0-2.0","Lecture","45525D","001","TBA","TBA","30","0","0","Ladd Thomas","RHM112"
"","Piano","","1.0-2.0","Lecture","45530D","001","TBA","TBA","30","0","0","Alan Smith","RHM112"
"MPKS-260b","Functional Skills for Keyboard Majors II","P","2.0 units","Lecture","45540D","001","1:00-1:50pm","Mon, Wed","20","0","0","Sung-Hwa Park","TMC112"
"MPKS-300x","Non-Major Individual Instruction","","1.0-2.0 units, max 16"
"","Harpsichord","","1.0-2.0","Lecture","45550D","001","TBA","TBA","30","0","0","Lucinda Carver","RHM112"
"","Organ","","1.0-2.0","Lecture","45555D","001","TBA","TBA","30","0","0","Ladd Thomas","RHM112"
