"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPST-153","Individual Instruction","","1.0-2.0 units, max 8"
"","Double Bass","","1.0-2.0","Lecture","45900D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","45905D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","45910D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","45915D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","45920D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-163","Beginning Harp","","2.0 units, max 8","Lecture","45923R","001","10:00-11:50am","Friday","15","0","0","Joann Turovsky","MUS105"
"MPST-253","Individual Instruction","","1.0-2.0 units, max 8"
"","Double Bass","","1.0-2.0","Lecture","45925D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","45930D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","45935D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","45940D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","45945D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-262","Double Bass Performance Class","","1.0 units, max 4","Lecture","45950D","001","6:00-7:50pm","Tuesday","10","0","0","David Moore","BMH100"
"MPST-263","Harp Performance Class","","1.0 units, max 4","Lecture","45952D","001","7:00-9:50pm","Thursday","5","0","0","Joann Turovsky","MUS105"
"MPST-300x","Non-Major Individual Instruction","","1.0-2.0 units, max 16"
"","Double Bass","","1.0-2.0","Lecture","45955D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","45960D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","45965D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","45970D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","45975D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-301","Individual Instruction","M","1.0-2.0 units, max 16"
"","Double Bass","","1.0-2.0","Lecture","45980D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","45985D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","45990D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","45995D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","46000D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-353","Individual Instruction","","1.0-2.0 units, max 8"
"","Double Bass","","1.0-2.0","Lecture","46005D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","46010D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","46015D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","46020D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","46025D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-453","Individual Instruction","","1.0-2.0 units, max 8"
"","Double Bass","","1.0-2.0","Lecture","46060D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","46065D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","46070D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","46075D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","46080D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-462","Double Bass Performance Class","","1.0 units, max 8","Lecture","46085D","001","6:00-7:50pm","Tuesday","10","0","0","David Moore","BMH100"
"MPST-463","Harp Performance Class","","1.0 units, max 8","Lecture","46090D","001","7:00-9:50pm","Thursday","5","0","0","Joann Turovsky","MUS105"
"MPST-471b","String Pedagogy","P","2.0 units","Lecture","46105D","001","10:00-11:50am","Monday","12","0","0","Ben Hong","UGW120"
"MPST-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","46125D","001","TBA","TBA","10","0","0","Ralph Kirshbaum","RHM112"
"MPST-501","Individual Instruction","","1.0-2.0 units, max 8"
"","Double Bass","","1.0-2.0","Lecture","46135D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","46140D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","46145D","001","TBA","TBA","30","1","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","46150D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","46155D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-553","Individual Instruction","","1.0-2.0 units, max 8"
"","Double Bass","","1.0-2.0","Lecture","46185D","001","TBA","TBA","30","1","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","46190D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","46195D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","46200D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","46205D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-554","Graduate Certificate Performance","","4.0 units, max 16","Lecture","46208D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-590","Directed Research","","1.0-12.0 units","Lecture","46210D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-653","Performance","","1.0-2.0 units, max 12"
"","Double Bass","","1.0-2.0","Lecture","46220D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Harp","","1.0-2.0","Lecture","46225D","001","TBA","TBA","30","0","0","Joann Turovsky","RHM112"
"","Viola","","1.0-2.0","Lecture","46230D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"","Violin","","1.0-2.0","Lecture","46235D","001","TBA","TBA","30","1","0","Ralph Kirshbaum","RHM112"
"","Violoncello","","1.0-2.0","Lecture","46240D","001","TBA","TBA","30","0","0","Ralph Kirshbaum","RHM112"
"MPST-754","Artist Diploma Performance","","4.0 units, max 16","Lecture","46255D","001","TBA","TBA","5","0","0","Ralph Kirshbaum","RHM112"
"MPST-790","Research","","1.0-12.0 units","Lecture","46260D","001","TBA","TBA","10","0","0","Ralph Kirshbaum","RHM112"
