"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPTX-501","Molecular Pharmacology and Toxicology II","P","4.0 units","Lecture","48806D","005","TBA","TBA","30","0","0","","OFFICE"
"MPTX-511","Introduction to Medical Product Regulation","","3.0 units","Lecture","48811D","626","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"MPTX-512","Regulation of Pharmaceutical and Biological Products","","3.0 units","Lecture","48812D","679","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"MPTX-517","Structure and Management of Clinical Trials","","4.0 units","Lecture","48817D","626","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson, Nancy Pire-Smerkanich","OFFICE"
"MPTX-519","Global Regulation of Medical Products","","3.0 units","Lecture","48819D","626","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"MPTX-522","Introduction to Clinical Trial Design and Statistics","","3.0 units","Lecture","48822D","626","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"MPTX-573","Systems Physiology and Disease II","MC","4.0 units","Lecture","40664D","046","9:00-10:50am","Wed, Fri","18","0","0","Harvey Kaslow","TBA"
"MPTX-590","Directed Research","","1.0-12.0 units","Lecture","48900D","005","TBA","TBA","30","0","0","","OFFICE"
"MPTX-594a","Master's Thesis","","2.0 units","Lecture","48904D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-594b","Master's Thesis","P","2.0 units","Lecture","48906D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-594z","Master's Thesis","P","0.0 units","Lecture","48908D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-630","Directed Field-Research Project","M","6.0 units","Lecture","48830D","626","TBA","TBA","50","0","0","Frances Richmond, Eunjoo Pacifici, Michael Jamieson","OFFICE"
"MPTX-700","Seminar in Molecular Pharmacology and Toxicology","","1.0 units, max 8","Lecture","48920D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-790","Research","","1.0-12.0 units","Lecture","48922D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-794a","Doctoral Dissertation","C","2.0 units","Lecture","48924D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-794b","Doctoral Dissertation","PC","2.0 units","Lecture","48926D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-794c","Doctoral Dissertation","PC","2.0 units","Lecture","48928D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-794d","Doctoral Dissertation","PC","2.0 units","Lecture","48930D","005","TBA","TBA","25","0","0","","OFFICE"
"MPTX-794z","Doctoral Dissertation","PC","0.0 units","Lecture","48932D","005","TBA","TBA","25","0","0","","OFFICE"
