"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPVA-141","Class Voice","","2.0 units, max 4","Lecture","46300R","001","2:00-3:50pm","Monday","20","0","0","Ken Cazan","MUS213"
"","","","","Lecture","46305R","001","2:00-3:50pm","Thursday","20","0","0","Ken Cazan","UUC B3"
"","","","","Lecture","46310R","001","2:00-3:50pm","Wednesday","20","0","0","Ken Cazan","MUS213"
"","","","","Lecture","46315R","001","2:00-3:50pm","Friday","20","0","0","Ken Cazan","MUS213"
"MPVA-153","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46320D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"MPVA-203b","Acting for Singers","P","2.0 units","Lecture","46328D","001","12:00-1:50pm","Monday","20","0","0","Ken Cazan","BMH100"
"MPVA-241","Intermediate Class Voice","P","2.0 units, max 4","Lecture","46335R","001","2:00-3:50pm","Wednesday","12","0","0","Ken Cazan","MUS208"
"MPVA-253","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46340D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"MPVA-300x","Non-Major Individual Instruction","","1.0-2.0 units, max 16"
"","Voice","","1.0-2.0","Lecture","46346D","001","TBA","TBA","70","0","0","Ken Cazan","RHM112"
"MPVA-301","Individual Instruction","M","1.0-2.0 units, max 16"
"","Vocal Coaching","","1.0-2.0","Lecture","46350D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"","Voice","","1.0-2.0","Lecture","46351D","001","TBA","TBA","50","0","0","Ken Cazan","RHM112"
"","Choral","","1.0-2.0","Lecture","46353D","001","TBA","TBA","25","0","0","Nick Strimple","MUS416"
"MPVA-353","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46355D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"MPVA-402","Musical Theatre Workshop","","2.0 units, max 8","Lecture","46375D","001","2:00-3:50pm","Tue, Thu","20","0","0","Parmer Fuller","UUC B2"
"","","","","Lecture","46376D","001","4:00-5:50pm","Mon, Wed","12","0","0","Parmer Fuller","MUS208"
"MPVA-403","Acting for Singers II","","2.0 units, max 8","Lecture","46385D","001","10:00-11:50am","Tue, Thu","20","0","0","Ken Cazan","AES138A"
"MPVA-405","USC Opera","","2.0 units, max 12","Lecture","46395D","001","4:00-10:50pm","MWF","40","1","0","Brent McMunn, Ken Cazan","MUS105, MUS105"
"MPVA-406","Opera Coaching Techniques","","2.0 units, max 8","Lecture","46400D","001","TBA","TBA","15","0","0","Brent McMunn","RHM112"
"MPVA-407","Directing for the Operatic Stage","","2.0 units, max 8","Lecture","46405D","001","TBA","TBA","15","1","0","Ken Cazan","RHM112"
"MPVA-439","Vocal Pedagogy Practicum","P","2.0 units","Lecture","46415D","001","12:00-1:50pm","Thursday","25","0","0","Ken Cazan",""
"MPVA-441","English and German Diction","","2.0 units","Lecture","46419D","001","12:00-1:50pm","Monday","25","1","0","Lisa Sylvester","MUS102B"
"MPVA-453","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46435D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"MPVA-479","Song Literature","","2.0 units, max 4","Lecture","46440D","001","12:00-1:50pm","Wednesday","20","1","0","Lisa Sylvester","MUS303"
"MPVA-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","46445D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"MPVA-501","Individual Instruction","","1.0-2.0 units, max 8"
"","Vocal Coaching","","1.0-2.0","Lecture","46455D","001","TBA","TBA","30","1","0","Ken Cazan","RHM112"
"","Voice","","1.0-2.0","Lecture","46460D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"","Choral","","1.0-2.0","Lecture","46462D","001","TBA","TBA","20","0","0","Nick Strimple","MUS416"
"MPVA-540","Special Studies in Vocal Literature","","2.0 units, max 6","Lecture","46465D","001","2:00-3:50pm","Tuesday","12","5","0","Lisa Sylvester","MUS213"
"MPVA-541","Comparative Vocal Pedagogy","","2.0 units","Lecture","46468D","001","2:00-3:50pm","Thursday","25","5","0","Lynn Helding","MUS102B"
"MPVA-553","Individual Instruction","","1.0-2.0 units, max 8"
"","Voice","","1.0-2.0","Lecture","46485D","001","TBA","TBA","30","9","0","Ken Cazan","RHM112"
"MPVA-554","Graduate Certificate Performance","","4.0 units, max 16","Lecture","46487D","001","TBA","TBA","25","1","0","Ken Cazan","RHM112"
"MPVA-590","Directed Research","","1.0-12.0 units","Lecture","46490D","001","TBA","TBA","20","0","0","Ken Cazan","RHM112"
"MPVA-599","Special Topics","","2.0-4.0 units, max 8"
"","German Diction","","2.0","Lecture","46498D","001","12:00-1:50pm","Tuesday","25","0","0","Rod Gilfry","MUS213"
"MPVA-653","Individual Instruction","","1.0-2.0 units, max 12"
"","Voice","","1.0-2.0","Lecture","46505D","001","TBA","TBA","30","0","0","Ken Cazan","RHM112"
"MPVA-754","Artist Diploma Performance","","4.0 units, max 16","Lecture","46515D","001","TBA","TBA","5","0","0","Ken Cazan","RHM112"
"MPVA-790","Research","","1.0-12.0 units","Lecture","46520D","001","TBA","TBA","10","0","0","Ken Cazan","RHM112"
