"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MPWP-153","Individual Instruction","","1.0-2.0 units, max 8"
"","Bassoon","","1.0-2.0","Lecture","46630D","001","TBA","TBA","30","0","0","Judith Farmer","MUS308"
"","Clarinet","","1.0-2.0","Lecture","46633D","001","TBA","TBA","30","0","0","Yehuda Gilad","MUS308"
"","Flute","","1.0-2.0","Lecture","46636D","001","TBA","TBA","30","0","0","Jim Walker","MUS308"
"","French Horn","","1.0-2.0","Lecture","46639D","001","TBA","TBA","30","0","0","Kristy Morrell","MUS308"
"","Oboe","","1.0-2.0","Lecture","46642D","001","TBA","TBA","30","0","0","Joel Timm","MUS308"
"","Percussion","","1.0-2.0","Lecture","46645D","001","TBA","TBA","30","0","0","Joseph Pereira","MUS308"
"","Saxophone","","1.0-2.0","Lecture","46648D","001","TBA","TBA","30","0","0","Christopher Bartz","MUS308"
"","Trombone","","1.0-2.0","Lecture","46651D","001","TBA","TBA","30","0","0","Terry Cravens","MUS308"
"","Trumpet","","1.0-2.0","Lecture","46654D","001","TBA","TBA","30","0","0","Boyde Hood","MUS308"
"","Tuba","","1.0-2.0","Lecture","46657D","001","TBA","TBA","30","0","0","James Self","MUS308"
"MPWP-252","Individual Instrument Performance Class I","","1.0 units, max 4"
"","Percussion","","1.0","Lecture","46660D","001","4:00-5:50pm","Thursday","10","0","0","Joseph Pereira","AES138A"
"","Trombone","","1.0","Lecture","46663D","001","12:00-12:50pm","Mon, Wed","10","0","0","Terry Cravens","AES138A"
"","Clarinet","","1.0","Lecture","46666D","001","12:00-12:50pm","Tuesday","10","0","0","Yehuda Gilad, David Howard","MUS105, MUS213"
"","Saxophone","","1.0","Lecture","46669D","001","6:00-7:50pm","Thursday","10","0","0","Christopher Bartz","MUS213"
"","Bassoon","","1.0","Lecture","46672D","001","7:00-8:50pm","Monday","10","0","0","Judith Farmer","MUS213"
"","Oboe","","1.0","Lecture","46675D","001","7:00-8:50pm","Monday","10","0","0","Joel Timm","MUS208"
"","Trumpet","","1.0","Lecture","46678D","001","7:00-8:50pm","Monday","10","0","0","Boyde Hood","MUS106"
"","Tuba","","1.0","Lecture","46681D","001","7:00-8:50pm","Monday","10","0","0","James Self","BMH100"
"","Flute","","1.0","Lecture","46684D","001","TBA","TBA","10","0","0","Jim Walker","MUS308"
"","French Horn","","1.0","Lecture","46687D","001","12:00-12:50pm","Mon, Wed","10","0","0","Kristy Morrell","MUS106"
"MPWP-253","Individual Instruction","","1.0-2.0 units, max 8"
"","Bassoon","","1.0-2.0","Lecture","46690D","001","TBA","TBA","30","0","0","Judith Farmer","MUS308"
"","Clarinet","","1.0-2.0","Lecture","46693D","001","TBA","TBA","30","0","0","Yehuda Gilad","MUS308"
"","Flute","","1.0-2.0","Lecture","46696D","001","TBA","TBA","30","0","0","Jim Walker","MUS308"
"","French Horn","","1.0-2.0","Lecture","46699D","001","TBA","TBA","30","0","0","Kristy Morrell","MUS308"
"","Oboe","","1.0-2.0","Lecture","46702D","001","TBA","TBA","30","0","0","Joel Timm","MUS308"
"","Percussion","","1.0-2.0","Lecture","46705D","001","TBA","TBA","30","0","0","Joseph Pereira","MUS308"
"","Saxophone","","1.0-2.0","Lecture","46708D","001","TBA","TBA","30","0","0","Christopher Bartz","MUS308"
"","Trombone","","1.0-2.0","Lecture","46711D","001","TBA","TBA","30","0","0","Terry Cravens","MUS308"
"","Trumpet","","1.0-2.0","Lecture","46714D","001","TBA","TBA","30","0","0","Boyde Hood","MUS308"
"","Tuba","","1.0-2.0","Lecture","46717D","001","TBA","TBA","30","0","0","James Self","MUS308"
"MPWP-300x","Non-Major Individual Instruction","","1.0-2.0 units, max 16"
"","Bassoon","","1.0-2.0","Lecture","46720D","001","TBA","TBA","30","0","0","Judith Farmer","MUS308"
"","Clarinet","","1.0-2.0","Lecture","46723D","001","TBA","TBA","30","0","0","Yehuda Gilad","MUS308"
"","Flute","","1.0-2.0","Lecture","46726D","001","TBA","TBA","30","0","0","Jim Walker","MUS308"
"","French Horn","","1.0-2.0","Lecture","46729D","001","TBA","TBA","30","0","0","Kristy Morrell","MUS308"
