"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MS-101","Foundations of Officership","","1.0 unit","Lecture","41809R","001","TBA","Monday","15","0","0","","OFFICE"
"","","","","Lab","41813R","001","8:00-9:50am","Friday","15","0","0","","GFS106"
"MS-102","Basic Leadership","","1.0 unit","Lecture","41810R","001","10:00-10:50am","Wednesday","25","0","0","Nadir Numan","GFS108"
"","","","","Lab","41812D","001","8:00-9:50am","Friday","30","0","0","","GFS106"
"MS-201","Individual Leadership Studies","","2.0 units","Lecture","41819D","001","TBA","Mon, Wed","15","0","0","","OFFICE"
"","","","","Lab","41823R","001","8:00-9:50am","Friday","15","0","0","","GFS106"
"MS-202","Leadership and Teamwork","","2.0 units","Lecture","41820D","001","8:30-9:20am","Mon, Wed","25","0","0","Nadir Numan","GFS108"
"","","","","Lecture","41821D","001","1:00-1:50pm","Mon, Wed","20","0","0","","GFS222"
"","","","","Lab","41822D","001","8:00-9:50am","Friday","30","0","0","","GFS106"
"MS-302","Leadership and Ethics","","3.0 units","Lecture","41830D","001","8:30-9:50am","Mon, Wed","25","1","0","Nadir Numan","GFS105"
"","","","","Lab","41835D","001","8:00-9:50am","Friday","25","1","0","","GFS106"
"MS-402","Leadership and Management","","3.0 units","Lecture","41840D","001","8:30-9:50am","Mon, Wed","25","2","0","Justin Chezem","GFS109"
"","","","","Lab","41845D","001","8:00-9:50am","Friday","25","2","0","","GFS106"
