"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MSCR-473","Hymnology","","2.0 units","Lecture","42610D","001","12:00-1:50pm","Friday","19","1","0","Tram Sparks","MUS319"
"MSCR-475","Introduction to Jewish Music","","2.0 units","Lecture","42618R","001","12:00-1:50pm","Monday","25","0","0","Nick Strimple","UUC B3"
"MSCR-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","42620D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MSCR-590","Directed Research","","1.0-12.0 units","Lecture","42635D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MSCR-790","Research","","1.0-12.0 units","Lecture","42640D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MSCR-794a","Doctoral Dissertation","C","2.0 units","Lecture","42645D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MSCR-794b","Doctoral Dissertation","PC","2.0 units","Lecture","42650D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MSCR-794c","Doctoral Dissertation","PC","2.0 units","Lecture","42655D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MSCR-794d","Doctoral Dissertation","PC","2.0 units","Lecture","42660D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MSCR-794z","Doctoral Dissertation","PC","0.0 units","Lecture","42665D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
