"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MTEC-175","Fundamentals of Audio Recording","","2.0 units","Lecture","43406D","001","12:00-1:50pm","Wednesday","60","0","0","Charles Gutierrez","UUC B2"
"MTEC-176","Critical Listening","","2.0 units","Lecture","43407D","001","12:00-1:50pm","Monday","60","0","0","Charles Gutierrez","TMC AUD"
"MTEC-245","Introduction to MIDI Sequencing","","1.0 unit","Lecture","43413R","177","12:00-1:50pm","Tuesday","20","0","0","Jonathan Patterson","TMC G147"
"","","","","Lecture","43414R","177","12:00-1:50pm","Thursday","20","0","0","Charles Gutierrez","TMC G147"
"MTEC-246","Introduction to Audio Recording and Editing","","1.0 unit","Lecture","43415R","213","12:00-1:50pm","Tuesday","20","0","0","Jonathan Patterson","TMC G147"
"","","","","Lecture","43416R","213","12:00-1:50pm","Thursday","20","0","0","Charles Gutierrez","TMC G147"
"MTEC-248","Introduction to Music Notation","","1.0 unit","Lecture","43417R","177","12:00-1:50pm","Wednesday","20","0","0","Jonathan Patterson","TMC G147"
"","","","","Lecture","43418R","213","12:00-1:50pm","Wednesday","20","0","0","Jonathan Patterson","TMC G147"
"MTEC-249","Introduction to Web Design for Musicians","","1.0 unit","Lecture","43419R","177","4:00-5:50pm","Tuesday","20","0","0","Steve Cunningham",""
"MTEC-275","Fundamentals of Audio Engineering","","4.0 units","Lecture","43424D","001","10:00-11:50am","Tuesday","36","0","0","Andrew Garver","TMC G156"
"","","","","Lab","43425D","001","10:00-11:50am","Thursday","18","0","0","Andrew Garver","MUS103"
"","","","","Lab","43426D","001","12:00-1:50pm","Thursday","18","0","0","Andrew Garver","MUS103"
"MTEC-277x","Introduction to Music Technology","","4.0 units","Lecture","43427R","001","2:00-3:50pm","Mon, Wed","60","0","0","Charles Gutierrez","UUC B2"
"MTEC-301","Individual Instruction","","1.0-2.0 units, max 16","Lecture","43431D","001","TBA","TBA","10","0","0","Isaac Schankler","MUS308"
"","","","","Lecture","43432D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-389","Digital Equipment and Recording","P","2.0 units","Lecture","43445D","001","4:00-5:50pm","Tuesday","18","0","0","Andrew Garver","MUS103"
"MTEC-392a","Acoustics and Speaker Design","P","2.0 units","Lecture","43448R","001","4:00-5:50pm","Thursday","18","0","0","Andrew Garver","MUS103"
"MTEC-443","Desktop Music Production","","2.0 units","Lecture","43456D","001","4:00-5:50pm","Monday","20","0","0","Charles Gutierrez","TMC G147"
"","","","","Lecture","43457D","001","4:00-5:50pm","Wednesday","20","0","0","Steve Cunningham",""
"MTEC-444","Non-Linear MIDI Sequencing","","2.0 units","Lecture","43458D","001","2:00-3:50pm","Tuesday","20","0","0","Rick Schmunk","TMC G147"
"MTEC-445","Advanced Desktop Music Production","","2.0 units","Lecture","43459D","001","2:00-3:50pm","Thursday","15","0","0","Rick Schmunk","TMC G147"
"MTEC-446a","Computer Assisted Recording and Editing","","2.0 units","Lecture","43460D","001","10:00-11:50am","Tuesday","21","1","0","Rick Schmunk","TMC G147"
"","","","","Lecture","43461D","001","2:00-3:50pm","Wednesday","21","0","0","Jonathan Patterson","TMC G147"
"","","","","Lecture","43462D","001","4:00-5:50pm","Thursday","21","0","0","Charles Gutierrez","TMC G147"
"MTEC-446b","Computer Assisted Recording and Editing","P","2.0 units","Lecture","43464D","001","4:00-5:50pm","Tuesday","20","0","0","Rick Schmunk","TMC G147"
"MTEC-474a","Electronic Synthesizer Techniques","","2.0-4.0 units","Lecture","43468D","001","12:00-1:50pm","Monday","20","0","0","Brian Shepard","TMC G147"
"MTEC-477","Remote Recording Techniques","P","2.0 units","Lecture","43473D","001","4:00-5:50pm","Monday","18","0","0","Ted Ancona","MUS103"
"MTEC-478","Advanced Multichannel Remix","P","2.0 units","Lecture","43474D","001","7:00-8:50pm","Tuesday","18","1","0","Andrew Garver","MUS103"
"MTEC-479","Audio Mastering","P","2.0 units","Lecture","43475D","001","7:00-8:50pm","Thursday","18","0","0","Andrew Garver","MUS103"
"MTEC-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","43481D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-499","Special Topics","","2.0-4.0 units, max 8"
"","Advanced Music Production for Non-Majors","","2.0","Lecture","43486D","001","10:00-11:50am","Tuesday","8","0","0","Sean Holt","TMC G110"
"MTEC-501","Individual Instruction","","1.0-2.0 units, max 8","Lecture","43488D","001","TBA","TBA","10","0","0","Isaac Schankler","MUS308"
"","","","","Lecture","43489D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
"MTEC-590","Directed Research","","1.0-12.0 units","Lecture","43494D","001","TBA","TBA","30","0","0","Rick Schmunk","TMC118"
"MTEC-790","Research","","1.0-12.0 units","Lecture","43497D","001","TBA","TBA","10","0","0","Rick Schmunk","TMC118"
