"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUCM-320","Introduction to Choral Music","","2.0 units","Lecture","42502D","001","12:00-1:50pm","Wednesday","12","0","0","Cristian Grases","TMC G156"
"MUCM-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","42510D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MUCM-542","Choral Literature II","","2.0 units","Lecture","42530D","001","9:30-10:50am","Tue, Thu","15","1","0","Nick Strimple","MUS319"
"MUCM-590","Directed Research","","1.0-12.0 units","Lecture","42540D","001","TBA","TBA","30","1","0","Nick Strimple","MUS416"
"MUCM-694","Treatise","","2.0 units, max 4","Lecture","42555D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MUCM-790","Research","","1.0-12.0 units","Lecture","42560D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MUCM-794a","Doctoral Dissertation","","2.0 units","Lecture","42565D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MUCM-794b","Doctoral Dissertation","P","2.0 units","Lecture","42569D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MUCM-794c","Doctoral Dissertation","P","2.0 units","Lecture","42573D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MUCM-794d","Doctoral Dissertation","P","2.0 units","Lecture","42577D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
"MUCM-794z","Doctoral Dissertation","P","0.0 units","Lecture","42581D","001","TBA","TBA","30","0","0","Nick Strimple","MUS416"
