"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUCO-101x","Fundamentals of Music Theory","","2.0 units","Lecture","42701R","001","9:00-9:50am","Tue, Thu","20","0","0","Michael Lee","UUC B2"
"MUCO-130bx","Basics of Music Theory","P","3.0 units","Lecture","42708D","001","2:00-3:20pm","Mon, Wed","25","0","0","Veronika Krausas","UUC B3"
"MUCO-131b","Harmony in Popular Music","P","2.0 units","Lecture","42711D","001","11:00-11:50am","Tue, Thu","28","0","0","Jonathan Patterson","TMC G128"
"MUCO-132b","Aural Skills I","P","2.0 units","Lecture","42740D","001","10:00-10:50am","Mon, Wed","20","0","0","Isaac Schankler","UUC B3"
"","","","","Lab","42741D","001","8:00-8:50am","Friday","10","0","0","Isaac Schankler","UUC B3"
"","","","","Lab","42742D","001","9:00-9:50am","Friday","10","0","0","Isaac Schankler","UUC B3"
"","","","","Lecture","42744D","001","10:00-10:50am","Mon, Wed","20","0","0","Jeffrey Parola","MUS102B"
"","","","","Lab","42745D","001","10:00-10:50am","Friday","10","0","0","Jeffrey Parola","MUS102B"
"","","","","Lab","42746D","001","1:00-1:50pm","Friday","10","0","0","Jeffrey Parola","MUS102B"
"","","","","Lecture","42748D","001","10:00-10:50am","Mon, Wed","20","0","0","Chris Roze","MUS213"
"","","","","Lab","42749D","001","8:00-8:50am","Friday","10","0","0","Chris Roze","MUS213"
"","","","","Lab","42750D","001","9:00-9:50am","Friday","10","0","0","Chris Roze","MUS213"
"","","","","Lecture","42752D","001","10:00-10:50am","Mon, Wed","20","0","0","Sarah Gibson","MUS204"
"","","","","Lab","42753D","001","10:00-10:50am","Friday","10","0","0","Sarah Gibson","MUS204"
"","","","","Lab","42754D","001","1:00-1:50pm","Friday","10","0","0","Sarah Gibson","MUS204"
"","","","","Lecture","42756D","001","10:00-10:50am","Mon, Wed","20","0","0","Laura Kramer","TMC G128"
"","","","","Lab","42757D","001","8:00-8:50am","Friday","10","0","0","Laura Kramer","TMC G128"
"","","","","Lab","42758D","001","9:00-9:50am","Friday","10","0","0","Laura Kramer","TMC G128"
"MUCO-133b","Theory I","P","3.0 units","Lecture","42776D","001","8:00-9:50am","Tue, Thu","20","0","0","Jeffrey Parola","MUS102B"
"","","","","Lecture","42777D","001","8:00-9:50am","Tue, Thu","20","0","0","Chris Roze","MUS303"
"","","","","Lecture","42778D","001","8:00-9:50am","Tue, Thu","20","0","0","Sarah Gibson","MUS204"
"","","","","Lecture","42779D","001","8:00-9:50am","Tue, Thu","20","0","0","Isaac Schankler","UUC B3"
"","","","","Lecture","42780D","001","8:00-9:50am","Tue, Thu","20","0","0","Laura Kramer","TMC G128"
"MUCO-137b","Introduction to Composition","P","2.0 units","Lecture","42792D","001","1:00-1:50pm","Mon, Wed","14","0","0","Ted Hearne","MUS213"
"","","","","Lab","42793D","001","11:00-12:20pm","Friday","14","0","0","Ted Hearne","BMH100"
"MUCO-140","Music for Dancers","","2.0 units","Lecture","42795D","001","8:00-8:50am","Mon, Wed","35","0","0","Veronika Krausas","BMH100"
"MUCO-221bx","Composition for Non-Majors","P","2.0 units","Lecture","42798D","001","4:00-5:50pm","Monday","15","0","0","Neal Desby","MUS213"
"MUCO-232b","Aural Skills II","P","2.0 units","Lecture","42828D","001","9:00-9:50am","Mon, Wed","20","0","0","Chris Roze","MUS213"
"","","","","Lab","42829D","001","10:00-10:50am","Friday","10","0","0","Chris Roze","MUS213"
"","","","","Lab","42830D","001","1:00-1:50pm","Friday","10","0","0","Chris Roze","MUS213"
"","","","","Lecture","42832D","001","9:00-9:50am","Mon, Wed","20","0","0","Mark Weiser","MUS204"
"","","","","Lab","42833D","001","8:00-8:50am","Friday","10","0","0","Mark Weiser","MUS204"
"","","","","Lab","42834D","001","9:00-9:50am","Friday","10","0","0","Mark Weiser","MUS204"
"","","","","Lecture","42840D","001","8:00-8:50am","Mon, Wed","14","0","0","Jonathan Patterson","MUS303"
"","","","","Lab","42841D","001","10:00-10:50am","Friday","7","0","0","Jonathan Patterson","MUS303"
"","","","","Lab","42842D","001","1:00-1:50pm","Friday","7","0","0","Jonathan Patterson","MUS303"
"","","","","Lecture","42844D","001","9:00-9:50am","Mon, Wed","14","0","0","Jonathan Patterson","MUS303"
"","","","","Lab","42845D","001","8:00-8:50am","Friday","7","0","0","Jonathan Patterson","MUS303"
"","","","","Lab","42846D","001","9:00-9:50am","Friday","7","0","0","Jonathan Patterson","MUS303"
"MUCO-233b","Theory II","P","3.0 units","Lecture","42862D","001","10:00-11:50am","Tue, Thu","20","0","0","Mark Weiser","MUS204"
"","","","","Lecture","42864D","001","10:00-11:50am","Tue, Thu","20","0","0","Chris Roze","MUS303"
"MUCO-235","Counterpoint II","P","2.0 units","Lecture","42870D","001","2:00-2:50pm","Tue, Thu","18","0","0","Mark Weiser","MUS303"
"MUCO-236","Orchestration I","P","2.0 units","Lecture","42875D","001","2:00-2:50pm","Mon, Wed","18","0","0","Sean Friar","MUS319"
"MUCO-237b","Composition I","P","4.0 units","Lecture","42883D","001","12:00-1:50pm","Tuesday","8","0","0","Sean Friar","MUS303, MUS308"
"","","","","Lab","42884D","001","11:00-12:20pm","Friday","8","0","0","Sean Friar","BMH100"
"MUCO-300","Theory Review","","1.0 unit","Lecture","42909D","001","6:00-7:50pm","Monday","15","0","0","Jeffrey Parola","MUS319"
"","","","","Lecture","42910D","001","10:00-11:50am","Thursday","15","2","0","Morten Lauridsen","MUS102B"
"MUCO-321","Composition for Non-Majors II","PM","1.0-2.0 units, max 8","Lecture","42916D","001","TBA","TBA","25","0","0","Mark Weiser","MUS308"
"MUCO-333","Aural Skills Review","","1.0 unit","Lecture","42920D","001","5:00-5:50pm","Mon, Wed","20","0","0","Sarah Gibson","MUS204"
"MUCO-337b","Composition II","P","4.0 units","Lecture","42943D","001","12:00-1:50pm","Monday","8","0","0","Frank Ticheli","MUS204, MUS308"
"","","","","Lab","42944D","001","11:00-12:20pm","Friday","8","0","0","Frank Ticheli","BMH100"
