"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUEN-222","Trojan Marching Band","","1.0 unit","Lecture","43700R","001","4:00-5:50pm","Tuesday","20","0","0","Anthony Fox","AES138A"
"MUEN-305","Vocal Jazz Ensemble","","1.0 unit","Lecture","43702D","001","4:00-5:50pm","Tue, Thu","20","0","0","Sara Gazarek","TMC G128"
"MUEN-307","University Chorus","","1.0 units, max 8","Lecture","43710R","001","7:00-8:50pm","Wednesday","60","1","0","Shou-Ping Liu","BMH100"
"MUEN-308","USC Men's Chorus","","1.0 units, max 8","Lecture","43715R","001","4:00-5:50pm","Mon, Wed","60","0","0","Karen Miskell","MUS106"
"MUEN-310","University Concert Choir","","1.0 units, max 8","Lecture","43725D","001","2:00-3:50pm","TuThF","60","0","0","Cristian Grases, Tram Sparks","MUS106"
"MUEN-311","USC Oriana Choir","","1.0 units, max 8","Lecture","43730R","001","4:00-5:50pm","Tue, Thu","60","0","0","Irene Apanovitch","MUS106"
"MUEN-312","USC Chamber Choir","","1.0 units, max 8","Lecture","43735D","001","2:00-3:50pm","MWF","25","0","0","Cristian Grases, Nick Strimple","MUS106"
"MUEN-314","Opera Chorus","","1.0 units, max 8","Lecture","43740D","001","7:00-9:50pm","Tuesday","20","0","0","Brent McMunn, Ken Cazan","MUS105"
"MUEN-320","USC Symphony","","1.0 units, max 8","Lecture","43745D","001","2:00-4:50pm","MWF","60","0","0","Sharon Lavery","AES138A"
"MUEN-321","USC Concert Orchestra","","1.0 units, max 8","Lecture","43750R","001","7:00-9:50pm","Tuesday","60","0","0","Michael Powers","AES138A"
"MUEN-322","Trojan Marching Band","","1.0 units, max 4","Lecture","43755R","001","4:00-5:50pm","Tuesday","20","1","0","Anthony Fox","AES138A"
"MUEN-323","University Wind Ensemble","","1.0 units, max 8","Lecture","43760D","001","2:00-4:50pm","MWF","75","0","0","Sharon Lavery","AES138A"
"MUEN-324","University Band","","1.0 units, max 8","Lecture","43765R","001","7:00-9:50pm","Wednesday","60","1","0","Arthur Bartner","AES138A"
"MUEN-325","Wind and Percussion Chamber Music","","1.0 units, max 8","Lecture","43770D","001","TBA","TBA","60","0","0","Terry Cravens","MUS308"
"MUEN-326","Guitar Ensemble","","1.0 units, max 8","Lecture","43774D","001","2:00-4:50pm","Tue, Thu","20","0","0","William Kanengiser, Scott Tennant</a>","BMH100"
"","","","","Lecture","43776D","001","TBA","TBA","50","0","0","Frank Potenza","TMC118"
"MUEN-327","String Chamber Music","","1.0 units, max 8","Lecture","43800D","001","TBA","TBA","60","0","0","Karen Dreyfus Dicterow","RHM112"
"MUEN-328","Keyboard Collaboration","","1.0 units, max 4","Lecture","43804D","001","TBA","TBA","30","0","0","Alan Smith","RHM112"
"MUEN-329","Jazz Ensemble","","1.0 units, max 8","Lecture","43812D","001","TBA","TBA","40","0","0","Bob Mintzer","TMC118"
"MUEN-330","Contemporary Music Ensemble","","1.0 units, max 8","Lecture","43830D","001","2:00-3:50pm","Tue, Thu","20","0","0","Donald Crockett","AES138A"
"MUEN-331","Guitar Big Band","","1.0 units, max 8","Lecture","43832D","001","12:00-1:50pm","Wednesday","25","0","0","Nick Stoubis","BMH200"
"MUEN-332","Jazz Chamber Music","","1.0 units, max 8","Lecture","43835D","001","TBA","TBA","60","0","0","Bob Mintzer","TMC118"
"MUEN-344","Vocal Chamber Music","","1.0 units, max 8","Lecture","43845D","001","TBA","TBA","15","0","0","Lisa Sylvester","RHM112"
"MUEN-350","Early Music Ensemble","","1.0 units, max 8","Lecture","43855D","001","2:00-4:50pm","Tue, Thu","10","0","0","Adam Gilbert","UGW120"
"MUEN-505","Vocal Jazz Ensemble","C","1.0 unit","Lecture","43865D","001","4:00-5:50pm","Tue, Thu","20","0","0","Sara Gazarek","TMC G128"
"MUEN-507","University Chorus","C","1.0 unit","Lecture","43875R","001","7:00-8:50pm","Wednesday","60","0","0","Shou-Ping Liu","BMH100"
"MUEN-508","USC Men's Chorus","","1.0 unit","Lecture","43880R","001","4:00-5:50pm","Mon, Wed","60","0","0","Karen Miskell","MUS106"
"MUEN-510","University Concert Choir","C","1.0 units, max 4","Lecture","43886D","001","2:00-3:50pm","TuThF","60","1","0","Cristian Grases, Tram Sparks","MUS106"
"MUEN-511","USC Oriana Choir","C","1.0 units, max 4","Lecture","43890R","001","4:00-5:50pm","Tue, Thu","60","0","0","Irene Apanovitch","MUS106"
"MUEN-512","USC Chamber Choir","C","1.0 units, max 4","Lecture","43896D","001","2:00-3:50pm","MWF","25","1","0","Cristian Grases, Nick Strimple","MUS106"
"MUEN-514","Opera Chorus","C","1.0 units, max 4","Lecture","43899D","001","7:00-9:50pm","Tuesday","20","2","0","Brent McMunn, Ken Cazan","MUS105"
"MUEN-520","USC Symphony","C","1.0 units, max 4","Lecture","43902D","001","2:00-4:50pm","MWF","100","1","0","Sharon Lavery","AES138A"
"MUEN-521","USC Concert Orchestra","C","1.0 units, max 4","Lecture","43905R","001","7:00-9:50pm","Tuesday","40","0","0","Michael Powers","AES138A"
"MUEN-523","University Wind Ensemble","C","1.0 units, max 4","Lecture","43908D","001","2:00-4:50pm","MWF","100","4","0","Sharon Lavery","AES138A"
"MUEN-525","Wind and Percussion Chamber Music","","1.0 units, max 4","Lecture","43918D","001","TBA","TBA","100","4","0","Terry Cravens","MUS308"
"MUEN-526","Guitar Ensemble","","1.0 units, max 4","Lecture","43922D","001","2:00-4:50pm","Tue, Thu","20","0","0","William Kanengiser, Scott Tennant</a>","BMH100"
"","","","","Lecture","43926D","001","TBA","TBA","30","4","0","Frank Potenza","TMC118"
"MUEN-527","String Chamber Music","","1.0 units, max 4","Lecture","43942D","001","TBA","TBA","100","0","0","Karen Dreyfus Dicterow","RHM112"
