"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUHL-232","Music History II","P","3.0 units","Lecture","44015D","001","10:00-11:20am","Mon, Wed","30","0","0","Bruce Brown","UUC B2"
"","","","","Lecture","44017D","001","10:00-11:20am","Mon, Wed","30","0","0","Andrew Cashner","TMC G156"
"MUHL-315x","Music and Culture","","4.0 units","Lecture","44022R","001","2:00-3:50pm","Mon, Wed","30","0","0","Rotem Gilbert","MUS303"
"MUHL-332","Studies in Musical Culture","","3.0 units","Lecture","44029D","001","10:00-11:20am","Mon, Wed","30","0","0","Keenan Reesor","MUS303"
"","","","","Lecture","44030D","001","10:00-11:20am","Tue, Thu","30","0","0","Leah Morrison","UUC B2"
"MUHL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","44057D","001","TBA","TBA","25","0","0","Joanna Demers","MUS308"
"MUHL-570","Research Materials and Techniques","","2.0 units","Lecture","44069D","001","12:00-1:50pm","Tuesday","20","3","0","Lisa Vest","MUS204"
"MUHL-572","Seminar in Historical Musical Notation","P","2.0 units","Lecture","44078D","001","12:00-1:50pm","Wednesday","25","1","0","Rotem Gilbert","MUS204"
"MUHL-577","Music of the 19th Century","P","2.0 units","Lecture","44088D","001","11:00-12:50pm","Friday","25","5","0","Leah Morrison","MUS102B"
"MUHL-586","Special Studies in the Music of the Classical Period, 1730-1800","P","2.0 units, max 6","Lecture","44113D","001","12:00-1:50pm","Wednesday","25","2","0","Bruce Brown","UUC B3"
"MUHL-587","Special Studies in the Music of the 19th Century","P","2.0 units, max 6","Lecture","44116D","001","11:00-12:50pm","Friday","25","0","0","Leah Morrison",""
"","","","","Lecture","44117D","001","5:00-6:50pm","Wednesday","25","0","0","Leah Morrison",""
"MUHL-588","Special Studies in Music Since 1900","P","2.0 units, max 6","Lecture","44119D","001","12:00-1:50pm","Monday","25","3","0","Sean Nye","MUS303"
"","","","","Lecture","44120D","001","12:00-1:50pm","Tuesday","25","5","0","Nick Strimple","MUS102B"
"","","","","Lecture","44121D","001","12:00-1:50pm","Thursday","25","8","5","Tim Page","MUS303"
"","","","","Lecture","44122D","001","5:00-6:50pm","Wednesday","25","3","0","Scott Spencer","MUS102B"
"MUHL-589","Seminar in Renaissance Repertories and Performance Practice","P","2.0 units","Lecture","44123D","001","10:00-11:50am","Tuesday","17","1","0","Rotem Gilbert","UGW120"
"MUHL-590","Directed Research","P","1.0-12.0 units","Lecture","44126D","001","TBA","TBA","20","0","0","Joanna Demers","MUS308"
"MUHL-594a","Master's Thesis","C","2.0 units","Lecture","44131D","001","TBA","TBA","5","0","0","Adam Gilbert","MUS308"
"MUHL-594b","Master's Thesis","PC","2.0 units","Lecture","44134D","001","TBA","TBA","5","0","0","Adam Gilbert","MUS308"
"MUHL-594z","Master's Thesis","PC","0.0 units","Lecture","44137D","001","TBA","TBA","5","0","0","Adam Gilbert","MUS308"
"MUHL-681","Studies in Musicology","P","4.0 units, max 16","Lecture","44145D","001","5:00-8:50pm","Tuesday","15","0","0","Andrew Cashner","MUS319"
"MUHL-790","Research","P","1.0-12.0 units","Lecture","44170D","001","TBA","TBA","20","0","0","Joanna Demers","MUS308"
"MUHL-794a","Doctoral Dissertation","C","2.0 units","Lecture","44175D","001","TBA","TBA","20","0","0","Joanna Demers","MUS308"
"MUHL-794b","Doctoral Dissertation","PC","2.0 units","Lecture","44180D","001","TBA","TBA","20","0","0","Joanna Demers","MUS308"
"MUHL-794c","Doctoral Dissertation","PC","2.0 units","Lecture","44185D","001","TBA","TBA","20","0","0","Joanna Demers","MUS308"
"MUHL-794d","Doctoral Dissertation","PC","2.0 units","Lecture","44190D","001","TBA","TBA","20","0","0","Joanna Demers","MUS308"
"MUHL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","44195D","001","TBA","TBA","20","0","0","Joanna Demers","MUS308"
