"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUIN-270","Introduction to the Music Industry","M","4.0 units","Lecture","44200D","001","12:00-1:50pm","Tue, Thu","60","0","0","Paul Young","TMC G156"
"MUIN-272x","Basics of the Music Industry","","4.0 units","Lecture","44203R","001","4:00-5:50pm","Tue, Thu","60","0","0","Paul Young","TMC G156"
"MUIN-340","Introduction to Sound Reinforcement","","4.0 units","Lecture","44243D","001","12:00-1:50pm","Mon, Wed","35","0","0","Ken Lopez","CTV136A"
"MUIN-360","Introduction to Music Law","P","4.0 units","Lecture","44245D","001","6:00-7:50pm","Tue, Thu","36","0","0","Mark Goldstein","TMC G156"
"MUIN-370","Music Publishing and Licensing","P","2.0 units","Lecture","44250D","001","7:00-8:50pm","Monday","60","1","0","Jeff Brabec, Todd Brabec","TMC G156"
"MUIN-372x","Business and Legal Aspects of the Music Industry","P","4.0 units","Lecture","44253R","001","2:00-3:50pm","Tue, Thu","60","0","0","Paul Young","TMC G156"
"MUIN-410","Marketing, Branding and Strategic Alliances in Music","P","2.0 units","Lecture","44278D","001","8:00-9:50pm","Wednesday","40","0","0","Dax Kimbrough","TMC G156"
"MUIN-420","DIY Music Marketing","P","2.0 units","Lecture","44282D","001","6:00-7:50pm","Wednesday","25","0","1","Ken Lopez","TMC G156"
"MUIN-425","Live Music Production and Promotion","","4.0 units","Lecture","44285D","001","2:00-3:50pm","Tue, Thu","60","0","0","Ken Lopez","CTV136A"
"MUIN-430","Artist Management and Development","","4.0 units","Lecture-Discussion","44290D","001","8:00-9:50pm","Tue, Thu","50","0","0","Mark Goldstein","TMC G156"
"MUIN-450","Practicum in Music Industry Issues (Internship)","PC","2.0-4.0 units, max 8","Lecture","44335D","001","12:00-1:50pm","Friday","70","0","0","Mark Goldstein","TMC G156"
"MUIN-475","Advanced Concert Management","P","4.0 units","Lecture","44344D","001","10:00-11:50am","Tue, Thu","25","0","0","Michael Garcia","CTV136A"
"MUIN-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","44370D","001","TBA","TBA","10","0","0","Ken Lopez","TMC118"
"MUIN-495","Web Design for the Music Industry","","4.0 units","Lecture","44383R","001","2:00-3:50pm","Mon, Wed","25","0","0","Steve Cunningham",""
"MUIN-496","Music Media Solutions","C","4.0 units","Lecture","44384D","001","6:30-10:00pm","Tuesday","12","0","0","Paul Young","MUS303"
"MUIN-497","Current Topics, Case Studies, and Analysis","P","2.0 units, max 6"
"","Music in Media, Culture, and Enterprise","","2.0","Lecture","44385D","001","7:00-8:50pm","Wednesday","19","0","0","Richard Wolf, Douglas Frank",""
"","Technology, Big Data, and Marketing in Live Music","","2.0","Lecture","44386D","001","7:00-8:50pm","Thursday","19","0","0","Vivian Wang",""
"","The Art, Craft, and Business of the Creative Musician","","2.0","Lecture","44387D","001","7:00-8:50pm","Monday","18","0","0","Garry Schyman","TMC G150"
"","Music Festival Design and Management","","2.0","Lecture","44388D","001","7:00-8:50pm","Thursday","25","0","0","Ken Lopez","MUS102B"
"MUIN-498a","Final Capstone Project","P","1.0 unit","Lecture","44389D","001","TBA","TBA","20","0","0","Ken Lopez","TMC118"
"MUIN-498b","Final Capstone Project","P","1.0 unit","Lecture","44390D","001","TBA","TBA","20","0","0","Ken Lopez","TMC118"
"MUIN-590","Directed Research","","1.0-12.0 units","Lecture","44396D","001","TBA","TBA","10","0","0","Ken Lopez","TMC118"
"MUIN-790","Research","","1.0-12.0 units","Lecture","44399D","001","TBA","TBA","5","0","0","Ken Lopez","TMC118"
