"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUSC-255","Songwriting I","","2.0 units","Lecture","47200R","001","4:00-5:50pm","Tuesday","25","0","0","David Poe","TMC AUD"
"","","","","Lecture","47202R","001","4:00-5:50pm","Thursday","25","0","0","Andrea Stolpe","TMC AUD"
"","","","","Lecture","47203R","001","4:00-5:50pm","Wednesday","25","0","0","Andrea Stolpe","TMC AUD"
"MUSC-355","Songwriting II","P","2.0 units","Lecture","47209R","001","6:00-7:50pm","Tuesday","25","0","0","David Poe","TMC AUD"
"","","","","Lecture","47210D","001","6:00-7:50pm","Thursday","25","0","0","Andrea Stolpe","TMC AUD"
"MUSC-400m","The Broadway Musical: Reflection of American Diversity, Issues, and Experiences","","4.0 units","Lecture","47212R","001","4:00-5:50pm","Tue, Thu","100","1","0","Parmer Fuller","THH202"
"MUSC-410","Electronic Dance Music","","4.0 units","Lecture","47215R","001","6:00-9:50pm","Tuesday","125","0","0","Sean Nye","THH202"
"MUSC-420m","Hip-Hop Music and Culture","","4.0 units","Lecture","47218R","001","2:00-3:50pm","Mon, Wed","70","0","0","Sean Nye","TMC G156"
"MUSC-422","The Beatles: Their Music and Their Times","","4.0 units","Lecture","47220R","001","4:00-5:50pm","Mon, Wed","120","0","0","Bill Biersach","THH202"
"MUSC-423","Classic Rock: Popular Music of the Sixties and Seventies","","2.0 units","Lecture","47225R","001","6:00-7:50pm","Monday","120","1","0","Bill Biersach","THH202"
"MUSC-424","Iconic Figures of Popular Music","","2.0 units, max 8"
"","Crosby, Stills, Nash and Young","","2.0","Lecture","47228R","001","10:00-11:50am","Monday","19","0","0","Bill Biersach","MUS319"
"","Jimi Hendrix","","2.0","Lecture","47229R","001","12:00-1:50pm","Wednesday","19","0","0","Bill Biersach","MUS319"
"MUSC-450m","The Music of Black Americans","","4.0 units","Lecture","47236R","001","10:00-11:50am","Mon, Wed","30","1","0","Ron Mc Curdy","WPH B30"
"MUSC-455","Songwriting III: The Performing Songwriter","P","2.0 units","Lecture","47239R","001","6:00-7:50pm","Wednesday","25","0","0","Adriana Balic","TMC AUD"
"MUSC-465","Music, Television and American Culture","","4.0 units","Lecture","47245R","001","4:00-5:50pm","Tue, Thu","60","0","0","Jon Burlingame","UUC B2"
"MUSC-496","Careers in Music","C","2.0 units","Lecture","47249D","001","10:00-11:50am","Thursday","25","0","0","Christopher Sampson","UUC B3"
"MUSC-498x","Internship in Music","MC","1.0-4.0 units, max 8","Lecture","47251D","001","TBA","TBA","25","0","0","Brian Head","MUS308"
"MUSC-598","Internship in Music","M","1.0-4.0 units, max 4","Lecture","47266D","001","TBA","TBA","25","0","0","Brian Head","MUS308"
"MUSC-798","Internship in Music","MC","1.0-4.0 units, max 4","Lecture","47283D","001","TBA","TBA","25","0","0","Brian Head","MUS308"
"MUSC-800","Studies for the Qualifying Examination in Music","MC","0.0 units","Lecture","47290D","001","TBA","TBA","40","1","0","Brian Head","MUS308"
