"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"OT-200L","Medical Terminology for Health Professions","","1.0 unit","Lecture-Lab","47702R","001","6:30-7:20pm","Wednesday","70","0","0","Myka Winder","TBA"
"OT-220","Lifestyle Design: Introduction to Occupational Therapy","","2.0 units","Lecture","47701R","001","6:00-7:50pm","Tuesday","62","0","0","Kimberly Morris","THH212"
"","","","","Lecture","47961R","001","5:00-6:50pm","Thursday","40","0","0","Carlin Daley","VKC101"
"","","","","Lecture","47700R","001","12:00-1:50pm","Monday","65","0","0","Kimberly Morris","THH208"
"OT-250","Introduction to Occupational Science and Occupational Therapy","","4.0 units","Lecture","47703R","001","11:00-12:20pm","Tue, Thu","72","0","0","Kate Crowley","THH212"
"","","","","Lecture","47704R","001","3:30-4:50pm","Tue, Thu","72","0","0","Kate Crowley","THH212"
"OT-251","Across the Lifespan: Occupations, Health and Disability","","4.0 units","Lecture","47710R","001","3:30-6:20pm","Wednesday","35","0","0","Tessa Milman","WPH102"
"OT-260","Human Functional Anatomy for Occupational Therapists","","3.0 units","Lecture","47705D","376","1:00-6:00pm","MWF","30","0","0","George Salem","CHP109"
"","","","","Lecture","47706D","012","1:00-4:50pm","Tuesday","25","0","0","Shawn Roll","CHP109"
"OT-261","Human Physiology for Occupational Therapists","","3.0 units","Lecture","47707D","376","9:00-12:00pm","MTuWThF","30","0","0","Jesus Dominguez","CHP109"
"","","","","Lecture","47708D","012","1:00-3:50pm","Thursday","25","0","0","Jesus Dominguez","CHP233A"
"OT-300","Occupational Expressions of Diverse Identities and Lifestyles","","4.0 units","Lecture","47723R","001","9:30-10:50am","Tue, Thu","40","0","0","Kate Crowley","WPH207"
"","","","","Lecture","47724R","001","6:00-8:50pm","Wednesday","72","0","0","Kate Crowley","THH208"
"OT-310","Creativity Workshop","","2.0 units","Lecture","47712R","001","10:00-11:50am","Monday","35","0","0","Kimberly Morris","VKC210"
"","","","","Lecture","47713R","001","12:00-1:50pm","Wednesday","65","0","0","Kimberly Morris","THH208"
"","","","","Lecture","47714R","001","10:00-11:50am","Friday","35","0","0","Kimberly Morris","VKC210"
"OT-333","Sports Ethics","","4.0 units","Lecture","47720R","001","10:00-11:50am","Mon, Wed","58","0","0","William Morgan","THH208"
"OT-340","Occupational Foundations of Human-Animal Interaction","","4.0 units","Lecture","48050R","001","2:00-3:20pm","Mon, Wed","35","0","0","Olga Solomon","VKC210"
"","","","","Lecture","48051R","001","3:30-4:50pm","Mon, Wed","35","0","0","Olga Solomon","VKC210"
"OT-355x","Occupational Reconstructions and Social Transformations","","2.0 units","Lecture","47722R","001","10:00-11:50am","Wednesday","35","0","0","Gelya Frank","VKC210"
"OT-406L","Foundations: Creativity, Craft and Activity Analysis","MC","2.0 units","Lecture-Lab","47929R","001","1:00-4:00pm","Monday","12","0","0","","CENTER"
"OT-441L","Foundations: Neuroscience","MC","2.0 units","Lecture-Lab","47771R","001","1:00-4:20pm","Wednesday","15","0","0","Sook-Lei Liew","CENTER"
