"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PATH-551","Pathobiology of Disease","P","4.0 units","Lecture","40659D","046","10:00-11:50am","Wed, Fri","25","0","0","Louis Dubeau","OFFICE"
"PATH-554","Methods in Molecular Pathology","","2.0 units","Lecture","40851D","046","1:00-2:50pm","Wednesday","25","0","0","Florence Hofman, Yong-Mi Kim","TBA"
"PATH-573","Systems Physiology and Disease II","MC","4.0 units","Lecture","40664D","046","9:00-10:50am","Wed, Fri","18","0","0","Harvey Kaslow","TBA"
"PATH-575","Frontiers of Pathology","","2.0 units, max 8","Lecture","40865D","046","12:00-12:50pm","Thursday","25","0","0","Keane Lai, Kinji Asahina","OFFICE"
"PATH-590","Directed Research","","1.0-12.0 units","Lecture","40871D","046","TBA","TBA","25","0","0","David Hinton","OFFICE"
"PATH-594a","Master's Thesis","","2.0 units","Lecture","40872R","046","TBA","TBA","25","0","0","David Hinton","OFFICE"
"PATH-594b","Master's Thesis","P","2.0 units","Lecture","40874D","046","TBA","TBA","25","0","0","David Hinton","OFFICE"
"PATH-594z","Master's Thesis","P","0.0 units","Lecture","40880D","046","TBA","TBA","25","0","0","David Hinton","OFFICE"
"PATH-790","Research","","1.0-12.0 units","Lecture","40889D","046","TBA","TBA","35","0","0","David Hinton","OFFICE"
"PATH-794z","Doctoral Dissertation","P","0.0 units","Lecture","40903D","046","TBA","TBA","25","0","0","David Hinton","OFFICE"
