"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PCPA-506","Behavioral Sciences II","PM","4.0 units","Lecture","41250R","019","TBA","TBA","60","0","0","Christopher Forest, Janice Tramel","OFFICE"
"PCPA-526","Clinical Skills II","PM","6.0 units","Lecture","41254R","019","TBA","TBA","60","0","0","Janice Tramel, Mitzi D'Aquila, Darryl Mayo","OFFICE"
"PCPA-532","Clinical Skills IV","PM","3.0 units","Lecture","41258R","019","TBA","TBA","55","0","0","Janice Tramel","OFFICE"
"PCPA-546","Topics in Medicine II","PM","6.0 units","Lecture","41262R","019","TBA","TBA","60","0","0","Emily Whitehorse, Kevin Lohenry, Janice Tramel","OFFICE"
"PCPA-561","Clinical Assignment I","","3.5 units","Lecture","41266R","019","TBA","TBA","54","0","0","","OFFICE"
"PCPA-562","Clinical Assignment II","","3.5 units","Lecture","41270R","019","TBA","TBA","54","0","0","","OFFICE"
"PCPA-564a","Clinical Assignment IV","","3.5 units","Lecture","41277R","019","TBA","TBA","54","0","0","","OFFICE"
"PCPA-565a","Clinical Assignment V","","3.5 units","Lecture","41284R","019","TBA","TBA","54","0","0","","OFFICE"
"PCPA-583","Advanced Topics in PA Studies: Education","M","4.0 units","Lecture","41291R","019","TBA","TBA","55","0","0","Maria Maldonado, Emily Whitehorse, Janice Tramel","OFFICE"
"PCPA-586","Advanced Topics in PA Studies: Research","M","4.0 units","Lecture","41295R","019","TBA","TBA","55","0","0","Christopher Forest, Janice Tramel","OFFICE"
"PCPA-589","Advanced Topics in PA Studies: Medical Care Organization","M","4.0 units","Lecture","41299R","019","TBA","TBA","55","0","0","Janice Tramel","OFFICE"
