"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHIL-104g","Ancient Foundations of Western Thought","","4.0 units","Lecture","49307R","001","12:00-12:50pm","MWF","30","0","0","Kevin Robb","VKC261"
"PHIL-120g","Introduction to Formal Logic","","4.0 units","Lecture","49300R","001","10:00-10:50am","MWF","100","0","0","Andrew Bacon","THH202"
"","","","","Discussion","49301R","001","8:00-8:50am","Tuesday","25","0","0","","VKC109"
"","","","","Discussion","49302R","001","9:00-9:50am","Tuesday","25","0","0","","VKC109"
"","","","","Discussion","49303R","001","8:00-8:50am","Thursday","25","0","0","","VKC109"
"","","","","Discussion","49304R","001","9:00-9:50am","Thursday","25","0","0","","VKC109"
"PHIL-122a","Reasoning and Argument","","2.0 units","Lecture","49368R","001","5:00-6:30pm","Tue, Thu","1","0","0","Amanda Gorman","MHP B7B"
"PHIL-122b","Reasoning and Argument","P","2.0 units","Lecture","49369R","001","5:00-6:30pm","Tue, Thu","1","0","0","Amanda Gorman","MHP B7B"
"PHIL-168g","The Meaning of Life","","4.0 units","Lecture","49344R","001","2:00-3:20pm","Tue, Thu","150","0","0","Edwin McCann","MHP101"
"","","","","Discussion","49345R","001","9:00-9:50am","Wednesday","25","0","0","","SOS B41"
"","","","","Discussion","49346R","001","10:00-10:50am","Wednesday","25","0","0","","SOS B41"
"","","","","Discussion","49347R","001","9:00-9:50am","Thursday","25","0","0","","VKC207"
"","","","","Discussion","49348R","001","10:00-10:50am","Thursday","25","0","0","","VKC207"
"","","","","Discussion","49349R","001","9:00-9:50am","Friday","25","0","0","","VKC160"
"","","","","Discussion","49350R","001","10:00-10:50am","Friday","25","0","0","","VKC256"
"PHIL-178g","Moral Dilemmas in the Legal Domain","","4.0 units","Lecture","49590R","001","12:30-1:45pm","Tue, Thu","150","0","0","Jacob Ross","THH101"
"","","","","Discussion","49591R","001","8:00-8:50am","Monday","25","0","0","",""
"","","","","Discussion","49592R","001","9:00-9:50am","Monday","25","0","0","",""
"","","","","Discussion","49593R","001","10:00-10:50am","Monday","25","0","0","",""
"","","","","Discussion","49594R","001","8:00-8:50am","Wednesday","25","0","0","",""
"","","","","Discussion","49595R","001","9:00-9:50am","Wednesday","25","0","0","",""
"","","","","Discussion","49596R","001","10:00-10:50am","Wednesday","25","0","0","",""
"PHIL-258g","Probability and Rational Choice","","4.0 units","Lecture","49553R","001","11:00-12:20pm","Tue, Thu","150","0","0","Gabriel Uzquiano Cruz","MRF340"
"","","","","Discussion","49554R","001","8:00-8:50am","Monday","25","0","0","","THH121"
"","","","","Discussion","49556R","001","9:00-9:50am","Monday","25","0","0","","VKC109"
"","","","","Discussion","49557R","001","9:00-9:50am","Wednesday","25","0","0","","VKC109"
"","","","","Discussion","49558R","001","9:00-9:50am","Friday","25","0","0","","THH B10"
"","","","","Discussion","49559R","001","10:00-10:50am","Friday","25","0","0","","SOS B37"
"","","","","Discussion","49567R","001","8:00-8:50am","Wednesday","25","0","0","","THH121"
"PHIL-260g","Ethical Theory and Practice","","4.0 units","Lecture","49363R","001","3:30-4:45pm","Tue, Thu","5","2","0","Jacob Ross","THH301"
"","","","","Discussion","49364R","001","8:00-8:50am","Monday","25","0","0","","MHP102"
"","","","","Discussion","49365R","001","9:00-9:50am","Monday","25","0","0","","MHP102"
"","","","","Discussion","49366R","001","8:00-8:50am","Wednesday","25","0","0","","MHP102"
