"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PHRD-502","Pharmaceutics II","M","2.0 units","Lecture","48502D","004","TBA","TBA","200","19","0","Ian Haworth, Rebecca Romero","OFFICE"
"PHRD-504","Biological Systems II","M","5.0 units","Lecture","48503D","004","TBA","TBA","200","19","0","Kathy Besinque, Angel Tabancay Jr","OFFICE"
"PHRD-506","Self Care and Non-Prescription Therapies","M","5.0 units","Lecture","48582R","004","TBA","TBA","1","0","0","","OFFICE"
"PHRD-508","Pharmacy Literature Analysis and Drug Information","M","3.0 units","Lecture","48679D","004","TBA","TBA","200","8","0","Jeff Mc Combs, Rory Ocallaghan","OFFICE"
"PHRD-512","Pharmacy Practice and Professionalism 2","M","2.0 units","Lecture","48504D","004","TBA","TBA","200","19","0","","OFFICE"
"PHRD-514","Case Conference 1","M","2.0 units","Lecture","48506D","004","TBA","TBA","200","19","0","","OFFICE"
"PHRD-516","Non-Prescription Therapies","M","3.0 units","Lecture","48508D","004","TBA","TBA","200","6","0","","OFFICE"
"PHRD-552","Pharmaceutics III","M","3.0 units","Lecture","48576D","004","TBA","TBA","200","15","0","Rebecca Romero","OFFICE"
"PHRD-553","Management within Health Care Organizations","M","2.0 units","Lecture","48578D","004","TBA","TBA","200","15","0","Brad Wenderoth","OFFICE"
"PHRD-559","Therapeutics: Pharmacokinetics","M","3.0 units","Lecture","48510D","004","TBA","TBA","200","19","0","","OFFICE"
"PHRD-560","Therapeutics III","M","6.0 units","Lecture","48598D","145","TBA","TBA","200","15","0","Michael Wincor","OFFICE"
"PHRD-561","Pharmacy Practice and Experience III","M","3.0 units","Lecture-Lab","48600D","004","TBA","TBA","200","7","0","Melissa Durham, Cynthia Lieu","OFFICE"
"PHRD-562","Therapeutics IV","M","4.0 units","Lecture","48602D","171","TBA","TBA","200","16","0","Kathleen Rodgers, Michelle Chu","OFFICE"
"PHRD-606","Therapeutics VIII","","2.0 units","Lecture","48604D","221","TBA","TBA","200","0","0","Roger Duncan","OFFICE"
"PHRD-608","Therapeutics IX","M","2.0 units","Lecture","48606D","767","TBA","TBA","200","0","0","Betty Chan","OFFICE"
"PHRD-610","Therapeutics X","","3.0 units","Lecture","48608D","233","TBA","TBA","200","0","0","Brad Williams, Irving Steinberg","OFFICE"
"PHRD-612","Therapeutics XI","","2.0 units","Lecture","48610D","774","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-614","Pharmaceutical Economics and Outcome Studies","M","3.0 units","Lecture","48660D","004",":-:am","TBA","200","0","0","Jason Doctor, Neeraj Sood",", OFFICE"
"PHRD-616","Pharmacy, Law and Ethics","M","3.0 units","Lecture","48662D","004",":-:am","TBA","200","0","0","Fred Weissman",", OFFICE"
"PHRD-652","Community Pharmacy II","PM","3.0 units","Lecture","48706D","004","TBA","TBA","50","0","0","Raffi Svadjian","OFFICE"
"PHRD-654","Health Systems Pharmacy II","PM","3.0 units","Lecture","48686D","004","TBA","TBA","25","0","0","Kevin Forrester","TBA"
"PHRD-656","Geriatric Pharmacy II","PM","3.0 units","Lecture","48688D","004","TBA","TBA","50","0","0","","TBA"
"PHRD-657L","Basic Research Design","M","3.0 units, max 6","Lecture-Lab","48687D","004","TBA","TBA","50","0","0","Sarah Hamm-Alvarez","TBA"
"PHRD-658","Sleep and the Pharmacologic Management of Its Disorders","MC","3.0 units","Lecture","48690D","004","TBA","TBA","100","0","0","","TBA"
"PHRD-661","Pharmacy Practice in Women's Health","MC","3.0 units","Lecture","48691D","004","TBA","TBA","50","0","0","","TBA"
"PHRD-663","Pharmaceutical Development","M","3.0 units","Lecture","48680D","004","TBA","TBA","50","0","0","","OFFICE"
"PHRD-664","Clinical Problem Solving","M","3.0 units","Lecture","48696D","004","TBA","TBA","50","0","0","","TBA"
"PHRD-665","Complementary/Alternative Therapeutics","MC","3.0 units","Lecture","48695D","004","TBA","TBA","110","0","0","James Adams","OFFICE"
"PHRD-669","Health Care Needs of Special Populations","MC","3.0 units","Lecture","48669D","001","TBA","TBA","30","0","0","","TBA"
"","","","","Lecture","48699D","004","TBA","TBA","50","0","0","","TBA"
"PHRD-670","Marketing and Development in the Pharmaceutical Industry","","3.0 units","Lecture","48704D","004","TBA","TBA","75","0","0","Edward Lieskovan","TBA"
"PHRD-675","Travel Medicine","M","3.0 units","Lecture","48701D","004","TBA","TBA","30","0","0","Leah Amirian","TBA"
"PHRD-677","Risk Assessment and Management in Pharmacy Practice","M","3.0 units","Lecture","48664D","004","TBA","TBA","50","0","0","","OFFICE"
"PHRD-701","Acute Care Clinical APPE","M","6.0 units","Lecture","48736D","500","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48737D","518","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48738D","519","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-704","Primary Care APPE","M","6.0 units","Lecture","48746D","500","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48747D","518","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48748D","519","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-705","Community Pharmacy APPE","M","6.0 units","Lecture","48756D","500","TBA","TBA","200","0","0","Edith Mirzaian","OFFICE"
"","","","","Lecture","48757D","518","TBA","TBA","200","0","0","Edith Mirzaian","OFFICE"
"","","","","Lecture","48758D","519","TBA","TBA","200","0","0","Edith Mirzaian","OFFICE"
"PHRD-714","Nuclear Pharmacy APPE","M","6.0 units","Lecture","48796D","500","TBA","TBA","100","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48797D","518",":-:am","TBA","100","0","0","Kathy Besinque",", OFFICE"
"","","","","Lecture","48798D","519","TBA","TBA","100","0","0","Kathy Besinque","OFFICE"
"PHRD-718","Hospital Pharmacy Practice APPE","M","6.0 units","Lecture","48766D","500","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48767D","518","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48768D","519","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-725","International Pharmacy Practice Experience","M","3.0-6.0 units","Lecture","48722D","500","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-726","Directed Clinical Project I APPE","M","6.0 units, max 12","Lecture","48759R","004","TBA","TBA","200","0","0","","OFFICE"
"PHRD-727","Directed Clinical Project II APPE","M","6.0 units","Lecture","48769R","004","TBA","TBA","200","0","0","","OFFICE"
"PHRD-731","Advanced Geriatrics APPE","M","6.0 units","Lecture","48779R","004","TBA","TBA","200","0","0","","OFFICE"
"PHRD-735","Clinical Pharmacy Research APPE","M","6.0 units","Lecture","48789R","004","TBA","TBA","200","0","0","","OFFICE"
"PHRD-738","Pharmaceutical Industry APPE","M","6.0 units","Lecture","48716D","500","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48717D","518","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48718D","519","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-750","Advanced Pharmacy Practice Elective (APPE)","M","6.0 units, max 18","Lecture","48776D","500","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48777D","518","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48778D","519","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-751","Non-traditional Advanced Pharmacy Elective (APPE)","M","6.0 units","Lecture","48786D","500","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48787D","518","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"","","","","Lecture","48788D","519","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
"PHRD-796b","Doctor of Pharmacy Capstone","M","3.0 units","Lecture","48799D","866","TBA","TBA","200","0","0","Kathy Besinque","OFFICE"
