"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PM-501","Foundations in Health Education and Promotion","","4.0 units","Lecture","41050D","046","1:00-4:30pm","Tuesday","35","8","0","Britni Belcher","SSB114"
"PM-508","Health Service Delivery in the U.S.","","4.0 units","Lecture","41051D","046","9:00-12:20pm","Thursday","32","5","0","Sue Kim","SSB114"
"PM-510L","Principles of Biostatistics","","4.0 units","Lecture","41052D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41053D","046","1:00-2:50pm","Monday","60","6","0","Joshua Millstein","SSB115AB"
"","","","","Lecture","41061D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41073D","046","1:00-2:50pm","Monday","60","7","0","Richard Watanabe","TBA"
"","","","","Lecture","41203D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture-Lab","41055D","046","1:00-3:00pm","Tuesday","40","0","0","",""
"","","","","Lab","41056D","046","3:05-5:00pm","Tuesday","20","0","0","",""
"","","","","Lab","41054D","046","3:00-4:50pm","Monday","60","6","0","Joshua Millstein","SSB115AB"
"","","","","Lab","41066D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lab","41071D","046","3:05-4:50pm","Monday","60","7","0","Richard Watanabe",""
"","","","","Lab","41076D","046","3:00-4:55pm","Monday","30","0","0","",""
"","","","","Lab","41200D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lab","41204D","407","TBA","TBA","25","0","0","","ONLINE"
"PM-511aL","Data Analysis","P","4.0 units","Lecture","41057D","046","1:00-2:50pm","Tuesday","72","4","0","William Gauderman","SSB115AB"
"","","","","Lecture","41084D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture-Lab","41113D","046","10:00-2:00pm","Tuesday","2","0","0","","TBA"
"","","","","Lab","41058D","046","11:00-12:50pm","Tuesday","40","1","0","William Gauderman","SSB117"
"","","","","Lab","41059D","046","3:00-4:50pm","Tuesday","55","3","0","William Gauderman","SSB115AB"
"","","","","Lab","41085D","407","TBA","TBA","25","0","0","","ONLINE"
"PM-511bL","Data Analysis","P","4.0 units","Lecture","41063D","046","11:05-12:55pm","Friday","40","5","0","Wendy MacK","SSB114"
"","","","","Lecture","41086D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lab","41065D","046","1:05-3:00pm","Friday","50","5","0","Wendy MacK","SSB114"
"","","","","Lab","41087D","407","TBA","TBA","25","0","0","","ONLINE"
"PM-512","Principles of Epidemiology","","4.0 units","Lecture","41069D","046","8:30-12:30pm","Wednesday","35","9","0","Myles Cockburn","SSB117"
"","","","","Lecture","41077D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41079D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41207D","407","TBA","TBA","25","0","0","","ONLINE"
"PM-513","Experimental Designs","P","3.0 units","Lecture","41137D","046","2:30-3:50pm","Wednesday","30","0","0","Donald Barkauskas","SSB105, SSB105"
"PM-515","Behavioral Epidemiology","","3.0 units","Lecture","41229D","046","TBA","Monday","15","0","0","Jon Allem","OFFICE"
"PM-516a","Statistical Problem Solving","P","1.0 unit","Lecture-Lab","41072D","046","1:30-2:20pm","Wednesday","15","0","0","Christianne Lane","SSB106"
"PM-516b","Statistical Problem Solving","P","1.0 unit","Lecture-Lab","41075D","046","TBA","TBA","14","0","0","Christianne Lane","SSB117"
"PM-517b","Research Methods in Cancer Epidemiology","P","3.0 units","Lecture","41078D","046","1:30-4:30pm","Wednesday","10","0","0","Anna Wu-Williams","SSB110"
"PM-518a","Statistical Methods for Epidemiological Studies","P","3.0 units","Lecture-Lab","41081D","046","9:30-12:30pm","Tuesday","43","0","0","Wendy MacK","SSB115AB"
"PM-520L","Advanced Statistical Computing","","3.0 units","Lecture","41062D","046","1:00-1:55pm","Thursday","25","0","0","Paul Marjoram","SSB115"
"","","","","Lab","41143D","046","2:00-4:00pm","Thursday","25","0","0","Paul Marjoram","SSB115"
"PM-522b","Introduction to the Theory of Statistics","P","3.0 units","Lecture","41177D","046","5:10-6:30pm","Tuesday","20","1","0","Meredith Franklin","SSB115, SSB117"
"PM-523","Design of Clinical Studies","P","3.0 units","Lecture","41096D","046","9:00-11:50am","Wednesday","40","1","0","Cecilia Patino Sutton, Todd Alonzo","SSB116"
"PM-526","Communications in Public Health","","4.0 units","Lecture","41088D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41108D","046","1:30-4:55pm","Thursday","20","3","0","Nancy Boley Cruz","SSB114"
"PM-527","Epidemiology of Infectious Disease","P","4.0 units","Lecture","41089D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41100D","407","TBA","TBA","25","0","0","","ONLINE"
"","","","","Lecture","41111D","046","1:00-4:50pm","Thursday","35","7","0","Wendy Cozen","NOR4444"
"PM-528","Program Design and Evaluation","","4.0 units","Lecture","41114D","046","5:00-8:20pm","Wednesday","46","21","0","Rachel Castaneda","SSB114"
"PM-529","Environmental Health: An Epidemiological Approach","P","4.0 units","Lecture","41117D","046","9:30-12:50pm","Wednesday","48","18","0","Scott Fruin","SSB114"
"PM-534","Statistical Genetics","P","3.0 units","Lecture","41124D","046","1:00-4:00pm","Wednesday","40","0","0","",""
"","","","","Lecture","41116D","046","1:05-4:00pm","Monday","20","0","0","David Conti","SSB105"
"PM-540","Maternal and Child Nutrition: Practice and Policy","","4.0 units","Lecture","41123D","046","5:00-8:20pm","Tuesday","20","2","0","Leslie Wills","SSB117"
"PM-542","Social Network Analysis","","4.0 units","Lecture-Lab","41171R","046","10:00-1:50pm","Monday","50","10","0","Thomas Valente","SSB114"
"PM-545L","Introduction to Time Series","P","3.0 units","Lecture-Lab","39769D","001","12:00-1:50pm","Wed, Fri","46","5","0","Stanislav Minsker","WPH B28"
