"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PMEP-519","Survey Research and Quality of Life Assessment","P","4.0 units","Lecture","48958D","005","TBA","TBA","30","0","0","","TBA"
"PMEP-539","Economic Assessment of Medical Care","P","4.0 units","Lecture","48956D","005","TBA","TBA","30","0","0","","TBA"
"PMEP-544","Health Economics Il","","4.0 units","Lecture","48954D","005","1:00-5:00pm","Monday","8","0","0","Dana Goldman, Darius Lakdawalla","OFFICE"
"PMEP-549","Applied Pharmacoeconometrics II","P","4.0 units","Lecture","48960D","005","TBA","TBA","25","0","0","","TBA"
"","","","","Lecture","48952D","005","2:00-5:50pm","Tuesday","24","2","0","Joel Hay, Neeraj Sood","VPD107"
"PMEP-590","Directed Research","","1.0-12.0 units","Lecture","48961D","005","TBA","TBA","30","0","0","Steve Chen","OFFICE"
"PMEP-698","Seminar in Pharmaceutical Economics and Policy","","1.0 units, max 4","Lecture","48968D","005","2:00-3:50pm","Thursday","30","0","0","Dana Goldman","VPD116"
"PMEP-790","Research","","1.0-12.0 units","Lecture","48970D","005","12:00-1:50pm","Mon, Wed","16","0","0","",""
"","","","","Lecture","48972D","005","TBA","TBA","50","0","0","","OFFICE"
"PMEP-794a","Doctoral Dissertation","","2.0 units","Lecture","48980D","005","TBA","TBA","25","0","0","","OFFICE"
"PMEP-794b","Doctoral Dissertation","P","2.0 units","Lecture","48982D","005","TBA","TBA","25","0","0","","OFFICE"
"PMEP-794c","Doctoral Dissertation","P","2.0 units","Lecture","48984D","005","TBA","TBA","25","0","0","","OFFICE"
"PMEP-794d","Doctoral Dissertation","P","2.0 units","Lecture","48986D","005","TBA","TBA","25","0","0","","OFFICE"
"PMEP-794z","Doctoral Dissertation","P","0.0 units","Lecture","48988D","005","TBA","TBA","25","0","0","","OFFICE"
