"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"POIR-599","Special Topics","M","2.0-8.0 units, max 8"
"","Experimental Political Science","","4.0","Lecture","52338R","001","11:00-1:50pm","Tuesday","15","4","0","Nicholas Weller",""
"POIR-600","Political Theory","C","4.0 units","Lecture","52300R","001","5:00-7:50pm","Tuesday","16","0","0","",""
"POIR-611","Introduction to Regression Analysis","C","4.0 units","Lecture","52302D","001","5:00-7:50pm","Tuesday","14","1","0","Evis Mezini","VKC104"
"POIR-621","American Politics Field Seminar Part II","C","4.0 units","Lecture","52311D","001","2:00-4:50pm","Tuesday","12","0","0","",""
"POIR-670","International Political Economy","C","4.0 units","Lecture","52330D","001","2:00-4:50pm","Monday","14","1","0","Benjamin Graham","VKC153"
"POIR-680","International Security and Foreign Policy","C","4.0 units","Lecture","52336D","001","2:00-4:50pm","Thursday","12","0","0","Andrew Coe","THH115"
"POIR-794a","Doctoral Dissertation","","2.0 units","Lecture","52345D","001","TBA","TBA","12","0","0","","OFFICE"
"POIR-794b","Doctoral Dissertation","P","2.0 units","Lecture","52346R","001","TBA","TBA","12","1","0","","OFFICE"
"POIR-794c","Doctoral Dissertation","P","2.0 units","Lecture","52347D","001","TBA","TBA","12","1","0","","OFFICE"
"POIR-794d","Doctoral Dissertation","P","2.0 units","Lecture","52348D","001","TBA","TBA","12","1","0","","OFFICE"
"POIR-794z","Doctoral Dissertation","P","0.0 units","Lecture","52349D","001","TBA","TBA","12","0","0","","OFFICE"
