"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"POSC-110","Ideology and Political Conflict","","4.0 units","Lecture","51910R","001","2:00-3:20pm","Mon, Wed","50","0","0","Anthony Kammas","THH102"
"","","","","Discussion","51913R","001","1:00-1:50pm","Wednesday","25","0","0","","VKC154"
"","","","","Discussion","51914R","001","3:30-4:20pm","Monday","25","0","0","","VKC206"
"POSC-120","Comparative Politics","","4.0 units","Lecture","51920R","001","2:00-3:20pm","Tue, Thu","50","0","0","Eliz Sanasarian","VKC100"
"","","","","Discussion","51921R","001","11:00-11:50am","Wednesday","25","0","0","","VKC155"
"","","","","Discussion","51922R","001","1:00-1:50pm","Thursday","25","0","0","","THH B10"
"POSC-130g","Law, Politics and Public Policy","","4.0 units","Lecture","51930R","001","11:00-12:20pm","Tue, Thu","200","1","0","Jeb Barnes","THH101"
"","","","","Discussion","51931R","001","8:30-9:20am","Tuesday","25","0","0","","THH108"
"","","","","Discussion","51932R","001","8:30-9:20am","Thursday","25","0","0","","THH108"
"","","","","Discussion","51933R","001","11:00-11:50am","Monday","25","0","0","","VKC155"
"","","","","Discussion","51934R","001","12:00-12:50pm","Wednesday","25","0","0","","VKC154"
"","","","","Discussion","51935R","001","12:00-12:50pm","Friday","25","0","0","","VKC154"
"","","","","Discussion","51936R","001","1:00-1:50pm","Monday","25","1","0","","VKC154"
"","","","","Discussion","51937R","001","1:00-1:50pm","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","51938R","001","3:30-4:20pm","Wednesday","25","0","0","","VKC206"
"POSC-190a","Politics and Society","MC","4.0 units","Lecture","51940D","001","7:00-9:50pm","Tuesday","12","0","0","Stanley Rosen","VKC103"
"POSC-270","Introduction to Environmental Law and Politics","P","4.0 units","Lecture","51950R","001","7:00-9:50pm","Wednesday","40","0","0","Darry Sragow","THH212"
"POSC-311","Political Analysis","","4.0 units","Lecture","51955R","001","9:30-10:50am","Tue, Thu","35","0","0","Nicholas Weller","VKC210"
"POSC-323","Applied Politics","","4.0 units, max 12"
"","Primaries in Real Time","","4.0","Lecture","51960R","001","3:30-4:50pm","Mon, Wed","40","0","0","Robert Shrum","VKC101"
"POSC-325","State Politics","","4.0 units","Lecture","51965R","001","2:00-4:50pm","Monday","40","0","0","Daniel Schnur","THH118"
"POSC-335","Political Parties, Campaigns, and Elections","","4.0 units","Lecture","51970D","429","TBA","TBA","15","0","0","","OFFICE"
"POSC-345","International Law","","4.0 units","Lecture","51983R","001","11:00-12:20pm","Tue, Thu","60","0","0","Alison Renteln","VKC100"
"POSC-347","Environmental Law","","4.0 units","Lecture","51985R","001","5:00-7:50pm","Tuesday","35","0","0","Jefferey Sellers","VKC150"
"POSC-349","Women and the Law","","4.0 units","Lecture","34931R","001","2:00-4:50pm","Tuesday","15","0","0","Diana Williams","THH107"
