"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PPD-225","Public Policy and Management","","4.0 units","Lecture","51100R","001","12:00-1:50pm","Tue, Thu","45","0","0","Kathleen Doherty",""
"","","","","Lecture","51101R","001","6:00-9:20pm","Monday","45","0","0","Lori Glasgow","VPD116"
"PPD-227","Urban Planning and Development","","4.0 units","Lecture","51103R","001","12:00-1:50pm","Mon, Wed","45","0","0","Alan Kreditor",""
"","","","","Lecture","51190R","001","8:00-9:50am","Mon, Wed","45","0","0","Todd Gish",""
"PPD-240g","Citizenship and Public Ethics","","4.0 units","Lecture","51110D","001","12:00-1:50pm","Tue, Thu","60","0","0","Diane Yoder","VPD112"
"PPD-245g","The Urban Context for Policy and Planning","","4.0 units","Lecture","51106D","001","10:00-11:50am","Mon, Wed","45","0","0","Lisa Schweitzer","VPD112"
"","","","","Lecture","51109D","001","10:00-11:50am","Tue, Thu","45","0","0","Elizabeth Halkett","VPD112"
"PPD-301","PPD Practices: Internship Seminar","","2.0 units","Lecture","51104D","001","6:30-8:20pm","Wednesday","32","0","0","Aggie Afarinesh","VKC150"
"PPD-303","Statistics for Policy, Planning, and Development","","4.0 units","Lecture","51105R","001","10:00-11:50am","Tue, Thu","35","0","0","Emma Aguila Vega",""
"","","","","Lecture","51107R","001","6:00-9:20pm","Tuesday","35","0","0","Ray Gonzales","VKC201"
"","","","","Lecture","51112R","001","6:00-9:20pm","Wednesday","35","0","0","Mark Velez","VPD110"
"PPD-314","Public Policy and Law","","4.0 units","Lecture","51118R","001","TBA","TBA","32","0","0","","TBA"
"PPD-320","Organizational Behavior in Public Administration","","4.0 units","Lecture","51113R","001","2:00-3:50pm","Tue, Thu","32","0","0","Howard Greenwald","VPD110"
"PPD-325","Fundamentals of Health Policy and Management","","4.0 units","Lecture","51120R","001","8:00-9:50am","Tue, Thu","32","0","0","Michael Nichol","VPD112"
"PPD-330","Introduction to Health Care Systems","","4.0 units","Lecture","51102R","001","TBA","TBA","32","0","0","","TBA"
"PPD-357","Government and Business","P","4.0 units","Lecture","51114R","001","4:00-5:50pm","Mon, Wed","45","0","0","Jennifer Miller",""
"","","","","Lecture","51141R","001","2:00-3:50pm","Tue, Thu","45","1","0","Michael Thom",""
"PPD-362","Real Estate Fundamentals for Planning and Develop","","4.0 units","Lecture","51151R","001","6:00-9:20pm","Thursday","25","0","0","Bret Nielsen","VPD112"
"","","","","Lecture","51152R","001","10:00-11:50am","Tue, Thu","25","1","0","",""
"","","","","Lecture","51155R","001","10:00-11:50am","Wed, Fri","25","0","0","","VPD110"
"PPD-371","The Nonprofit Sector and the Public Interest","","4.0 units","Lecture","51130R","001","8:00-9:50am","Tue, Thu","32","0","0","Alexandra Graddy-Reed",""
"PPD-372m","Public Service in an Urban Setting","","4.0 units","Lecture","51108R","001","4:00-5:50pm","Tue, Thu","32","0","0","Grace Dyrness","VPD112"
"PPD-373","Public Policy and Planning Analysis","P","4.0 units","Lecture","51122R","001","2:00-3:50pm","Mon, Wed","45","1","0","Tj McCarthy",""
"","","","","Lecture","51123R","001","2:00-3:50pm","Tue, Thu","45","0","0","Julie Zissimopoulos","VPD112"
