"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PPDE-630","Community Health Planning","","4.0 units","Lecture","50904R","001","6:00-9:20pm","Wednesday","32","14","0","David Sloane","VKC205"
"PPDE-634","Methodology, Methods and Tools for Urban Sustainability","","2.0-4.0 units","Lecture","50901R","001","9:00-12:20pm","Monday","32","13","0","Hilda Blanco","VPD110"
"PPDE-635","Housing and Land Use in Rapidly Urbanizing Regions","","4.0 units","Lecture","50903R","001","2:00-5:20pm","Tuesday","18","5","0","Annette Kim","OFFICE"
"PPDE-647","Civic Engagement in Governance","","4.0 units","Lecture","50902R","001","2:00-5:20pm","Tuesday","32","20","0","Terry Cooper",""
"PPDE-648","Performance Management","","2.0 units","Lecture","50990D","530","TBA","TBA","24","2","0","Christopher Weare","SACRAMENTO"
"","","","","Lecture","51072D","593","TBA","TBA","35","2","0","","ONLINE"
"PPDE-660","Environmental Policy Design and Analysis","P","2.0 units","Lecture","50906R","001","2:00-3:50pm","Tuesday","20","13","0","Adam Rose",""
"PPDE-661","Methods for Equity Analysis","P","4.0 units","Lecture","50908R","001","2:00-5:20pm","Monday","32","5","0","Julie Zissimopoulos",""
"PPDE-663","Media for Policy Change","","4.0 units","Lecture","50907R","001","2:00-5:20pm","Monday","32","14","0","Daniel Heimpel",""
"PPDE-664","Seminar in Social Justice and Public Policy","","4.0 units","Lecture","50909R","001","2:00-5:20pm","Tuesday","32","32","0","Lisa Schweitzer",""
"PPDE-682","Strategic Management and Leadership in Nonprofit Organizatio","PM","4.0 units","Lecture","50910D","001","6:00-9:20pm","Tuesday","15","10","0","Donald Morgan","VKC109"
