"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PSCI-557","Introduction to Tools and Techniques for Chemical Biology","","2.0 units","Lecture","49057D","005","TBA","TBA","50","0","0","","OFFICE"
"","","","","Discussion","49058D","005","TBA","TBA","50","0","0","","OFFICE"
"PSCI-590","Directed Research","","1.0-12.0 units","Lecture","49010D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-594a","Master's Thesis","","2.0 units","Lecture","49014D","005","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","49016D","005","TBA","TBA","25","0","0","","TBA"
"PSCI-594b","Master's Thesis","P","2.0 units","Lecture","49017D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-594z","Master's Thesis","P","0.0 units","Lecture","49018D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-633","Free Radical Chemistry, Biology, and Medicine","","4.0 units","Lecture","36378R","001","1:00-3:50pm","Thursday","15","0","0","Kelvin Davies","GER114"
"PSCI-655","Immunopharmaceutics","","2.0 units","Lecture","49028D","005","TBA","TBA","25","0","0","","TBA"
"PSCI-662","Advanced Pharmacokinetics/Pharmacodynamics","","2.0 units, max 4","Lecture","49062D","005","TBA","TBA","25","0","0","","TBA"
"PSCI-665","Drug Transport and Delivery","","4.0 units","Lecture","49060D","005","9:00-10:50am","Tue, Thu","30","0","0","","OFFICE"
"PSCI-667","Intracellular Drug Delivery and Targeting","","2.0 units","Lecture","49064D","005","TBA","TBA","20","0","0","","TBA"
"PSCI-756b","Seminar in Pharmaceutical Sciences","P","1.0 unit","Lecture","49070D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-790","Research","","1.0-12.0 units","Lecture","49078D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-794a","Doctoral Dissertation","","2.0 units","Lecture","49080D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-794b","Doctoral Dissertation","P","2.0 units","Lecture","49082D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-794c","Doctoral Dissertation","P","2.0 units","Lecture","49084D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-794d","Doctoral Dissertation","P","2.0 units","Lecture","49086D","005","TBA","TBA","25","0","0","","OFFICE"
"PSCI-794z","Doctoral Dissertation","PC","0.0 units","Lecture","49088D","005","TBA","TBA","25","0","0","","OFFICE"
