"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PSYC-100Lg","Introduction to Psychology","","4.0 units","Lecture","52410R","001","8:30-9:50am","Mon, Wed","200","0","0","Ann Renken","THH201"
"","","","","Lab","52412R","001","8:00-9:50am","Tuesday","25","0","0","","WPH B30"
"","","","","Lab","52413R","001","10:00-11:50am","Thursday","25","0","0","","THH B9"
"","","","","Lab","52414R","001","12:00-1:50pm","Monday","25","0","0","","WPH206"
"","","","","Lab","52415R","001","12:00-1:50pm","Wednesday","25","0","0","","WPH206"
"","","","","Lab","52416R","001","8:00-9:50am","Friday","25","0","0","","WPH206"
"","","","","Lab","52417R","001","2:00-3:50pm","Wednesday","25","0","0","","WPH B30"
"","","","","Lab","52418R","001","12:00-1:50pm","Tuesday","25","0","0","","WPH B30"
"","","","","Lab","52420R","001","10:00-11:50am","Tuesday","25","0","0","","THH B9"
"","","","","Lab","52421R","001","4:00-5:50pm","Monday","25","0","0","","WPH103"
"","","","","Lab","52422R","001","6:00-7:50pm","Monday","25","0","0","","WPH103"
"","","","","Lab","52423R","001","4:00-5:50pm","Friday","25","0","0","","WPH103"
"","","","","Lab","52424R","001","6:00-7:50pm","Wednesday","25","0","0","","WPH103"
"","","","","Lecture","52400R","001","2:00-3:20pm","Mon, Wed","200","0","0","Ann Renken","SGM123"
"","","","","Lab","52401R","001","8:00-9:50am","Monday","25","0","0","","WPH206"
"","","","","Lab","52402R","001","12:00-1:50pm","Thursday","25","0","0","","WPH B30"
"","","","","Lab","52403R","001","10:00-11:50am","Friday","25","0","0","","WPH206"
"","","","","Lab","52404R","001","2:00-3:50pm","Tuesday","25","0","0","","THH B9"
"","","","","Lab","52405R","001","12:00-1:50pm","Friday","25","0","0","","WPH206"
"","","","","Lab","52407R","001","10:00-11:50am","Monday","25","0","0","","WPH206"
"","","","","Lab","52408R","001","8:00-9:50am","Thursday","25","0","0","","WPH B30"
"","","","","Lab","52409R","001","10:00-11:50am","Wednesday","25","0","0","","WPH206"
"","","","","Lab","52425R","001","8:00-9:50am","Wednesday","25","0","0","","WPH206"
"","","","","Lab","52426R","001","8:00-9:50am","Friday","25","0","0","","WPH107"
"","","","","Lab","52427R","001","2:00-3:50pm","Thursday","25","0","0","","THH B9"
"","","","","Lab","52428R","001","4:00-5:50pm","Wednesday","25","0","0","","WPH103"
