"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PT-516","Principles of Disease","","2.0 units","Lecture","12506R","012","TBA","TBA","100","0","0","","TBA"
"PT-530a","Therapeutic Exercise","","2.0 units","Lecture","12596R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12597R","957","1:00-4:00pm","Wednesday","100","0","0","Liz Poppert",""
"PT-546","Neuropathology","P","3.0 units","Lecture","12520R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12521R","957","8:30-12:00pm","Thursday","100","0","0","Julie Hershberg",""
"PT-554L","Analytical Anatomy","P","3.0 units","Lecture-Lab","12528R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture-Lab","12529R","957","12:30-4:30pm","Monday","100","0","0","Kornelia Kulig",""
"PT-561b","Evidence for Physical Therapist Practice","P","2.0 units","Lecture","12590R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12591R","957","10:00-12:00pm","Wednesday","100","0","0","Julie Tilson",""
"PT-561d","Evidence for Physical Therapist Practice","P","2.0 units","Lecture","12592R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12593R","957","9:30-11:20am","Tuesday","100","0","0","Cheryl Resnik",""
"PT-566","Disorders of the Musculoskeletal System","","3.0 units","Lecture","12532R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12533R","957","8:00-9:50am","Mon, Wed","100","0","0","Susan Sigward",""
"PT-569","Fundamentals of Neuroscience","P","4.0 units","Lecture","12534R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12535R","957","1:00-3:00pm","Wednesday","100","0","0","Jason Kutch",""
"PT-574","Clinical Biomechanics","P","3.0 units","Lecture","12542R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12543R","957","2:00-5:00pm","Tuesday","100","0","0","Beth Fisher, Chris Powers",""
"PT-581L","Clinical Management of the Patient with Neurological Dysfunction","P","5.0 units","Lecture-Lab","12540R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture-Lab","12541R","957","12:30-5:00pm","Tuesday","100","0","0","Didi Matthews",""
"PT-583L","Clinical Electrophysiology","P","3.0 units","Lecture-Lab","12544R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture-Lab","12545R","957","8:00-9:20am","Tuesday","100","0","0","Lucinda Baker",""
"PT-600a","Clinical Clerkship","","1.0 unit","Lecture","12546R","012","TBA","TBA","100","0","0","","TBA"
"","","","","Lecture","12547R","957","TBA","TBA","100","0","0","Michael Simpson","OFFICE"
"PT-600b","Clinical Clerkship","","3.0 units","Lecture","12548D","012","TBA","TBA","100","0","0","","TBA"
"PT-600c","Clinical Clerkship","P","1.0 unit","Lecture","12550D","012","TBA","TBA","100","0","0","","OFFICE"
"PT-600d","Clinical Clerkship","","1.0 unit","Lecture","12551R","957","TBA","TBA","100","0","0","Michael Simpson","OFFICE"
"","","","","Lecture","12552R","012","TBA","TBA","100","0","0","","TBA"
"PT-600e","Clinical Clerkship","P","3.0 units","Lecture","12554D","012","TBA","TBA","100","0","0","","OFFICE"
"PT-600z","Clinical Clerkship","PMC","0.0 units","Lecture","12556D","012","TBA","TBA","5","0","0","","OFFICE"
"PT-621L","Clinical Management of the Patient with Musculoskeletal Dysfunction","P","5.0 units","Lecture-Lab","12561R","957","7:30-12:30pm","Tuesday","100","0","0","Stephen Reischl",""
"","","","","Lecture-Lab","12562R","012","TBA","TBA","100","0","0","","TBA"
"PT-630","Integrated Management of the Upper and Lower Extremities","P","3.0 units","Lecture","12580R","012","TBA","TBA","55","0","0","","TBA"
"","","","","Lecture","12581R","957","1:00-4:50pm","Tuesday","100","0","0","Jason Cozby",""
"PT-631","Integrated Management of the Axial Skeletal System and Related Movement Disorders","P","3.0 units","Lecture","12582R","012","TBA","TBA","55","0","0","","TBA"
"","","","","Lecture","12583R","957","1:00-4:50pm","Thursday","100","0","0","Mike Odonnell",""
"PT-632","Integrated Patient Management Seminar","P","5.0 units","Lecture","12584R","012","TBA","TBA","55","0","0","","TBA"
"","","","","Lecture","12585R","957","8:00-11:50am","Tue, Thu","100","0","0","Rob Landel",""
"PT-660","Advanced Clerkship with Academic Integration","P","5.0 units","Lecture","12586R","012","TBA","TBA","55","0","0","","TBA"
"PT-665","Advanced Clinical Clerkship","P","8.0 units","Lecture","12588R","012","TBA","TBA","55","0","0","","TBA"
"","","","","Lecture","12589R","964","TBA","TBA","55","0","0","","OFFICE"
