"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PTE-412x","Petroleum Reservoir Engineering","PM","3.0 units","Lecture","32200D","001","9:00-11:40am","Wednesday","76","0","0","Jincai Chang","OHE132"
"","","","","Lecture","32202D","014","9:00-11:40am","Wednesday","20","0","0","Jincai Chang","DEN@Viterbi"
"PTE-464L","Petroleum Reservoir Engineering","P","3.0 units","Lecture","32206D","001","3:30-6:10pm","Wednesday","35","0","0","Jincai Chang","KAP158"
"","","","","Lab","32210D","001","TBA","TBA","30","0","0","Jincai Chang","OFFICE"
"PTE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","32211D","001","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-508","Numerical Simulation of Subsurface Flow and Transport Processes","","3.0 units","Lecture","32222D","034","2:00-4:40pm","Thursday","20","1","0","Jincai Chang","DEN@Viterbi"
"","","","","Lecture","32220D","048","2:00-4:40pm","Thursday","76","0","0","Jincai Chang","OHE136"
"PTE-511","Advanced Phase Behavior of Petroleum Reservoir Fluids","C","3.0 units","Lecture","32207D","048","9:00-11:40am","Monday","40","0","0","Kristian Jessen","OHE132"
"","","","","Lecture","32208D","034","9:00-11:40am","Monday","20","1","0","Kristian Jessen","DEN@Viterbi"
"PTE-517","Testing of Wells and Aquifers","P","3.0 units","Lecture","32224D","048","11:00-1:40pm","Tuesday","86","0","0","Iraj Ershaghi","OHE122"
"","","","","Lecture","32225D","034","11:00-1:40pm","Tuesday","20","0","0","Iraj Ershaghi","DEN@Viterbi"
"PTE-545","Corrosion Control in Petroleum Production","P","2.0 units","Lecture","32230D","048","2:00-3:40pm","Tuesday","40","0","0","George Chilingar","OHE100C"
"","","","","Lecture","32232D","034","2:00-3:40pm","Tuesday","25","1","0","George Chilingar","DEN@Viterbi"
"PTE-572","Geostatistics","C","3.0 units","Lecture","32280D","048","9:00-11:40am","Friday","40","0","0","Behnam Jafarpour","OHE100B"
"","","","","Lecture","32299D","034","9:00-11:40am","Friday","15","0","0","Behnam Jafarpour","DEN@Viterbi"
"PTE-578","Advanced Production Engineering","","2.0 units","Lecture","32203D","048","6:40-9:20pm","Wednesday","75","0","0","","OHE122"
"","","","","Lecture","32204D","034","6:40-9:20pm","Wednesday","20","0","0","","DEN@Viterbi"
"PTE-589","Advanced Oilfield Operations with Remote Immersive Visualization and Control","C","3.0 units","Lecture","32283D","048","11:00-1:40pm","Thursday","50","1","0","Fred Aminzadeh",""
"","","","","Lecture","32284D","034","11:00-1:40pm","Thursday","20","0","0","Fred Aminzadeh","DEN@Viterbi"
"PTE-590","Directed Research","","1.0-12.0 units","Lecture","32240D","048","TBA","TBA","20","0","0","Iraj Ershaghi","OFFICE"
"PTE-594a","Master's Thesis","C","2.0 units","Lecture","32242D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-594b","Master's Thesis","PC","2.0 units","Lecture","32244D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-594z","Master's Thesis","PC","0.0 units","Lecture","32246D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-690","Directed Research","","1.0-4.0 units, max 8","Lecture","32250D","048","TBA","TBA","15","0","0","","OFFICE"
"PTE-790","Research","","1.0-12.0 units","Lecture","32260D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-794a","Doctoral Dissertation","","2.0 units","Lecture","32262D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32264D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32266D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32268D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
"PTE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32270D","048","TBA","TBA","15","0","0","Iraj Ershaghi","OFFICE"
