"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"PUBD-512","Cultural Diplomacy","","4.0 units","Lecture","52812D","001","2:00-4:50pm","Tuesday","20","5","0","Nick Cull","ASC328"
"PUBD-520","Regional Studies in Public Diplomacy","","4.0 units, max 16"
"","East Asia","","4.0","Lecture","52822D","001","6:30-9:20pm","Tuesday","16","6","0","Jay Wang","ASC G38"
"PUBD-522","Hard Power, Soft Power and Smart Power","","4.0 units","Lecture","52830D","001","9:30-12:20pm","Tuesday","16","0","0","Carol Atkinson","ANN408"
"PUBD-524","The Public Diplomacy of Trade","","4.0 units","Lecture","52835D","001","9:00-11:50am","Thursday","18","4","0","Pamela Starr","ASC230"
"PUBD-526","Public Diplomacy Evaluation","","4.0 units","Lecture","52840D","001","2:00-4:50pm","Thursday","18","3","0","Robert Banks","ANN210"
"PUBD-590","Directed Research","","1.0-12.0 units","Lecture","52887D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52888D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","52889D","001","TBA","TBA","10","0","0","","OFFICE"
"PUBD-596","Practicum in Public Diplomacy Research","","4.0 units","Lecture","52890D","001","TBA","TBA","30","6","0","Nick Cull","OFFICE"
"PUBD-599","Special Topics","","2.0-4.0 units, max 8"
"","Public Diplomacy in Los Angeles","","4.0","Lecture","52895D","001","2:00-4:50pm","Wednesday","18","8","0","Robert Banks","ANN210"
