"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ARCH-213bg","Building Structures and Seismic Design","P","3.0 units","Lecture","11244D","001","12:30-1:50pm","Tue, Thu","130","0","0","G Schierle","HAR101"
"","","","","Lab","11246R","001","3:30-4:20pm","Thursday","29","0","0","G Schierle","VKC207"
"","","","","Lab","11248R","001","3:30-4:20pm","Thursday","29","0","0","G Schierle","VKC151"
"","","","","Lab","11250R","001","3:30-4:20pm","Thursday","29","0","0","G Schierle","VKC260"
"","","","","Lab","11254R","001","3:30-4:20pm","Thursday","28","0","0","G Schierle","VKC252"
"BUAD-310g","Applied Business Statistics","C","4.0 units","Lecture","14882R","001","2:00-3:10pm","Mon, Wed","120","0","0","","HOH EDI"
"","","","","Discussion","14883R","001","6:00-7:10pm","Wednesday","20","0","0","","HOH303"
"","","","","Discussion","14884R","001","7:20-8:30pm","Wednesday","20","0","0","","HOH303"
"","","","","Discussion","14885R","001","8:40-9:50pm","Wednesday","20","0","0","","HOH303"
"","","","","Discussion","14886R","001","8:30-9:40am","Friday","20","0","0","","HOH303"
"","","","","Discussion","14887R","001","12:00-1:10pm","Friday","20","0","0","","HOH302"
"","","","","Discussion","14888R","001","2:00-3:10pm","Friday","30","0","0","","HOH302"
"","","","","Lecture","14889R","001","3:20-4:30pm","Mon, Wed","120","0","0","","HOH EDI"
"","","","","Discussion","14890R","001","6:00-7:10pm","Thursday","20","0","0","","HOH301"
"","","","","Discussion","14891R","001","7:20-8:30pm","Thursday","20","0","0","","HOH301"
"","","","","Discussion","14892R","001","8:40-9:50pm","Thursday","20","0","0","","HOH301"
"","","","","Discussion","14893R","001","10:00-11:10am","Friday","20","0","0","","HOH303"
"","","","","Discussion","14894R","001","3:20-4:30pm","Friday","20","0","0","","HOH303"
"","","","","Discussion","14895R","001","2:00-3:10pm","Friday","20","0","0","","HOH306"
"","","","","Lecture","14896R","001","4:40-5:50pm","Mon, Wed","120","0","0","","HOH EDI"
"","","","","Discussion","14897R","001","6:00-7:10pm","Wednesday","20","0","0","","HOH421"
"","","","","Discussion","14898R","001","7:20-8:30pm","Wednesday","20","0","0","","HOH421"
"","","","","Discussion","14899R","001","8:40-9:50pm","Wednesday","20","0","0","","HOH421"
"","","","","Discussion","14916R","001","10:00-11:10am","Friday","20","0","0","","HOH422"
"","","","","Discussion","14917R","001","3:20-4:30pm","Friday","20","0","0","","HOH422"
"","","","","Discussion","14918R","001","2:00-3:10pm","Friday","20","0","0","","HOH422"
"","","","","Lecture","14919R","001","6:00-7:10pm","Mon, Wed","100","0","0","","HOH EDI"
"","","","","Discussion","14920R","001","6:00-7:10pm","Thursday","20","0","0","","HOH304"
"","","","","Discussion","14921R","001","7:20-8:30pm","Thursday","20","0","0","","HOH304"
"","","","","Discussion","14922R","001","8:40-9:50pm","Thursday","20","0","0","","HOH304"
"","","","","Discussion","14924R","001","12:00-1:10pm","Friday","20","0","0","","ACC303"
"","","","","Discussion","14925R","001","2:00-3:10pm","Friday","20","0","0","","ACC303"
"ECON-203g","Principles of Microeconomics","","4.0 units","Lecture","26000R","001","3:30-4:45pm","Tue, Thu","100","0","0","Rahul Giri","THH102"
"","","","","Discussion","26004R","001","11:00-11:50am","Friday","25","0","0","","VKC201"
"","","","","Discussion","26006R","001","12:00-12:50pm","Friday","25","0","0","","VKC201"
"","","","","Discussion","26010R","001","6:00-6:50pm","Monday","25","0","0","","THH110"
"","","","","Discussion","26012R","001","6:00-6:50pm","Wednesday","25","0","0","","THH110"
"","","","","Lecture","26001R","001","2:00-3:15pm","Tue, Thu","100","0","0","Lodovico Pizzati","THH102"
"","","","","Discussion","26014R","001","10:00-10:50am","Friday","25","0","0","","THH B10"
"","","","","Discussion","26016R","001","11:00-11:50am","Friday","25","0","0","","THH B10"
"","","","","Discussion","26024R","001","6:00-6:50pm","Tuesday","25","0","0","","THH110"
"","","","","Discussion","26026R","001","6:00-6:50pm","Thursday","25","0","0","","THH110"
"ECON-205g","Principles of Macroeconomics","","4.0 units","Lecture","26044R","001","2:00-3:15pm","Mon, Wed","100","0","0","Rahul Giri","SLH100"
"","","","","Discussion","26050R","001","12:00-12:50pm","Friday","25","0","0","","THH B10"
"","","","","Discussion","26052R","001","1:00-1:50pm","Friday","25","0","0","","THH B10"
"","","","","Discussion","26054R","001","6:00-6:50pm","Monday","25","0","0","","THH112"
"","","","","Discussion","26056R","001","6:00-6:50pm","Wednesday","25","0","0","","THH112"
"","","","","Lecture","26062R","001","12:30-1:45pm","Tue, Thu","49","0","0","Rubina Verma","GFS207"
"","","","","Discussion","26074R","001","11:00-11:50am","Friday","24","0","0","","THH108"
"","","","","Discussion","26080R","001","6:00-6:50pm","Tuesday","25","0","0","","GFS107"
"GESM-160g","Seminar in Quantitative Reasoning","C","4.0 units"
"","Elementary Mathematics for Teaching","","4.0","Lecture","35483R","001","9:30-10:50am","Tue, Thu","2","0","0","Cymra Haskell","LVL3V"
"","Science as Dectective Work","","4.0","Lecture","35486R","001","2:00-3:20pm","Mon, Wed","2","0","0","Deborah Natoli","LVL3V"
"","Numbers and Narrative in Community","","4.0","Lecture","35487R","001","2:00-3:20pm","Tue, Thu","2","0","0","Lavonna Lewis","LVL3V"
"","Technologies that Change the World","","4.0","Lecture","35489R","001","3:30-4:50pm","Tue, Thu","2","0","0","Michelle Povinelli","LVL3V"
"","Mind, Belief and Behavior: Learning about Learning","","4.0","Lecture","35491R","001","2:00-3:20pm","Tue, Thu","2","0","0","Patricia Tobey","OFFICE"
"HIST-393g","Quantitative Historical Analysis","","4.0 units","Lecture","37094R","001","11:00-11:50am","MWF","15","0","0","Lon Kurashige","VKC104"
"HP-340Lg","Health Behavior Statistical Methods","","4.0 units","Lecture-Lab","40567D","001","3:30-4:50pm","Tue, Thu","50","0","0","","VKC102"
"","","","","Lecture-Lab","40574R","001","3:30-4:50pm","Tue, Thu","117","1","0","Juan Lewinger","ZHS159"
"IR-211g","International Relations: Approaches to Research","","4.0 units","Lecture","37733R","001","11:00-11:50am","MWF","50","0","0","Evis Mezini","LVL16"
"","","","","Discussion","37734R","001","10:00-10:50am","Tuesday","25","0","0","","VKC157"
"","","","","Discussion","37735R","001","10:00-10:50am","Thursday","25","0","0","","VKC157"
"LING-210g","Introduction to Linguistics","","4.0 units","Lecture","38818R","001","9:30-10:50am","Tue, Thu","50","0","0","Sandra Disner","GFS118"
"","","","","Discussion","38904R","001","8:30-9:20am","Wednesday","25","0","0","","VKC105"
"","","","","Discussion","38905R","001","10:00-10:50am","Wednesday","25","0","0","","KAP164"
"LING-325g","Language and Number","","4.0 units","Lecture","38834R","001","8:30-9:50am","Mon, Wed","50","0","0","Roumyana Pancheva","GFS118"
"","","","","Discussion","38988R","001","9:00-9:50am","Tuesday","25","0","0","","GFS229"
"","","","","Discussion","38989R","001","10:00-10:50am","Tuesday","25","0","0","","GFS229"
"LING-385Lg","Human Language as Computation","","4.0 units","Lecture","38828R","001","3:30-4:50pm","Tue, Thu","120","0","0","Khalil Iskarous","GFS106"
"","","","","Lab","38840R","001","8:30-9:50am","Monday","20","0","0","","GFS221"
"","","","","Lab","38841R","001","8:30-9:50am","Wednesday","20","0","0","","GFS221"
"","","","","Lab","38842R","001","10:00-11:50am","Monday","20","0","0","","GFS221"
"","","","","Lab","38926R","001","12:00-1:50pm","Friday","20","0","0","","GFS107"
"","","","","Lab","38952R","001","10:00-11:50am","Wednesday","20","0","0","","GFS221"
"","","","","Lab","38954R","001","10:00-11:50am","Friday","20","0","0","","GFS107"
"MATH-108g","Contemporary Precalculus","P","4.0 units","Lecture","39400R","001","9:00-9:50am","MWF","49","0","0","Cindy Blois","SOS B44"
"","","","","Discussion","39401R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS108"
"","","","","Discussion","39402R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS108"
"MATH-114xg","Foundations of Statistics","","4.0 units","Lecture","39981R","001","9:00-9:50am","MWF","49","0","0","Paul Tokorcheck","VKC152"
"","","","","Discussion","39982R","001","8:00-8:50am","Tue, Thu","25","0","0","","GFS109"
"","","","","Discussion","39983R","001","9:00-9:50am","Tue, Thu","24","0","0","","GFS109"
"","","","","Lecture","39985R","001","10:00-10:50am","MWF","49","0","0","Guillaume Dreyer","SOS B44"
"","","","","Discussion","39986R","001","10:00-10:50am","Tue, Thu","25","0","0","","GFS108"
"","","","","Discussion","39987R","001","11:00-11:50am","Tue, Thu","24","0","0","","GFS108"
"","","","","Lecture","39989R","001","1:00-1:50pm","MWF","49","0","0","Guillaume Dreyer","MHP105"
