"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"RED-510","Real Estate Practice and Principles","","4.0 units","Lecture","51622R","038","8:00-9:50am","Mon, Wed","30","19","0","Mark Ruff",""
"RED-511","Foundations of Real Estate Analysis","P","4.0 units","Lecture","51623R","038","10:00-11:50am","Mon, Wed","30","2","0","John Loper",""
"RED-512","Real Estate Project Analysis","P","4.0 units","Lecture","51621D","038","6:00-9:30pm","Monday","30","0","0","Terri Dickerhoff","VKC260"
"RED-545","Advanced Real Estate and Financial Modeling","P","2.0 units","Lecture","51600D","038","TBA","TBA","20","0","0","Ehud Mouchly","OFFICE"
"RED-546","Applications of Real Estate Finance to Problems of Development","P","3.0 units","Lecture","51601D","038","6:00-8:50pm","Tuesday","15","0","0","Christian Redfearn, John Menne","VKC207"
"","","","","Lecture","51620D","038","2:00-4:50pm","Thursday","25","0","0","Christian Redfearn, John Menne",""
"","","","","Lab","51602R","038","2:00-3:50pm","Tuesday","15","0","0","Iain Gulin",""
"","","","","Lab","51603R","038","4:00-5:50pm","Tuesday","15","0","0","Iain Gulin",""
"RED-562","Legal Issues in Real Estate Development","","4.0 units","Lecture","51605D","038","6:00-9:50pm","Wednesday","15","0","0","Kerry Fields","VKC206"
"RED-575L","Community Design and Site Planning","","2.0-4.0 units, max 8","Lecture","51607D","038","2:00-5:50pm","Monday","15","0","0","Carl Meyer, Steven Kellenberg, Kenneth Long",""
"","","","","Lecture","51608D","038","4:00-7:50pm","Monday","15","0","0","Carl Meyer, Steven Kellenberg, Kenneth Long","WPH106"
"","","","","Lecture","51609D","038","6:00-9:50pm","Monday","15","0","0","Carl Meyer, Steven Kellenberg, Kenneth Long","VKC261"
"","","","","Lab","51610R","038","TBA","TBA","50","0","0","Carl Meyer","OFFICE"
"RED-590","Directed Research","","1.0-12.0 units","Lecture","51612D","038","TBA","TBA","10","0","0","","OFFICE"
"RED-598","Real Estate Product Development","","2.0-4.0 units, max 12","Lecture","51616D","038","12:00-1:50pm","Monday","20","0","0","Mott Smith","VKC151"
"","","","","Lecture","51617D","038","9:00-10:50am","Monday","20","0","0","John Drachman",""
"","","","","Lecture","51618D","038","6:00-7:50pm","Tuesday","20","0","0","Christopher Payne","VKC156"
"","","","","Lecture","51619D","038","6:00-9:30pm","Thursday","20","0","0","Bruce Baltin, David Brown","THH208"
"","","","","Lecture","51627D","038","6:00-7:50pm","Thursday","20","0","0","Jeffrey Kreshek","VKC156"
