"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"REL-114g","The Mediterranean: A Religious History","","4.0 units","Lecture","60075R","001","2:00-3:20pm","Tue, Thu","250","0","0","Jessica Marglin, Cavan Concannon</a>","SGM124"
"","","","","Discussion","60076R","001","11:00-11:50am","Monday","25","0","0","","THH215"
"","","","","Discussion","60077R","001","10:00-10:50am","Monday","25","0","0","","THH215"
"","","","","Discussion","60078R","001","10:00-10:50am","Tuesday","25","0","0","","THH121"
"","","","","Discussion","60079R","001","1:00-1:50pm","Tuesday","25","0","0","","WPH103"
"","","","","Discussion","60082R","001","10:00-10:50am","Wednesday","25","0","0","","THH215"
"","","","","Discussion","60083R","001","11:00-11:50am","Wednesday","25","0","0","","THH215"
"","","","","Discussion","60084R","001","12:00-12:50pm","Tuesday","25","0","0","","SOS B47"
"","","","","Discussion","60085R","001","12:00-12:50pm","Thursday","25","0","0","","SOS B47"
"","","","","Discussion","60087R","001","10:00-10:50am","Thursday","25","0","0","","THH121"
"","","","","Discussion","60088R","001","1:00-1:50pm","Thursday","25","0","0","","WPH103"
"REL-125g","Introduction to Christianity","","4.0 units","Lecture","60042R","001","12:30-1:50pm","Tue, Thu","100","0","0","","MRF340"
"","","","","Discussion","60043R","001","11:00-11:50am","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","60044R","001","10:00-10:50am","Tuesday","25","0","0","","SOS B37"
"","","","","Discussion","60045R","001","10:00-10:50am","Thursday","25","0","0","","SOS B37"
"","","","","Discussion","60046R","001","11:00-11:50am","Thursday","25","0","0","","WPH B30"
"REL-134xg","Introduction to Buddhism","","4.0 units","Lecture","60030R","001","11:00-12:20pm","Tue, Thu","150","2","0","Rongdao Lai","SGM101"
"","","","","Discussion","60031R","001","12:00-12:50pm","Monday","25","1","0","","THH215"
"","","","","Discussion","60032R","001","12:00-12:50pm","Wednesday","25","0","0","","THH215"
"","","","","Discussion","60033R","001","10:00-10:50am","Friday","25","0","0","","THH215"
"","","","","Discussion","60034R","001","11:00-11:50am","Friday","25","0","0","","THH215"
"","","","","Discussion","60035R","001","1:00-1:50pm","Monday","25","1","0","","THH215"
"","","","","Discussion","60036R","001","1:00-1:50pm","Wednesday","25","0","0","","THH215"
"REL-317g","The Bible in Its Ancient Context","","4.0 units","Lecture","60059R","001","2:00-3:20pm","Mon, Wed","49","0","0","Bruce Zuckerman","WPH B28"
"","","","","Discussion","60061R","001","1:00-1:50pm","Monday","25","0","0","","SOS B47"
"","","","","Discussion","60062R","001","1:00-1:50pm","Wednesday","25","0","0","","SOS B47"
"REL-326gp","The Historical Jesus","","4.0 units","Lecture","60080R","001","9:30-10:50am","Tue, Thu","100","0","0","Cavan Concannon","SGM101"
"","","","","Discussion","60124R","001","11:00-11:50am","Tuesday","25","0","0","","SOS B37"
"","","","","Discussion","60125R","001","11:00-11:50am","Thursday","25","0","0","","SOS B37"
"","","","","Discussion","60126R","001","12:00-12:50pm","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","60127R","001","12:00-12:50pm","Thursday","25","0","0","","THH B10"
"REL-337m","Islam in Black America: From Slavery to Hip Hop","","4.0 units","Lecture","10417R","001","12:30-1:50pm","Tue, Thu","30","0","0","Sherman Jackson","THH108"
"REL-339","Studies in the History of Christianity","","4.0 units","Lecture","60072R","001","2:00-4:50pm","Tuesday","19","0","0","Sheila Briggs","THH207"
"REL-376g","Religion and Human Rights","","4.0 units","Lecture","60092R","001","11:00-12:20pm","Tue, Thu","19","0","0","Lyn Boyd-Judson","WPH203"
"REL-401","Seminar in Religious Studies","","4.0 units","Lecture","60100R","001","3:30-6:20pm","Thursday","19","0","0","Jessica Marglin","VHE214"
"REL-415","Seminar in Buddhism","","4.0 units","Lecture","60102R","001","2:00-3:20pm","Tue, Thu","19","0","0","","VHE210"
"REL-426","Religion, Media and Hollywood: Faith in TV","","4.0 units","Lecture","20640R","001","2:00-4:50pm","Thursday","15","1","0","Diane Winston","ANN408"
"REL-468","Sociology of Religion","","4.0 units","Lecture","60123R","001","9:30-10:50am","Tue, Thu","19","0","0","Paul Lichterman","THH209"
"REL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","60150D","001","TBA","TBA","15","0","0","Lori Meeks","OFFICE"
"","","","","Lecture","60151D","001","TBA","TBA","15","0","0","Lori Meeks","OFFICE"
"REL-491x","Undergraduate Honors Research","MC","4.0 units","Lecture","60155D","001","TBA","TBA","19","0","0","Lori Meeks","OFFICE"
"REL-590","Directed Research","","1.0-12.0 units","Lecture","60160D","001","TBA","TBA","20","0","0","Lori Meeks","OFFICE"
"REL-625","Advanced Graduate Seminar in Global Islam","","4.0 units","Lecture","60171D","001","3:00-5:50pm","Thursday","10","0","0","Sherman Jackson","WPH200"
"REL-655","Readings in Japanese Religious Texts","","4.0 units","Lecture","60174D","001","2:00-4:50pm","Monday","10","0","0","Lori Meeks","WPH603"
