"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SAE-541","Systems Engineering Theory and Practice","","3.0 units","Lecture","32301D","034","3:00-5:50pm","Friday","25","2","0","Robert Minnichelli","DEN@Viterbi"
"","","","","Lecture","32331D","048","3:00-5:50pm","Friday","10","1","0","Robert Minnichelli","OHE136"
"SAE-542","Advanced Topics in Systems Engineering","","3.0 units","Lecture","32312D","034","6:40-9:20pm","Wednesday","20","2","0","George Friedman","DEN@Viterbi"
"","","","","Lecture","32342D","048","6:40-9:20pm","Wednesday","10","0","0","George Friedman","RTH109"
"SAE-548","Systems/System-of-Systems Integration and Communication","","3.0 units","Lecture","32315D","034","6:40-9:20pm","Wednesday","25","0","0","Michael Sievers","DEN@Viterbi"
"","","","","Lecture","32348D","048","6:40-9:20pm","Wednesday","10","2","0","Michael Sievers","OHE100C"
"SAE-549","Systems Architecting","","3.0 units","Lecture","32319D","034","3:30-6:20pm","Monday","20","1","0","Azad Madni","DEN@Viterbi"
"","","","","Lecture","32349D","048","3:30-6:20pm","Monday","15","2","0","Azad Madni","OHE120"
"SAE-550","Systems Architecting and the Political Process","","3.0 units","Lecture","32320D","034","6:40-9:20pm","Monday","25","0","0","Elliot Axelband","DEN@Viterbi"
"","","","","Lecture","32350D","048","6:40-9:20pm","Monday","10","0","0","Elliot Axelband","RTH105"
"SAE-551","Lean Operations","","3.0 units","Lecture","32321D","034","5:10-7:50pm","Friday","15","1","0","Theodore Mayeshiba","DEN@Viterbi"
"","","","","Lecture","32351D","048","5:10-7:50pm","Friday","25","1","0","Theodore Mayeshiba","OHE100B"
"SAE-560","Economic Considerations for Systems Engineering","","3.0 units","Lecture","32330D","034","6:40-9:20pm","Monday","25","1","0","Jairus Hihn","DEN@Viterbi"
"","","","","Lecture","32360D","048","6:40-9:20pm","Monday","10","0","0","Jairus Hihn","OHE120"
"SAE-590","Directed Research","","1.0-12.0 units","Lecture","32390D","048","TBA","TBA","5","0","0","","OFFICE"
"SAE-594a","Master's Thesis","","2.0 units","Lecture","32391D","048","TBA","TBA","5","0","0","","OFFICE"
"SAE-594b","Master's Thesis","P","2.0 units","Lecture","32392D","048","TBA","TBA","5","0","0","","OFFICE"
"SAE-594z","Master's Thesis","P","0.0 units","Lecture","32393D","048","TBA","TBA","5","0","0","","OFFICE"
"SAE-599","Special Topics","","2.0-4.0 units, max 8"
"","Engineered Resilient Systems and System-of-Systems","","3.0","Lecture","32302D","048","6:40-9:20pm","Monday","10","0","0","Azad Madni","OHE120"
"","Engineered Resilient Systems and System-of-Systems","","3.0","Lecture","32303D","034","6:40-9:20pm","Monday","20","0","0","Azad Madni","DEN@Viterbi"
