"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101gmw","Race and Class in Los Angeles","","4.0 units","Discussion","10319R","001","4:00-4:50pm","Monday","25","0","0","","VKC257"
"","","","","Lecture","10310R","001","11:00-12:20pm","Tue, Thu","7","1","0","Alicia Chavez","GFS106"
"","","","","Discussion","10311R","001","10:00-10:50am","Friday","25","0","0","","KAP141"
"","","","","Discussion","10312R","001","11:00-11:50am","Friday","26","0","0","","KAP141"
"","","","","Discussion","10313R","001","9:00-9:50am","Tuesday","25","0","0","","VKC151"
"","","","","Discussion","10314R","001","9:00-9:50am","Thursday","25","1","0","","VKC151"
"","","","","Discussion","10315R","001","1:00-1:50pm","Monday","25","0","0","","THH112"
"AMST-111g","Sex in America","","4.0 units","Lecture","10329R","001","2:00-3:20pm","Mon, Wed","200","0","0","Jack Halberstam","SGM124"
"","","","","Discussion","10330R","001","9:00-9:50am","Wednesday","25","0","0","","KAP165"
"","","","","Discussion","10331R","001","9:00-9:50am","Friday","25","0","0","","KAP140"
"","","","","Discussion","10332R","001","10:00-10:50am","Friday","25","0","0","","KAP167"
"","","","","Discussion","10333R","001","11:00-11:50am","Friday","25","0","0","","KAP167"
"","","","","Discussion","10334R","001","3:30-4:20pm","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","10335R","001","4:30-5:20pm","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","10336R","001","10:00-10:50am","Thursday","25","0","0","","WPH106"
"","","","","Discussion","10337R","001","9:00-9:50am","Thursday","26","0","0","","SOS B37"
"AMST-135gmw","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320R","001","2:00-3:20pm","Mon, Wed","7","3","0","MacArena Gomez Barris","THH101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","10322R","001","11:00-11:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","10323R","001","9:00-9:50am","Wednesday","27","1","0","","THH B10"
"","","","","Discussion","10324R","001","9:00-9:50am","Monday","26","0","0","","THH B10"
"","","","","Discussion","10325R","001","1:00-1:50pm","Wednesday","25","1","0","","SOS B37"
"","","","","Discussion","10326R","001","1:00-1:50pm","Friday","25","0","0","","SOS B37"
"","","","","Discussion","10327R","001","1:00-1:50pm","Monday","25","1","0","","SOS B37"
"","","","","Discussion","10328R","001","9:00-9:50am","Thursday","25","0","0","","WPH106"
"AMST-200gm","Introduction to American Studies and Ethnicity","","4.0 units","Lecture","10347R","001","12:30-1:50pm","Tue, Thu","50","0","0","Chrisshonna Nieva","THH116"
"AMST-250gmw","The African Diaspora","","4.0 units","Lecture","10372R","001","12:30-1:50pm","Tue, Thu","7","1","0","","SGM101"
"","","","","Discussion","10373R","001","10:00-10:50am","Friday","24","0","0","","VKC258"
"","","","","Discussion","10375R","001","11:00-11:50am","Friday","25","0","0","","VKC258"
"","","","","Discussion","10376R","001","12:00-12:50pm","Wednesday","25","1","0","","THH B10"
"","","","","Discussion","10377D","001","12:00-12:50pm","Monday","25","0","0","","THH B10"
"","","","","Discussion","10378D","001","1:00-1:50pm","Monday","25","0","0","","THH B10"
"","","","","Discussion","10380R","001","1:00-1:50pm","Wednesday","25","0","0","","THH B10"
"AMST-274gmw","Exploring Ethnicity Through Film","","4.0 units","Lecture","10390R","001","11:00-12:20pm","Tue, Thu","5","1","0","Kara Keeling","THH202"
"","","","","Discussion","10391R","001","10:00-10:50am","Friday","25","0","0","","VKC252"
"","","","","Discussion","10392R","001","11:00-11:50am","Friday","25","0","0","","VKC252"
"","","","","Discussion","10395R","001","9:00-9:50am","Tuesday","25","0","0","","SOS B37"
"","","","","Discussion","10396R","001","1:00-1:50pm","Thursday","25","1","0","","THH B9"
"ANTH-101g","Illness and Healing: The Cross-Cultural Perspective","","4.0 units","Lecture","10601R","001","10:00-11:50am","Mon, Wed","50","0","0","Erin Moore",""
"","","","","Discussion","10702R","001","12:00-12:50pm","Wednesday","25","0","0","","VKC200"
"","","","","Discussion","10703R","001","1:00-1:50pm","Wednesday","25","0","0","","VKC151"
"ANTH-263g","Exploring Culture Through Film","","4.0 units","Lecture","10710R","001","4:00-5:20pm","Tue, Thu","100","0","0","Andrei Simic","SLH200"
"","","","","Discussion","10711R","001","10:00-10:50am","Tuesday","25","0","0","","VKC207"
"","","","","Discussion","10712R","001","1:00-1:50pm","Tuesday","25","0","0","","VKC252"
"","","","","Discussion","10713R","001","10:00-10:50am","Thursday","25","0","0","","GFS229"
"","","","","Discussion","10714R","001","1:00-1:50pm","Thursday","25","0","0","","VKC252"
"","","","","Lecture","10603R","001","2:00-3:20pm","Tue, Thu","100","6","0","Andrei Simic","GFS106"
"","","","","Discussion","10604R","001","11:00-11:50am","Tuesday","25","1","0","","KAP145"
"","","","","Discussion","10605R","001","12:00-12:50pm","Tuesday","25","0","0","","KAP145"
"","","","","Discussion","10606R","001","11:00-11:50am","Thursday","25","4","0","","KAP145"
"","","","","Discussion","10607R","001","12:00-12:50pm","Thursday","25","1","0","","KAP145"
"","","","","Lecture","10608R","001","8:00-9:20am","Mon, Wed","100","0","0","Jennifer Cool","GFS106"
"","","","","Discussion","10609R","001","9:00-9:50am","Friday","25","0","0","","GFS108"
"","","","","Discussion","10610R","001","10:00-10:50am","Friday","25","0","0","","GFS220"
"","","","","Discussion","10611R","001","12:00-12:50pm","Friday","25","0","0","","KAP113"
"","","","","Discussion","10612R","001","11:00-11:50am","Friday","25","0","0","","KAP113"
"ANTH-315g","North American Indians","","4.0 units","Lecture","10618R","001","12:30-1:50pm","Tue, Thu","100","3","0","Tok Thompson","THH102"
"","","","","Discussion","10619R","001","8:00-8:50am","Wednesday","25","0","0","","KAP145"
"","","","","Discussion","10620R","001","10:00-10:50am","Wednesday","25","1","0","","KAP167"
"","","","","Discussion","10621R","001","9:00-9:50am","Wednesday","25","1","0","","KAP145"
"","","","","Discussion","10622R","001","11:00-11:50am","Wednesday","25","1","0","","KAP167"
"ANTH-371gm","Cross-Cultural Research on Urban Gangs","","4.0 units","Lecture","10633R","001","11:00-12:20pm","Tue, Thu","49","0","0","Thomas Ward","LVL16"
"","","","","Lecture","10634R","001","2:00-3:20pm","Tue, Thu","25","0","0","Thomas Ward","GFS104"
"","","","","Lecture","10635R","001","3:30-4:50pm","Tue, Thu","25","0","0","Thomas Ward","THH215"
"EASC-150gp","East Asian Societies","","4.0 units","Lecture","25800R","001","2:00-3:20pm","Tue, Thu","200","0","0","",""
"","","","","Discussion","25802R","001","10:00-10:50am","Monday","25","0","0","",""
"","","","","Discussion","25806R","001","10:00-10:50am","Wednesday","25","0","0","",""
"","","","","Discussion","25812R","001","11:00-11:50am","Thursday","25","0","0","",""
"","","","","Discussion","25814R","001","1:00-1:50pm","Monday","25","0","0","",""
"","","","","Discussion","25816R","001","12:00-12:50pm","Friday","26","0","0","",""
"","","","","Discussion","25818R","001","1:00-1:50pm","Wednesday","25","0","0","",""
"","","","","Discussion","25820R","001","9:00-9:50am","Thursday","25","0","0","",""
"","","","","Discussion","25824R","001","11:00-11:50am","Friday","25","0","0","",""
"EASC-160gmp","China and the World","","4.0 units","Lecture","25833R","001","2:00-3:20pm","Tue, Thu","200","3","0","Brett Sheehan","THH201"
"","","","","Discussion","25819R","001","9:00-9:50am","Tuesday","25","0","0","","THH B9"
"","","","","Discussion","25823R","001","9:00-9:50am","Thursday","25","0","0","","THH B9"
"","","","","Discussion","25834R","001","10:00-10:50am","Monday","25","0","0","","VKC155"
"","","","","Discussion","25835R","001","1:00-1:50pm","Monday","25","1","0","","VKC155"
"","","","","Discussion","25836R","001","10:00-10:50am","Wednesday","25","0","0","","VKC155"
"","","","","Discussion","25837R","001","1:00-1:50pm","Wednesday","25","1","0","","VKC155"
"","","","","Discussion","25838R","001","11:00-11:50am","Friday","25","1","0","","VKC207"
"","","","","Discussion","25839R","001","12:00-12:50pm","Friday","25","0","0","","VKC207"
"ENST-100g","Introduction to Environmental Studies","","4.0 units","Lecture","33000R","001","9:30-10:50am","Tue, Thu","30","0","0","Lisa Collins","WPH205"
"","","","","Lecture","33001R","001","8:00-9:00am","MWF","30","0","0","Monalisa Chatterjee","WPH203"
"ENST-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","10:00-10:50am","MWF","100","0","0","Ekaterina Svyatets, David Ginsburg</a>","SGM101"
"","","","","Discussion","33006R","001","3:00-3:50pm","Monday","25","0","0","Monalisa Chatterjee","VKC109"
"","","","","Discussion","33007R","001","12:00-12:50pm","Tuesday","25","0","0","Monalisa Chatterjee","WPH106"
"","","","","Discussion","33008R","001","3:00-3:50pm","Wednesday","25","0","0","Monalisa Chatterjee","THH110"
"","","","","Discussion","33009R","001","12:00-12:50pm","Thursday","25","0","0","Monalisa Chatterjee","WPH106"
"GESM-130g","Seminar in Social Analysis","C","4.0 units"
"","Introduction to Education: Examining Critical Issues","","4.0","Lecture","35425R","001","8:30-9:50am","Mon, Wed","2","0","0","Paula Carbone","VKC254"
"","Los Angeles as a City","","4.0","Lecture","35426R","001","8:00-9:20am","Tue, Thu","2","0","0","Martin Krieger","VKC254"
"","Music and Class in American Society","","4.0","Lecture","35427R","001","9:30-10:50am","Tue, Thu","2","0","0","","VKC255"
"","Mexican American Places in Literature and Film","","4.0","Lecture","35430R","001","11:00-12:20pm","Tue, Thu","2","0","0","Laura Pulido","VKC254"
