"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BISC-102Lxg","Humans and Their Environment","","4.0 units","Lecture","13000R","001","9:30-10:50am","Tue, Thu","120","1","0","Dale Kiefer, Cornelius Sullivan</a>","ZHS159"
"","","","","Lab","13102R","001","4:00-5:50pm","Tuesday","20","0","0","","ZHS257"
"","","","","Lab","13103R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS257"
"","","","","Lab","13105R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS257"
"","","","","Lab","13106R","001","10:00-11:50am","Friday","20","0","0","","ZHS257"
"","","","","Lab","13107R","001","12:00-1:50pm","Tuesday","20","1","0","","ZHS257"
"","","","","Lab","13108R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS257"
"BISC-150Lxg","The Nature of Human Health and Disease","","4.0 units","Lecture","13007R","001","9:30-10:50am","Tue, Thu","54","0","0","Oliver Rizk, Christa Bancroft","ZHS252"
"","","","","Lab","13213R","001","10:00-11:50am","Wednesday","18","0","0","","ZHS458"
"","","","","Lab","13216R","001","12:00-1:50pm","Tuesday","18","0","0","","ZHS458"
"","","","","Lab","13217R","001","12:00-1:50pm","Wednesday","18","0","0","","ZHS458"
"BISC-180Lxg","Evolution","","4.0 units","Lecture","13400R","001","9:00-9:50am","MWF","60","0","0","Oliver Rizk","ZHS252"
"","","","","Lab","13401R","001","1:00-2:50pm","Friday","20","0","0","Oliver Rizk","ZHS369"
"","","","","Lab","13402R","001","12:00-1:50pm","Thursday","20","0","0","Oliver Rizk","ZHS369"
"","","","","Lab","13403R","001","2:00-3:50pm","Thursday","20","0","0","Oliver Rizk","ZHS369"
"BISC-230xg","The Biology of the Brain: Current Topics in Neuroscience","","4.0 units","Lecture","13014R","001","12:00-1:50pm","Mon, Wed","180","2","0","Bruce Yazejian","THH201"
"","","","","Lab","13250R","001","10:00-11:50am","Tuesday","20","0","0","","ZHS468"
"","","","","Lab","13251R","001","12:00-1:50pm","Tuesday","20","0","0","","ZHS468"
"","","","","Lab","13252R","001","2:00-3:50pm","Tuesday","20","2","0","","ZHS468"
"","","","","Lab","13253R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS468"
"","","","","Lab","13254R","001","10:00-11:50am","Thursday","20","0","0","","ZHS468"
"","","","","Lab","13255R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS468"
"","","","","Lab","13256R","001","10:00-11:50am","Friday","20","0","0","","ZHS468"
"","","","","Lab","13257R","001","12:00-1:50pm","Friday","20","0","0","","ZHS468"
"","","","","Lab","13258R","001","2:00-3:50pm","Friday","20","0","0","","ZHS468"
"CHEM-205Lxg","Chemical Forensics: The Science, and Its Impact","","4.0 units","Lecture","17348R","001","12:00-12:50pm","MWF","150","1","0","Thomas Bertolini, Jessica Parr</a>","SGM124"
"","","","","Lab","17350R","001","12:00-1:50pm","Tuesday","15","0","0","","SGM307"
"","","","","Lab","17352R","001","12:00-1:50pm","Thursday","15","0","0","","SGM307"
"","","","","Lab","17354R","001","2:00-3:50pm","Tuesday","15","0","0","","SGM307"
"","","","","Lab","17356R","001","2:00-3:50pm","Wednesday","15","0","0","","SGM307"
"","","","","Lab","17358R","001","2:00-3:50pm","Thursday","15","0","0","","SGM307"
"","","","","Lab","17360R","001","2:00-3:50pm","Friday","15","0","0","","SGM307"
"","","","","Lab","17362R","001","4:00-5:50pm","Tuesday","15","0","0","","SGM307"
"","","","","Lab","17364R","001","4:00-5:50pm","Wednesday","15","0","0","","SGM307"
"","","","","Lab","17366R","001","4:00-5:50pm","Thursday","15","1","0","","SGM307"
"GEOL-125Lg","Earth History: A Planet and Its Evolution","","4.0 units","Lecture","25138R","001","11:00-12:20pm","Tue, Thu","240","1","0","Frank Corsetti","SGM123"
"","","","","Lab","25140R","001","8:00-9:50am","Wednesday","20","0","0","","ZHS B54"
"","","","","Lab","25142R","001","8:00-9:50am","Friday","20","0","0","","ZHS B54"
"","","","","Lab","25144R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS B54"
"","","","","Lab","25146R","001","10:00-11:50am","Friday","20","0","0","","ZHS B54"
"","","","","Lab","25148R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS B54"
"","","","","Lab","25150R","001","2:00-3:50pm","Thursday","20","0","0","","ZHS B54"
"","","","","Lab","25160R","001","12:00-1:50pm","Friday","20","1","0","","ZHS B54"
"","","","","Lab","25161R","001","2:00-3:50pm","Tuesday","20","0","0","","ZHS B54"
"","","","","Lab","25162R","001","2:00-3:50pm","Thursday","20","0","0","","ZHS B54"
"","","","","Lab","25163R","001","2:00-3:50pm","Friday","20","0","0","","ZHS B54"
"","","","","Lab","25164R","001","4:00-5:50pm","Tuesday","20","0","0","","ZHS B54"
"","","","","Lab","25165R","001","4:00-5:50pm","Thursday","20","0","0","","ZHS B54"
"GEOL-150Lg","Climate Change","","4.0 units","Lecture","24872R","001","10:00-10:50am","MWF","240","0","0","Julien Emile-Geay","SAL101"
"","","","","Lab","24874R","001","8:00-9:50am","Thursday","20","0","0","","ZHS B56"
"","","","","Lab","24876R","001","10:00-11:50am","Thursday","20","0","0","","ZHS B56"
"","","","","Lab","24877R","001","4:00-5:50pm","Wednesday","20","0","0","","ZHS B56"
"","","","","Lab","24878R","001","12:00-1:50pm","Tuesday","20","0","0","","ZHS B56"
"","","","","Lab","24879R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS B56"
"","","","","Lab","24880R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS B56"
"","","","","Lab","24881R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS B56"
"","","","","Lab","24882R","001","2:00-3:50pm","Tuesday","20","0","0","","ZHS B56"
"","","","","Lab","24884R","001","2:00-3:50pm","Thursday","20","0","0","","ZHS B56"
"","","","","Lab","24889R","001","4:00-5:50pm","Tuesday","20","0","0","","ZHS B56"
"","","","","Lab","24966R","001","8:00-9:50am","Wednesday","20","0","0","","ZHS B56"
"","","","","Lab","24968R","001","2:00-3:50pm","Wednesday","20","0","0","","ZHS B56"
"GEOL-240Lg","Earthquakes","","4.0 units","Lecture","24890R","001","11:00-12:20pm","Tue, Thu","240","0","0","Charles Sammis","SAL101"
"","","","","Lab","24892R","001","8:00-9:50am","Tuesday","20","0","0","","ZHS B63"
"","","","","Lab","24893R","001","8:00-9:50am","Wednesday","20","0","0","","ZHS B63"
"","","","","Lab","24894R","001","8:00-9:50am","Thursday","20","0","0","","ZHS B63"
"","","","","Lab","24898R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS B63"
"","","","","Lab","24902R","001","10:00-11:50am","Friday","20","0","0","","ZHS B63"
"","","","","Lab","24904R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS B63"
"","","","","Lab","24906R","001","12:00-1:50pm","Friday","20","0","0","","ZHS B63"
"","","","","Lab","24908R","001","2:00-3:50pm","Tuesday","20","0","0","","ZHS B63"
"","","","","Lab","24910R","001","2:00-3:50pm","Thursday","20","0","0","","ZHS B63"
"","","","","Lab","24912R","001","2:00-3:50pm","Wednesday","20","0","0","","ZHS B63"
"","","","","Lab","24913R","001","4:00-5:50pm","Tuesday","20","0","0","","ZHS B63"
"","","","","Lab","24914R","001","4:00-5:50pm","Thursday","20","0","0","","ZHS B63"
"HBIO-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Tue, Thu","140","0","0","Trond Sigurdsen","SGM123"
"","","","","Lab","38513R","001","8:00-9:50am","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38515R","001","10:00-11:50am","Tuesday","20","0","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Thursday","20","0","0","","AHF B10"
"","","","","Lab","38518R","001","12:00-1:50pm","Tuesday","20","0","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Thursday","20","0","0","","AHF B10"
"HBIO-205Lxg","The Science of Sport","","4.0 units","Lecture","38411R","001","9:00-9:50am","MWF","126","0","0","Bob Girandola","THH202"
"","","","","Lab","38412R","001","10:00-11:50am","Tuesday","18","0","0","Gudrun Floyd","PED B15A"
"","","","","Lab","38413R","001","2:00-3:50pm","Tuesday","18","0","0","","PED B15A"
"","","","","Lab","38414R","001","4:00-5:50pm","Tuesday","18","0","0","","PED B15A"
"","","","","Lab","38415R","001","12:00-1:50pm","Tuesday","18","0","0","","PED B15A"
"","","","","Lab","38417R","001","10:00-11:50am","Thursday","18","0","0","","PED B15A"
