"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SCRM-515","Bringing Stem Cells to the Clinic","PM","4.0 units","Lecture","41603R","046","10:00-1:50pm","Wednesday","50","6","0","Qing Liu-Michael, Justin Ichida</a>","BCC101"
"SCRM-522L","Biological Imaging in Stem Cell Research","M","2.0 units","Lecture","41606D","107","10:00-11:50am","Thursday","36","0","0","Francesca Mariani, Scott Fraser, Seth Ruffins, Lora Barsky</a>","BCC101"
"","","","","Lab","41621D","107","2:00-3:50pm","Thursday","12","0","0","","BCC101"
"","","","","Lab","41622D","107","10:00-11:50am","Friday","12","0","0","","BCC101"
"","","","","Lab","41623D","107","2:00-3:50pm","Friday","12","0","0","","BCC101"
"SCRM-524L","Culture and Differentiation of Human Pluripotent Stem Cells","M","2.0 units","Lecture-Lab","41609D","403","9:30-11:50am","Thu, Fri","16","0","0","Victoria Fox","BCC101"
"","","","","Lecture-Lab","41610D","403","2:00-4:20pm","Thu, Fri","16","0","0","Victoria Fox","BCC101"
"SCRM-555","Writing About Stem Cell Biology and Regenerative Medicine","M","1.0 unit","Lecture","41605R","046","1:00-1:50pm","Tuesday","20","4","0","Cristy Lytal, Senta Georgia</a>","BCC101"
"","","","","Lecture","41608R","046","2:00-2:50pm","Tuesday","20","2","0","Cristy Lytal, Senta Georgia</a>","BCC101"
"SCRM-580","SCRM External Speaker Seminar Series","M","2.0 units, max 8","Lecture-Discussion","41604R","046","11:00-12:50pm","Tuesday","50","5","0","Rong Lu","BCC101"
"SCRM-590","Independent Research","PM","1.0-4.0 units, max 16","Lecture-Lab","41645D","046","TBA","TBA","10","0","0","","OFFICE"
