"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101gmw","Race and Class in Los Angeles","","4.0 units","Discussion","10319R","001","4:00-4:50pm","Monday","25","0","0","","VKC257"
"","","","","Lecture","10310R","001","11:00-12:20pm","Tue, Thu","7","1","0","Alicia Chavez","GFS106"
"","","","","Discussion","10311R","001","10:00-10:50am","Friday","25","0","0","","KAP141"
"","","","","Discussion","10312R","001","11:00-11:50am","Friday","26","0","0","","KAP141"
"","","","","Discussion","10313R","001","9:00-9:50am","Tuesday","25","0","0","","VKC151"
"","","","","Discussion","10314R","001","9:00-9:50am","Thursday","25","1","0","","VKC151"
"","","","","Discussion","10315R","001","1:00-1:50pm","Monday","25","0","0","","THH112"
"AMST-274gmw","Exploring Ethnicity Through Film","","4.0 units","Lecture","10390R","001","11:00-12:20pm","Tue, Thu","5","1","0","Kara Keeling","THH202"
"","","","","Discussion","10391R","001","10:00-10:50am","Friday","25","0","0","","VKC252"
"","","","","Discussion","10392R","001","11:00-11:50am","Friday","25","0","0","","VKC252"
"","","","","Discussion","10395R","001","9:00-9:50am","Tuesday","25","0","0","","SOS B37"
"","","","","Discussion","10396R","001","1:00-1:50pm","Thursday","25","1","0","","THH B9"
"ECON-348g","Current Problems of the American Economy","P","4.0 units","Lecture","26114R","001","2:00-3:50pm","Mon, Wed","50","0","0","Mark Moore","THH114"
"","","","","Discussion","26115R","001","10:00-10:50am","Friday","25","0","0","","VKC111"
"","","","","Discussion","26117R","001","11:00-11:50am","Friday","25","0","0","","VKC111"
"ENST-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","10:00-10:50am","MWF","100","0","0","Ekaterina Svyatets, David Ginsburg</a>","SGM101"
"","","","","Discussion","33006R","001","3:00-3:50pm","Monday","25","0","0","Monalisa Chatterjee","VKC109"
"","","","","Discussion","33007R","001","12:00-12:50pm","Tuesday","25","0","0","Monalisa Chatterjee","WPH106"
"","","","","Discussion","33008R","001","3:00-3:50pm","Wednesday","25","0","0","Monalisa Chatterjee","THH110"
"","","","","Discussion","33009R","001","12:00-12:50pm","Thursday","25","0","0","Monalisa Chatterjee","WPH106"
"GEOG-257g","Environment and Ethics","","4.0 units","Lecture","35655R","001","1:00-1:50pm","MWF","5","0","0","","THH116"
"","","","","Discussion","35656R","001","2:00-2:50pm","Tuesday","26","0","0","","THH B10"
"","","","","Discussion","35657R","001","2:00-2:50pm","Wednesday","25","0","0","","SOS B52"
"HIST-225g","Film, Power, and American History","","4.0 units","Lecture","36991R","001","10:00-11:50am","Mon, Wed","7","0","0","Steve Ross","THH301"
"","","","","Discussion","36992R","001","8:00-8:50am","Friday","25","0","0","","WPH103"
"","","","","Discussion","36993R","001","9:00-9:50am","Friday","25","0","0","","WPH103"
"","","","","Discussion","36994R","001","10:00-10:50am","Friday","25","0","0","","THH121"
"","","","","Discussion","36995R","001","1:00-1:50pm","Friday","25","0","0","","WPH101"
"","","","","Discussion","36996R","001","11:00-11:50am","Friday","25","0","0","","WPH101"
"","","","","Discussion","36997R","001","12:00-12:50pm","Friday","25","0","0","","WPH101"
"HIST-240g","History of California","","4.0 units","Lecture","37130R","001","10:00-10:50am","MWF","5","0","0","Elizabeth Logan","MRF340"
"","","","","Discussion","37131R","001","11:00-11:50am","Wednesday","25","0","0","Elizabeth Logan","SOS B52"
"","","","","Discussion","37132R","001","12:00-12:50pm","Wednesday","25","0","0","Elizabeth Logan","SOS B52"
"","","","","Discussion","37133R","001","1:00-1:50pm","Wednesday","25","0","0","Elizabeth Logan","SOS B52"
"","","","","Discussion","37134R","001","2:00-2:50pm","Wednesday","25","0","0","Elizabeth Logan","WPH102"
"JS-211gw","The Holocaust","","4.0 units","Lecture","38206R","001","2:00-3:20pm","Tue, Thu","5","1","0","Sharon Gillerman, Leah Hochman","WPH B27"
"","","","","Discussion","38207R","001","3:30-4:20pm","Tuesday","25","1","0","","THH106"
"","","","","Discussion","38208R","001","3:30-4:20pm","Thursday","25","0","0","","THH106"
"","","","","Discussion","38209R","001","12:00-12:50pm","Wednesday","25","0","0","","THH108"
"","","","","Discussion","38215R","001","10:00-10:50am","Monday","25","0","0","","THH112"
"LING-115gw","Language and Society","","4.0 units","Lecture","38812R","001","8:30-9:50am","Mon, Wed","5","0","0","Sandra Disner","GFS101"
"","","","","Discussion","38813R","001","8:00-8:50am","Friday","25","0","0","",""
"","","","","Discussion","38814R","001","9:00-9:50am","Friday","25","0","0","",""
"","","","","Discussion","38815R","001","10:00-10:50am","Friday","25","0","0","","GFS221"
"","","","","Discussion","38816R","001","11:00-11:50am","Friday","25","0","0","","GFS221"
"","","","","Lecture","38837R","001","2:00-3:20pm","Mon, Wed","5","0","0","Mary Byram Washburn","ZHS159"
"","","","","Discussion","38844R","001","9:00-9:50am","Tuesday","25","0","0","","GFS221"
"","","","","Discussion","38846R","001","10:00-10:50am","Tuesday","25","0","0","","GFS221"
"","","","","Discussion","38848R","001","9:00-9:50am","Thursday","25","0","0","","GFS221"
"","","","","Discussion","38850R","001","10:00-10:50am","Thursday","25","0","0","","GFS221"
"","","","","Lecture","38948R","001","11:00-12:20pm","Tue, Thu","5","0","0","Mary Byram Washburn","ZHS159"
"","","","","Discussion","38932R","001","9:00-9:50am","Monday","25","0","0","","KAP166"
"","","","","Discussion","38933R","001","10:00-10:50am","Monday","25","0","0","","KAP166"
"","","","","Discussion","38934R","001","9:00-9:50am","Wednesday","25","0","0","","KAP166"
"","","","","Discussion","38935R","001","10:00-10:50am","Wednesday","25","0","0","","KAP166"
"PHIL-178g","Moral Dilemmas in the Legal Domain","","4.0 units","Lecture","49590R","001","12:30-1:45pm","Tue, Thu","150","0","0","Jacob Ross","THH101"
"","","","","Discussion","49591R","001","8:00-8:50am","Monday","25","0","0","",""
"","","","","Discussion","49592R","001","9:00-9:50am","Monday","25","0","0","",""
"","","","","Discussion","49593R","001","10:00-10:50am","Monday","25","0","0","",""
"","","","","Discussion","49594R","001","8:00-8:50am","Wednesday","25","0","0","",""
"","","","","Discussion","49595R","001","9:00-9:50am","Wednesday","25","0","0","",""
"","","","","Discussion","49596R","001","10:00-10:50am","Wednesday","25","0","0","",""
"POSC-130g","Law, Politics and Public Policy","","4.0 units","Lecture","51930R","001","11:00-12:20pm","Tue, Thu","200","1","0","Jeb Barnes","THH101"
"","","","","Discussion","51931R","001","8:30-9:20am","Tuesday","25","0","0","","THH108"
"","","","","Discussion","51932R","001","8:30-9:20am","Thursday","25","0","0","","THH108"
"","","","","Discussion","51933R","001","11:00-11:50am","Monday","25","0","0","","VKC155"
"","","","","Discussion","51934R","001","12:00-12:50pm","Wednesday","25","0","0","","VKC154"
"","","","","Discussion","51935R","001","12:00-12:50pm","Friday","25","0","0","","VKC154"
"","","","","Discussion","51936R","001","1:00-1:50pm","Monday","25","1","0","","VKC154"
"","","","","Discussion","51937R","001","1:00-1:50pm","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","51938R","001","3:30-4:20pm","Wednesday","25","0","0","","VKC206"
"SOCI-142gm","Diversity and Racial Conflict","","4.0 units","Lecture","61400R","001","5:00-6:20pm","Tue, Thu","7","0","0","Leland Saito","VKC102"
"","","","","Discussion","61401R","001","9:00-9:50am","Monday","25","0","0","","VKC209"
"","","","","Discussion","61402R","001","1:00-1:50pm","Monday","25","0","0","","THH214"
"","","","","Lecture","61410R","001","2:00-3:20pm","Tue, Thu","15","0","0","Leland Saito","SGM101"
"","","","","Discussion","61412R","001","8:00-8:50am","Tuesday","25","0","0","","KAP138"
"","","","","Discussion","61413R","001","4:00-4:50pm","Wednesday","25","0","0","","SOS B41"
"","","","","Discussion","61414R","001","3:00-3:50pm","Friday","25","0","0","","VKC209"
"","","","","Discussion","61415R","001","4:00-4:50pm","Friday","25","0","0","","VKC209"
"SOCI-155gm","Immigrant America","","4.0 units","Lecture","61420R","001","2:00-3:20pm","Mon, Wed","15","0","0","Jody Agius Vallejo","MRF340"
"","","","","Discussion","61422D","001","3:00-3:50pm","Friday","25","0","0","","VKC160"
"","","","","Discussion","61423R","001","5:00-5:50pm","Wednesday","25","0","0","","VKC209"
"","","","","Discussion","61424R","001","12:00-12:50pm","Friday","25","0","0","","VKC161"
"","","","","Discussion","61425R","001","1:00-1:50pm","Friday","25","0","0","","THH214"
"SOCI-169gm","Changing Family Forms","","4.0 units","Lecture","61432R","001","12:30-1:50pm","Tue, Thu","30","0","0","Jennifer Hook","SGM123"
"","","","","Discussion","61433D","001","10:00-10:50am","Monday","25","0","0","","VKC109"
"","","","","Discussion","61434R","001","5:00-5:50pm","Monday","25","0","0","","VKC209"
"","","","","Discussion","61435R","001","11:00-11:50am","Friday","25","0","0","Edson Rodriguez Cruz","VKC206"
"","","","","Discussion","61436D","001","8:00-8:50am","Friday","25","0","0","Edson Rodriguez Cruz","VKC109"
"","","","","Discussion","61437R","001","9:00-9:50am","Friday","25","0","0","Edson Rodriguez Cruz","VKC109"
"","","","","Discussion","61438R","001","12:00-12:50pm","Friday","25","0","0","Edson Rodriguez Cruz","VKC200"
"","","","","Lecture","61440R","001","8:30-9:50am","Mon, Wed","7","0","0","Tim Biblarz","VKC156"
"","","","","Discussion","61441R","001","11:00-11:50am","Tuesday","25","0","0","","SOS B48"
"","","","","Discussion","61442R","001","4:00-4:50pm","Wednesday","25","0","0","","VKC257"
"SOCI-210g","Science, Technology, and Social Conflict","","4.0 units","Lecture","61445R","001","11:00-12:20pm","Tue, Thu","7","1","0","Dan Lainer-Vos","GFS101"
