"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SLL-120","Beginning Russian I","","4.0 units","Lecture","60202D","001","10:00-10:50am","MTuWTh","19","0","0","Tatiana Akishina","THH105"
"SLL-150","Beginning Russian II","P","4.0 units","Lecture","60208R","001","11:00-11:50am","MTuWTh","19","0","0","","THH105"
"SLL-199","Chess and Critical Thinking","","2.0 units","Lecture","60212R","001","5:00-6:50pm","Tuesday","25","0","0","Jack Peters","LVL13"
"","","","","Lecture","60214R","001","5:00-6:50pm","Thursday","25","0","0","Jack Peters","LVL13"
"SLL-220","Intermediate Russian I","P","4.0 units","Lecture","60216R","001","1:00-1:50pm","MTuWTh","15","0","0","","THH105"
"SLL-250","Intermediate Russian II","P","4.0 units","Lecture","60218D","001","12:00-12:50pm","MWF","12","0","0","","VKC103"
"SLL-260x","The Trans-Siberian Experience","","2.0 units","Lecture","60296D","238","6:00-7:50pm","Tuesday","20","0","0","Tatiana Akishina",""
"SLL-299","Chess - Advanced Thinking Techniques","P","2.0 units","Lecture","60220D","001","2:00-3:50pm","Thursday","15","0","0","Jack Peters","THH219"
"SLL-310","Advanced Russian in Popular Culture","P","4.0 units","Lecture","60228D","001","TBA","TBA","12","0","0","Tatiana Akishina","OFFICE"
"SLL-330gp","Russian Thought and Civilization","","4.0 units","Lecture","60230R","001","11:00-12:20pm","Tue, Thu","100","0","0","Thomas Seifrid","WPH B27"
"","","","","Discussion","60231R","001","9:00-9:50am","Friday","25","0","0","","VKC161"
"","","","","Discussion","60232R","001","10:00-10:50am","Friday","25","0","0","","VKC161"
"","","","","Discussion","60292R","001","11:00-11:50am","Friday","25","0","0","","VKC161"
"","","","","Discussion","60294R","001","1:00-1:50pm","Friday","25","0","0","","VKC158"
"SLL-344g","Tolstoy: Writer and Moralist","","4.0 units","Lecture","60234R","001","2:00-3:20pm","Tue, Thu","19","0","0","Greta Matzner-Gore","VKC260"
"SLL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","60238D","001","TBA","TBA","4","0","0","","OFFICE"
"SLL-500","Topics in Advanced Russian","","2.0 units, max 8","Lecture","60240D","001","TBA","TBA","8","0","0","Tatiana Akishina","OFFICE"
"SLL-530","Early Russian Literature and Culture (11th-17th Centuries)","P","3.0 units","Lecture","60246D","001","2:00-4:50pm","Monday","10","0","0","Marcus Levitt","THH107"
"SLL-545","19th Century Russian Poetry","P","3.0 units","Lecture","60248D","001","2:00-4:50pm","Wednesday","8","0","0","Sarah Pratt","VKC153"
"SLL-590","Directed Research","","1.0-12.0 units","Lecture","60252D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-665","Seminar in Russian Culture and the Arts","","3.0 units, max 9","Lecture","60262D","001","2:00-4:50pm","Tuesday","8","0","0","John Bowlt","THH219"
"SLL-790","Research","","1.0-12.0 units","Lecture","60272D","001","TBA","TBA","3","0","0","","OFFICE"
"SLL-794a","Doctoral Dissertation","","2.0 units","Lecture","60276D","001","TBA","TBA","3","0","0","","OFFICE"
"SLL-794b","Doctoral Dissertation","P","2.0 units","Lecture","60280D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794c","Doctoral Dissertation","P","2.0 units","Lecture","60284D","001","TBA","TBA","5","0","0","","OFFICE"
"SLL-794d","Doctoral Dissertation","P","2.0 units","Lecture","60288D","001","TBA","TBA","5","0","0","","TBA"
"SLL-794z","Doctoral Dissertation","P","0.0 units","Lecture","60290D","001","TBA","TBA","5","0","0","","OFFICE"
