"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SOCI-142gm","Diversity and Racial Conflict","","4.0 units","Lecture","61400R","001","5:00-6:20pm","Tue, Thu","7","0","0","Leland Saito","VKC102"
"","","","","Discussion","61401R","001","9:00-9:50am","Monday","25","0","0","","VKC209"
"","","","","Discussion","61402R","001","1:00-1:50pm","Monday","25","0","0","","THH214"
"","","","","Lecture","61410R","001","2:00-3:20pm","Tue, Thu","15","0","0","Leland Saito","SGM101"
"","","","","Discussion","61412R","001","8:00-8:50am","Tuesday","25","0","0","","KAP138"
"","","","","Discussion","61413R","001","4:00-4:50pm","Wednesday","25","0","0","","SOS B41"
"","","","","Discussion","61414R","001","3:00-3:50pm","Friday","25","0","0","","VKC209"
"","","","","Discussion","61415R","001","4:00-4:50pm","Friday","25","0","0","","VKC209"
"SOCI-155gm","Immigrant America","","4.0 units","Lecture","61420R","001","2:00-3:20pm","Mon, Wed","15","0","0","Jody Agius Vallejo","MRF340"
"","","","","Discussion","61422D","001","3:00-3:50pm","Friday","25","0","0","","VKC160"
"","","","","Discussion","61423R","001","5:00-5:50pm","Wednesday","25","0","0","","VKC209"
"","","","","Discussion","61424R","001","12:00-12:50pm","Friday","25","0","0","","VKC161"
"","","","","Discussion","61425R","001","1:00-1:50pm","Friday","25","0","0","","THH214"
"SOCI-169gm","Changing Family Forms","","4.0 units","Lecture","61432R","001","12:30-1:50pm","Tue, Thu","30","0","0","Jennifer Hook","SGM123"
"","","","","Discussion","61433D","001","10:00-10:50am","Monday","25","0","0","","VKC109"
"","","","","Discussion","61434R","001","5:00-5:50pm","Monday","25","0","0","","VKC209"
"","","","","Discussion","61435R","001","11:00-11:50am","Friday","25","0","0","Edson Rodriguez Cruz","VKC206"
"","","","","Discussion","61436D","001","8:00-8:50am","Friday","25","0","0","Edson Rodriguez Cruz","VKC109"
"","","","","Discussion","61437R","001","9:00-9:50am","Friday","25","0","0","Edson Rodriguez Cruz","VKC109"
"","","","","Discussion","61438R","001","12:00-12:50pm","Friday","25","0","0","Edson Rodriguez Cruz","VKC200"
"","","","","Lecture","61440R","001","8:30-9:50am","Mon, Wed","7","0","0","Tim Biblarz","VKC156"
"","","","","Discussion","61441R","001","11:00-11:50am","Tuesday","25","0","0","","SOS B48"
"","","","","Discussion","61442R","001","4:00-4:50pm","Wednesday","25","0","0","","VKC257"
"SOCI-200gm","Introduction to Sociology","","4.0 units","Lecture","61455D","001","8:30-9:50am","Mon, Wed","100","1","0","Juliana Mc Gene","THH102"
"","","","","Discussion","61456R","001","5:00-5:50pm","Monday","25","0","0","","VKC206"
"","","","","Discussion","61457R","001","12:00-12:50pm","Wednesday","25","0","0","","SOS B41"
"","","","","Discussion","61458R","001","1:00-1:50pm","Wednesday","25","1","0","","THH214"
"","","","","Discussion","61459R","001","11:00-11:50am","Friday","25","0","0","","VKC151"
"SOCI-210g","Science, Technology, and Social Conflict","","4.0 units","Lecture","61445R","001","11:00-12:20pm","Tue, Thu","7","1","0","Dan Lainer-Vos","GFS101"
"","","","","Discussion","61446R","001","11:00-11:50am","Wednesday","25","0","0","","VKC209"
"","","","","Discussion","61447R","001","8:00-8:50am","Thursday","25","1","0","","KAP138"
"SOCI-242g","Sociology, Human Behavior, and Health","","4.0 units","Lecture","61539D","001","2:00-3:20pm","Tue, Thu","72","0","0","Karen Sternheimer, Lynne Casper","MRF340"
"","","","","Discussion","61541R","001","11:00-11:50am","Monday","18","0","0","","VKC200"
"","","","","Discussion","61542R","001","12:00-12:50pm","Monday","18","0","0","","VKC200"
"","","","","Discussion","61543R","001","8:00-8:50am","Friday","18","0","0","","VKC154"
"","","","","Discussion","61544R","001","9:00-9:50am","Friday","18","0","0","","VKC154"
"","","","","Lecture","61579D","001","3:30-4:50pm","Tue, Thu","72","0","0","Karen Sternheimer, Lynne Casper","MRF340"
"","","","","Discussion","61581R","001","9:00-9:50am","Wednesday","18","0","0","","VKC154"
"","","","","Discussion","61582R","001","11:00-11:50am","Wednesday","18","0","0","","VKC200"
"","","","","Discussion","61583R","001","10:00-10:50am","Friday","18","0","0","","VKC151"
"","","","","Discussion","61584R","001","12:00-12:50pm","Wednesday","18","0","0","","VKC209"
"SOCI-305m","Sociology of Childhood","","4.0 units","Lecture","61483D","001","8:00-9:20am","Tue, Thu","19","0","0","Karen Sternheimer","THH205"
"SOCI-313","Sociological Research Methods","","4.0 units","Lecture-Lab","61482D","001","10:00-10:50am","MWF","19","0","0","Joseph Palacios","THH207"
"","","","","Lecture-Lab","61484D","001","2:00-3:20pm","Mon, Wed","19","1","0","Juliana Mc Gene","THH211"
"SOCI-314","Analyzing Social Statistics","","4.0 units","Lecture","61485D","001","2:00-3:20pm","Wed, Fri","19","0","0","Joseph Palacios","KAP305"
"","","","","Lecture","61487D","001","10:00-11:50am","Mon, Wed","19","0","0","Juliana Mc Gene","KAP305"
"SOCI-340","Organizations: Bureaucracy and Alternatives to Bureaucracy","","4.0 units","Lecture","61497D","001","2:00-3:20pm","Mon, Wed","19","0","0","Nina Eliasoph","GFS221"
"SOCI-353","Public Policy and Criminal Justice","","4.0 units","Lecture","61494D","001","9:30-10:50am","Tue, Thu","19","0","0","Karen Sternheimer","THH205"
"SOCI-357m","Latino Social Movements","","4.0 units","Lecture","10425R","001","2:00-3:20pm","Mon, Wed","30","0","0","Juan De Lara","KAP163"
"SOCI-360m","Social Inequality: Class, Status, and Power","","4.0 units","Lecture","61498D","001","9:30-10:50am","Tue, Thu","15","1","0","Elaine Kaplan","THH117"
"SOCI-370","Sociological Theory","","4.0 units","Lecture","61507D","001","2:00-3:20pm","Tue, Thu","19","0","0","Dan Lainer-Vos","WPH203"
"","","","","Lecture","61510D","001","2:00-4:50pm","Friday","19","0","0","Edson Rodriguez Cruz","VKC161"
"SOCI-450","Non-Governmental Organizations/Non-profits Field Practicum","PC","4.0 units","Lecture","61545R","001","4:00-6:50pm","Wednesday","15","0","0","Joseph Palacios","VKC108"
"SOCI-468","Sociology of Religion","","4.0 units","Lecture","60123R","001","9:30-10:50am","Tue, Thu","19","0","0","Paul Lichterman","THH209"
"SOCI-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","61532D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","61536D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","61537D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","61538D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-495","Sociology Honors Seminar II","P","4.0 units","Lecture","61540D","001","3:30-6:20pm","Wednesday","10","0","0","Leland Saito","HSH303"
"SOCI-511","Sociological Theory II","","4.0 units","Lecture","61620D","001","9:00-11:50am","Monday","15","1","0","Nina Eliasoph","HSH303"
"SOCI-520","Qualitative Research Methods","","4.0 units","Lecture","61550D","001","2:00-4:50pm","Tuesday","15","1","0","Paul Lichterman","HSH303"
"SOCI-521L","Quantitative Methods and Statistics I","","4.0 units","Lecture-Lab","61560D","001","2:00-4:50pm","Monday","15","1","0","Ann Owens","KAP305"
"SOCI-590","Directed Research","","1.0-12.0 units","Lecture","61605D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","61604D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","61606D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-594a","Master's Thesis","","2.0 units","Lecture","61616D","001","TBA","TBA","10","1","0","","OFFICE"
"SOCI-594b","Master's Thesis","P","2.0 units","Lecture","61617D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-642","Sex and Gender in Society","","4.0 units","Lecture","61565D","001","9:00-11:50am","Thursday","15","4","0","Michael Messner","HSH303"
"SOCI-653","Seminar in Science and Technology Studies","","4.0 units, max 8","Lecture","61570D","001","1:00-3:50pm","Thursday","15","0","0","Andrew Lakoff","HSH303"
"SOCI-671","Urban Sociology","C","4.0 units","Lecture","61660D","001","10:00-12:50pm","Wednesday","15","1","0","Manuel Pastor","HSH303"
"SOCI-680","Writing for Publication in Sociology","P","4.0 units","Lecture","61640D","001","9:00-11:50am","Tuesday","15","5","0","Jennifer Hook","HSH303"
"SOCI-790","Research","","1.0-12.0 units","Lecture","61662D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-794a","Doctoral Dissertation","","2.0 units","Lecture","61663D","001","TBA","TBA","20","0","0","","OFFICE"
"SOCI-794b","Doctoral Dissertation","P","2.0 units","Lecture","61664D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-794c","Doctoral Dissertation","P","2.0 units","Lecture","61665D","001","TBA","TBA","10","0","0","","OFFICE"
"SOCI-794d","Doctoral Dissertation","P","2.0 units","Lecture","61666D","001","TBA","TBA","20","1","0","","OFFICE"
"SOCI-794z","Doctoral Dissertation","P","0.0 units","Lecture","61668D","001","TBA","TBA","13","2","0","","OFFICE"
