"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SOWK-350","Adolescent Gang Intervention","","4.0 units","Lecture","60500R","001","10:00-11:50am","Mon, Wed","25","1","0","Robert Hernandez","MRF338"
"SOWK-503","Human Behavior and the Social Environment I","","3.0 units","Lecture","67000D","735","7:00-8:15am","Monday","5","2","0","Latonya Huey","VAC"
"","","","","Lecture","67001D","735","8:45-10:00am","Monday","5","4","0","Latonya Huey","VAC"
"","","","","Lecture","67002D","735","4:00-5:15pm","Monday","5","5","0","Shawnmari Kaiser","VAC"
"","","","","Lecture","67003D","735","5:45-7:00pm","Monday","5","4","0","Shawnmari Kaiser","VAC"
"","","","","Lecture","67004D","735","4:45-6:00pm","Monday","5","1","0","Robin Siegal","VAC"
"","","","","Lecture","67005D","735","6:30-7:45pm","Monday","5","5","0","Robin Siegal","VAC"
"","","","","Lecture","67006D","735","7:00-8:15am","Tuesday","5","1","0","Tyan Parker Dominguez","VAC"
"","","","","Lecture","67007D","735","8:45-10:00am","Tuesday","5","1","0","Tyan Parker Dominguez","VAC"
"","","","","Lecture","67008D","735","10:15-11:30am","Tuesday","5","4","0","Stacy Story","VAC"
"","","","","Lecture","67009D","735","12:00-1:15pm","Tuesday","5","1","0","Stacy Story","VAC"
"","","","","Lecture","67010D","735","4:00-5:15pm","Tuesday","5","1","0","De Bell","VAC"
"","","","","Lecture","67011D","735","5:45-7:00pm","Tuesday","5","0","0","De Bell","VAC"
"","","","","Lecture","67012D","735","4:00-5:15pm","Tuesday","5","1","0","Shelly Abernathy","VAC"
"","","","","Lecture","67013D","735","5:45-7:00pm","Tuesday","5","0","0","Shelly Abernathy","VAC"
"","","","","Lecture","67014D","735","10:15-11:30am","Wednesday","5","1","0","Azure Darby","VAC"
"","","","","Lecture","67015D","735","12:00-1:15pm","Wednesday","5","0","0","Azure Darby","VAC"
"","","","","Lecture","67016D","735","4:00-5:15pm","Wednesday","5","2","0","Kathleen Bargar Viarengo","VAC"
"","","","","Lecture","67017D","735","5:45-7:00pm","Wednesday","5","1","0","Kathleen Bargar Viarengo","VAC"
"","","","","Lecture","67018D","735","4:45-6:00pm","Wednesday","5","0","0","Dorothy Nieto Manzer","VAC"
"","","","","Lecture","67019D","735","6:30-7:45pm","Wednesday","5","5","0","Dorothy Nieto Manzer","VAC"
"","","","","Lecture","67020D","735","7:00-8:15am","Thursday","5","0","0","Randee Olive","VAC"
"","","","","Lecture","67021D","735","8:45-10:00am","Thursday","5","0","0","Randee Olive","VAC"
"","","","","Lecture","67022D","735","1:30-2:45pm","Thursday","5","0","0","Azure Darby","VAC"
"","","","","Lecture","67023D","735","3:15-4:30pm","Thursday","5","1","0","Azure Darby","VAC"
"","","","","Lecture","67024D","735","4:00-5:15pm","Thursday","5","0","0","","VAC"
"","","","","Lecture","67025D","735","5:45-7:00pm","Thursday","5","0","0","","VAC"
"","","","","Lecture","67026D","735","9:30-10:45am","Friday","5","1","0","Robin Siegal","VAC"
"","","","","Lecture","67027D","735","11:15-12:30pm","Friday","5","2","0","Robin Siegal","VAC"
"","","","","Lecture","67028D","735","9:30-10:45am","Saturday","5","3","0","Jennell Maze","VAC"
"","","","","Lecture","67029D","735","11:15-12:30pm","Saturday","5","2","0","Jennell Maze","VAC"
"SOWK-505","Human Behavior and the Social Environment II","P","3.0 units","Lecture","67190D","735","7:00-8:15am","Monday","5","0","0","Anne Blair","VAC"
"","","","","Lecture","67191D","735","8:45-10:00am","Monday","5","0","0","Anne Blair","VAC"
"","","","","Lecture","67192D","735","7:00-8:15am","Monday","5","0","0","Sherry Blair","VAC"
"","","","","Lecture","67193D","735","8:45-10:00am","Monday","5","0","0","Sherry Blair","VAC"
"","","","","Lecture","67194D","735","4:00-5:15pm","Monday","5","0","0","Katherine November","VAC"
"","","","","Lecture","67195D","735","5:45-7:00pm","Monday","5","0","0","Katherine November","VAC"
"","","","","Lecture","67196D","735","4:00-5:15pm","Monday","5","0","0","Lynn Jones","VAC"
"","","","","Lecture","67197D","735","5:45-7:00pm","Monday","5","0","0","Lynn Jones","VAC"
"","","","","Lecture","67198D","735","4:45-6:00pm","Monday","5","0","0","Samih Samaha","VAC"
"","","","","Lecture","67199D","735","6:30-7:45pm","Monday","5","0","0","Samih Samaha","VAC"
"","","","","Lecture","67200D","735","4:45-6:00pm","Monday","5","0","0","Julie Emmer","VAC"
"","","","","Lecture","67201D","735","6:30-7:45pm","Monday","5","0","0","Julie Emmer","VAC"
"","","","","Lecture","67202D","735","7:00-8:15am","Tuesday","5","0","0","Robert Villa","VAC"
"","","","","Lecture","67203D","735","8:45-10:00am","Tuesday","5","0","0","Robert Villa","VAC"
"","","","","Lecture","67204D","735","7:00-8:15am","Tuesday","5","0","0","Dana Caballero","VAC"
"","","","","Lecture","67205D","735","8:45-10:00am","Tuesday","5","0","0","Dana Caballero","VAC"
"","","","","Lecture","67206D","735","10:15-11:30am","Tuesday","5","0","0","Karra Bikson","VAC"
"","","","","Lecture","67207D","735","12:00-1:15pm","Tuesday","5","0","0","Karra Bikson","VAC"
"","","","","Lecture","67208D","735","4:00-5:15pm","Tuesday","5","0","0","Christopher Atkins","VAC"
"","","","","Lecture","67209D","735","5:45-7:00pm","Tuesday","5","0","0","Christopher Atkins","VAC"
