"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SPAN-120","Spanish I","","4.0 units","Lecture","62002D","001","9:00-9:50am","MTuThF","19","0","0","Leah Kemp","VKC105"
"","","","","Lecture","62004D","001","12:00-12:50pm","MTuThF","19","0","0","Leah Kemp","VKC105"
"","","","","Lecture","62006D","001","1:00-1:50pm","MTuThF","19","0","0","Leah Kemp","VKC105"
"","","","","Lecture","62008D","001","12:00-12:50pm","MTuThF","19","0","0","Vianey Cabrera","VKC109"
"","","","","Lecture","62012D","001","2:00-3:50pm","Wed, Fri","19","0","0","Ivette Gomez","VKC105"
"","","","","Lecture","62014D","001","12:00-1:50pm","Wed, Fri","16","0","0","Anna Barikyan","THH115"
"SPAN-150","Spanish II","P","4.0 units","Lecture","62018R","001","8:00-9:50am","Mon, Wed","19","0","0","Gayle Vierma","VKC106"
"","","","","Lecture","62020R","001","10:00-11:50am","Mon, Wed","19","0","0","Maria Fages Agudo","VKC106"
"","","","","Lecture","62022R","001","2:00-3:50pm","Wed, Fri","19","0","0","Karen Perez","VKC110"
"","","","","Lecture","62026R","001","10:00-10:50am","MTuThF","19","0","0","Consuelo Siguenza-Ortiz","WPH101"
"","","","","Lecture","62030R","001","2:00-2:50pm","MTuWTh","19","0","0","Gayle Vierma","VKC259"
"","","","","Lecture","62032R","001","10:00-11:50am","Wed, Fri","19","0","0","Anna Barikyan","VKC105"
"","","","","Lecture","62034R","001","2:00-2:50pm","MTuThF","19","0","0","Anahit Hakoupian","VKC208"
"","","","","Lecture","62038R","001","12:00-12:50pm","MTuWTh","19","0","0","Maria Fages Agudo","VKC107"
"","","","","Lecture","62040R","001","12:00-1:50pm","Mon, Wed","19","0","0","Ivette Gomez","VKC257"
"","","","","Lecture","62042R","001","3:00-3:50pm","MTuThF","19","0","0","Anahit Hakoupian","VKC107"
