"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SSCI-135Lg","Numbers and Maps","","4.0 units","Lecture","35619R","001","10:00-10:50am","MWF","40","0","0","Darren Ruddell","THH118"
"","","","","Lab","35620R","001","12:00-1:50pm","Tuesday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35621R","001","4:00-5:50pm","Tuesday","20","0","0","",""
"","","","","Lab","35622R","001","8:00-9:50am","Wednesday","20","0","0","",""
"","","","","Lab","35623R","001","8:00-9:50am","Thursday","20","0","0","",""
"","","","","Lab","35624R","001","12:00-1:50pm","Thursday","20","0","0","",""
"","","","","Lab","35625R","001","12:00-1:50pm","Friday","20","0","0","Laura Loyola","AHF145A"
"SSCI-165Lgw","Sustainability Science in the City","","4.0 units","Lecture","35628R","001","11:00-11:50am","MWF","120","0","0","Robert Vos","THH202"
"","","","","Lab","35629R","001","8:00-9:50am","Monday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35630R","001","2:00-3:50pm","Monday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35631R","001","2:00-3:50pm","Wednesday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35632R","001","2:00-3:50pm","Thursday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35633R","001","10:00-11:50am","Thursday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35634R","001","8:00-9:50am","Friday","20","0","0","Laura Loyola","AHF145A"
"SSCI-265Lg","The Water Planet","","4.0 units","Lecture","35637R","001","11:00-12:20pm","Tue, Thu","120","2","0","John Wilson, Elisabeth Sedano</a>","THH102"
"","","","","Lab","35638R","001","12:00-1:50pm","Monday","20","0","0","","AHF145A"
"","","","","Lab","35639R","001","10:00-11:50am","Wednesday","20","1","0","","AHF145A"
"","","","","Lab","35640R","001","10:00-11:50am","Monday","20","0","0","","AHF145A"
"","","","","Lab","35641R","001","4:00-5:50pm","Monday","20","1","0","","AHF145A"
"","","","","Lab","35642R","001","2:00-3:50pm","Tuesday","20","0","0","","AHF145A"
"","","","","Lab","35643R","001","4:00-5:50pm","Wednesday","20","0","0","","AHF145A"
"SSCI-382L","Principles of Geographic Information Science","","4.0 units","Lecture","35654R","001","2:00-3:20pm","Mon, Wed","37","0","0","Jennifer Swift","VKC260"
"","","","","Lab","35658R","001","12:00-1:50pm","Wednesday","20","0","0","","AHF145A"
"","","","","Lab","35659R","001","TBA","TBA","17","0","0","","OFFICE"
