"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"SWMS-212g","Studies in Gender and Sexuality: An Introduction","","4.0 units","Lecture","34902R","001","9:30-10:50am","Tue, Thu","150","0","0","Diana Blaine","THH201"
"","","","","Discussion","34906R","001","8:00-8:50am","Friday","25","0","0","","WPH101"
"","","","","Discussion","34907R","001","9:00-9:50am","Friday","25","0","0","","WPH101"
"","","","","Discussion","34908R","001","10:00-10:50am","Friday","25","0","0","","THH106"
"","","","","Discussion","34909R","001","11:00-11:50am","Friday","25","0","0","","THH106"
"","","","","Discussion","34910R","001","12:00-12:50pm","Friday","25","0","0","","THH106"
"","","","","Discussion","34911R","001","1:00-1:50pm","Friday","25","0","0","","THH106"
"SWMS-301gm","Feminist Theory: an Introduction","","4.0 units","Lecture-Discussion","34919D","001","3:30-4:50pm","Mon, Wed","19","0","0","Sunyoung Park","THH108"
"","","","","Lecture","34924R","001","11:00-12:20pm","Tue, Thu","4","1","0","Karina Eileraas","VKC152"
"","","","","Discussion","34925R","001","5:00-5:50pm","Tuesday","25","1","0","","THH213"
"","","","","Discussion","34926R","001","5:00-5:50pm","Thursday","24","0","0","","THH213"
"SWMS-306","Introduction to LGBTQ Studies","","4.0 units","Lecture","34922R","001","12:30-1:50pm","Tue, Thu","19","0","0","Karen Tongson","WPH202"
"SWMS-311","Gender Studies and the Community: Internship","","4.0 units","Lecture","34923D","001","TBA","TBA","10","0","0","Alice Echols","OFFICE"
"SWMS-316","Gender and Global Issues","","4.0 units","Lecture","37803R","001","3:30-4:50pm","Tue, Thu","48","1","0","Jessica Peet","VKC100"
"SWMS-330m","Culture, Gender and Politics in South Asia","","4.0 units","Lecture","10624R","001","2:00-3:20pm","Mon, Wed","25","1","0","Erin Moore","GFS104"
"SWMS-336","Health, Gender and Ethnicity","","4.0 units","Lecture","34927R","001","2:00-3:20pm","Mon, Wed","19","0","0","Atia Sattar","THH207"
"SWMS-349","Women and the Law","","4.0 units","Lecture","34931R","001","2:00-4:50pm","Tuesday","15","0","0","Diana Williams","THH107"
"SWMS-355","Transgender Studies","","4.0 units","Lecture","34935R","001","2:00-3:20pm","Tue, Thu","19","0","0","Christopher Freeman","THH108"
"SWMS-358","U.S. Gay and Lesbian History","","4.0 units","Lecture","34938R","001","8:30-9:50am","Mon, Wed","19","0","0","Alice Echols","THH115"
"SWMS-370","Family and Kinship in Cross-Cultural Perspective","","4.0 units","Lecture","10628R","001","TBA","TBA","25","0","0","","TBA"
"SWMS-372","Human Sexuality","","4.0 units","Lecture","52578R","001","4:00-5:50pm","Mon, Wed","40","0","0","Laura Baker","KAP163"
"SWMS-374gm","Women Writers in Europe and America","","4.0 units","Lecture","22040R","001","11:00-12:20pm","Tue, Thu","100","2","0","Margaret Rosenthal","THH210"
"","","","","Discussion","22041R","001","9:00-9:50am","Monday","25","0","0","","THH214"
"","","","","Discussion","22042R","001","10:00-10:50am","Monday","25","0","0","","THH214"
"","","","","Discussion","22043R","001","9:00-9:50am","Wednesday","25","0","0","","WPH107"
"","","","","Discussion","22044R","001","10:00-10:50am","Wednesday","25","2","0","","WPH103"
"SWMS-395m","Gender, Media and Communication","","4.0 units","Lecture-Discussion","20600R","001","12:30-1:50pm","Tue, Thu","75","0","0","Sarah Banet-Weiser","ASC204"
"SWMS-412","Gender, Sexuality and Media","","4.0 units, max 8"
"","Gender, Sexuality, and Independent Cinema","","4.0","Lecture","18115R","001","6:00-10:00pm","Tuesday","26","0","0","James Boyda","SCI207"
"SWMS-434m","Women and Aging: Psychological, Social, and Political Implications","","4.0 units","Lecture","36259R","001","9:00-10:50am","Tue, Thu","25","0","0","Caroline Cicero","GER224"
"SWMS-456","Women in International Development","","4.0 units","Lecture","52137R","001","4:00-6:50pm","Thursday","25","0","0","Eliz Sanasarian","VKC160"
"SWMS-465m","Gender in Media Industries and Products","","4.0 units","Lecture","20680R","001","10:00-11:50am","Mon, Wed","15","1","0","Hye Lee","ASC230"
"SWMS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34967D","001","TBA","TBA","10","0","0","Alice Echols","OFFICE"
"SWMS-492","Honors Thesis","M","4.0 units","Lecture","34968D","001","TBA","TBA","10","0","0","Alice Echols","OFFICE"
"SWMS-590","Directed Research","","1.0-12.0 units","Lecture","34988D","001","TBA","TBA","10","0","0","Alice Echols","OFFICE"
"SWMS-599","Special Topics","","2.0-4.0 units, max 8"
"","Gender and Sexuality in the Ancient Mediterranean and Comtemporary Theory","","4.0","Lecture","34990R","001","2:00-4:50pm","Thursday","15","0","0","","THH214"
"SWMS-630","Studies in Gender","","4.0 units, max 12","Lecture","32797D","001","4:30-6:50pm","Monday","12","0","0","Tania Modleski","THH203"
"SWMS-642","Sex and Gender in Society","","4.0 units","Lecture","61565D","001","9:00-11:50am","Thursday","15","4","0","Michael Messner","HSH303"
