"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"THTR-101","Introduction to Acting","","4.0 units","Lecture","62606R","001","5:00-6:50pm","Tue, Thu","20","0","0","Patrick Pankhurst","MCC112"
"","","","","Lecture","62601R","001","8:00-9:50am","Mon, Wed","20","0","0","Jeremiah O'Brian","MCC107"
"","","","","Lecture","62602D","001","10:00-11:50am","Mon, Wed","20","0","0","Anita Dashiell-Sparks","MCC109"
"","","","","Lecture","62604R","001","11:00-12:50pm","Tue, Thu","20","0","0","Robert Adler","MCC112"
"","","","","Lecture","62605R","001","2:00-3:50pm","Mon, Wed","20","0","0","Anthony Abatemarco","MCC106"
"THTR-120b","Acting I","PM","2.0 units","Lecture","62613D","001","4:00-5:50pm","Tue, Thu","20","0","0","Laura Flanagan","DRC120"
"THTR-122","Improvisation and Theatre Games","","2.0 units, max 4","Lecture","62625R","001","6:00-7:50pm","Monday","20","0","0","Debra De Liso","MCC112"
"","","","","Lecture","62626R","001","4:00-5:50pm","Monday","20","3","0","Debra De Liso","MCC109"
"","","","","Lecture","62619R","001","2:00-3:50pm","Friday","20","0","0","Debra De Liso","MCC107"
"","","","","Lecture","62620R","001","4:00-5:50pm","Friday","20","0","0","Debra De Liso","MCC107"
"","","","","Lecture","62621R","001","2:00-3:50pm","Monday","20","0","0","Julie Welch","PED208"
"","","","","Lecture","62622R","001","2:00-3:50pm","Wednesday","20","0","0","Julie Welch","PED208"
"","","","","Lecture","62623R","001","4:00-5:50pm","Tuesday","30","0","0","Eric Trules","MCC107"
"","","","","Lecture","62624R","001","4:00-5:50pm","Thursday","30","1","0","Eric Trules","MCC107"
"THTR-124ax","Character Acting","","2.0 units","Lecture","62630R","001","1:00-2:50pm","Wednesday","20","0","0","Anita Dashiell-Sparks","MCC109"
"THTR-130","Introduction to Theatrical Production","","2.0 units","Lecture","62640R","001","8:00-9:20am","Tuesday","155","0","0","Duncan Mahoney, Els Collins, Phil Allen, Tom Ontiveros, Tak Kata, Christina Haatainen-Jones","GFS106"
"","","","","Lab","62641R","001","10:00-12:50pm","Monday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62642R","001","10:00-12:50pm","Tuesday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62643R","001","10:00-12:50pm","Wednesday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62644R","001","10:00-12:50pm","Thursday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62645R","001","10:00-12:50pm","Friday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62646R","001","2:00-4:50pm","Monday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62647R","001","2:00-4:50pm","Tuesday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62648R","001","2:00-4:50pm","Wednesday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62649R","001","2:00-4:50pm","Thursday","35","0","0","Duncan Mahoney","TTL"
"","","","","Lab","62650D","001","2:00-4:50pm","Friday","35","0","0","Duncan Mahoney","TTL"
"THTR-132b","Art of Theatrical Design","P","2.0 units","Lecture","62655D","001","10:00-11:50am","Monday","20","0","0","Tak Kata","KAP164"
"THTR-140b","Voice I","P","2.0 units","Lecture","62661D","001","2:00-3:50pm","Tue, Thu","20","0","0","Paul Backer","MCC107"
"","","","","Lab","62662D","001","12:00-2:50pm","Friday","30","0","0","Babette Markus","MCC106"
"THTR-152","Introduction to Scene Study","P","2.0 units","Lecture","62675R","001","8:00-9:50am","Mon, Wed","20","0","0","John De Mita","PED206"
"","","","","Lecture","62676R","001","10:00-11:50am","Tue, Thu","20","0","0","Bob Bailey","PED208"
"","","","","Lecture","62677R","001","12:00-1:50pm","Mon, Wed","20","0","0","Jeremiah O'Brian","MCC112"
"","","","","Lecture","62678R","001","2:00-3:50pm","Tue, Thu","20","0","0","Robert Adler","MCC109"
"THTR-195g","Theatre on Film","","4.0 units","Lecture","62730R","001","8:00-9:50am","Mon, Wed","60","0","0","Melinda Finberg","LVL17"
"THTR-197g","Comedy and Performance","","4.0 units","Lecture","62731R","001","4:00-5:50pm","Mon, Wed","60","0","0","","THH116"
"THTR-210","Theory and Practice of World Theatre I","","4.0 units","Lecture","62741R","001","12:30-1:50pm","Tue, Thu","144","0","0","Carla Della Gatta","GFS106"
"","","","","Discussion","62742R","001","9:00-9:50am","Friday","18","0","0","Carla Della Gatta","KAP166"
"","","","","Discussion","62743R","001","9:00-9:50am","Friday","18","0","0","Carla Della Gatta","GFS201"
"","","","","Discussion","62744R","001","2:00-2:50pm","Friday","18","0","0","Carla Della Gatta","KAP166"
"","","","","Discussion","62745R","001","8:00-8:50am","Friday","18","0","0","Carla Della Gatta","KAP164"
"","","","","Discussion","62746R","001","8:00-8:50am","Friday","18","0","0","Carla Della Gatta","KAP165"
"","","","","Discussion","62747R","001","8:00-8:50am","Friday","18","0","0","Carla Della Gatta","KAP166"
"","","","","Discussion","62749D","001","11:00-11:50am","Friday","18","0","0","Carla Della Gatta","KAP138"
